
SN      dm15    dm15_err    MB  vdot    vdot_err    v10    v10_err  Type
#LVG	
1992A	1.47    0.05	-18.81	67    7	10.83    0.15	LVG
1989B	1.34    0.07	-18.87	66    5	10.03    0.10	LVG
2003kf	1.01    0.05	-19.37	50    5	10.63    0.10	LVG
1996X	1.25    0.05	-19.24	46    5	10.68    0.15	LVG
1999ee	0.94    0.04	-19.46	42    5	9.90    0.10	LVG
1990N	1.08    0.05	-19.23	41    5	10.12    0.10	LVG
1994D	1.32    0.05	-19.06	39    5	9.89    0.10	LVG
2003du	1.06    0.06	-18.93	31    5	10.10    0.10	LVG
2001el	1.15    0.04	-18.71	31    5	10.24    0.10	LVG
1997br	1.04    0.15	-19.62	25    5	10.40    0.10	LVG
1999cw	0.94    0.05	-19.24	22    7	10.79    0.15	LVG 
1991T	0.95    0.05	-19.62	11    5	9.87    0.10	LVG 
1998bu	1.04    0.05	-19.12	10    5	10.29    0.10	LVG 
#HVG							 
1983G	1.37    0.10	-18.62	125    20	13.49    0.20	 HVG
2002bo	1.17    0.05	-19.42	110    7	11.73    0.15	 HVG
1997bp	1.09    0.10	-19.69	106    7	13.87    0.20	 HVG
2002er	1.33    0.04	-19.45	92     5	10.52    0.10	 HVG
1984A	1.21    0.10	-19.46	92     10	12.64    0.15	 HVG
1989A	1.06    0.10	-19.21	90     10	12.13    0.15	 HVG
2002dj	1.12    0.05	-19.05	86     6	12.18    0.10	 HVG
1981B	1.11    0.07	-19.21	76     7	11.11    0.15	 HVG
#FAINT							                             
1999by	1.87    0.10	-16.64	110    10	9.06     0.10	 FAINT
1991bg	1.93    0.10	-16.81	104    7	8.50     0.15    FAINT
1997cn	1.86    0.10	-16.95	83    10	8.81     0.20    FAINT
1993H	1.70    0.10	-18.20	73    8	   10.10     0.20  	 FAINT
1986G	1.78    0.07	-17.48	64    5	   9.36      0.15    FAINT
