no.	SN		dm15	dm15_err     MB     MB_err  Color
#1	1980N		1.28	0.050		-19.68	0.12	black
#5	1989B		1.02	0.130		-19.74	0.14    black
6	1990N		1.04	0.130		-18.89	0.11    black
#7	1990af		1.63	0.060		-18.93	0.86    red
9	1991bg		1.87	0.080		-16.94	0.12    red
#10	1992A		1.36	0.030		-19.44	0.12    black
#11	1992ag		1.10	0.090		-19.38	0.48    black
#12	1992al		1.10	0.080		-19.44	0.27    black
#13	1992bc		0.82	0.080		-19.52	0.36    black
#17	1993H		1.76	0.090		-18.40	0.45    red
#18	1993O		1.23	0.070		-19.16	0.89    black
20	1994D		1.35	0.070		-18.79	0.08    black
#22	1994T		1.36	0.050		-18.61	0.63    black
#23	1994ae		0.98	0.150		-18.92	0.13    black
#24	1995D		1.02	0.070		-19.45	0.17    black
#25	1995E		1.11	0.110		-18.71	0.23    black
#26	1995ac		0.77	0.070		-19.62	0.84    black
#28	1995al		0.84	0.090		-18.86	0.14    black
#29	1995bd		0.94	0.340		-19.31	0.45    black
#30	1996X		1.29	0.060		-19.62	0.16    black
#31	1996bo		1.23	0.060		-19.17	0.31    black
#32	1997E		1.41	0.090		-18.71	0.27    black
#33	1997bp		1.16	0.060		-19.70	0.19    black
#34	1997br		1.08	0.170		-19.72	0.20    black
#36	1998aq		1.03	0.030		-19.07	0.09    black
37	1998bp		1.96	0.080		-17.90	0.20    red
#38	1998bu		1.04	0.030		-19.83	0.09    black
#39	1998de		1.99	0.120		-16.95	0.30    red
#40	1998es		0.81	0.070		-19.46	0.19    black
41	1999aa		0.80	0.060		-19.34	0.28    saddlebrown
#42	1999ac		1.33	0.060		-19.29	0.19    black
43	1999aw		0.79	0.080		-19.36	0.68    saddlebrown
44	1999by		1.98	0.080		-16.83	0.09    red
47	1999da		1.92	0.110		-17.02	0.24    red
48	1999dk		1.19	0.050		-19.34	0.27    black
49	1999dq		0.86	0.110		-19.73	0.27    black
50	1999ee		0.90	0.030		-19.24	0.21    black
51	1999ek		1.21	0.370		-19.13	0.51    black
52	1999gp		0.80	0.070		-19.38	0.47    black
53	2000E		0.94	0.250		-18.98	0.28    black
54	2000cf		1.47	0.050		-18.95	0.64    black
#57	2001ba		0.95	0.050		-19.37	0.54    black
#58	2001bt		1.26	0.070		-19.20	0.28    black
#59	2001cz		0.93	0.080		-19.38	0.31    black
#60	2001el		1.15	0.070		-18.86	0.09    black
#64	2001V		0.65	0.150		-19.74	0.31    black
#66	2002cd		0.98	0.270		-18.87	0.35    black
#67	2002cr		1.26	0.110		-19.17	0.21    black
68	2002cx		1.70   0.10          -17.53     0.26     green
#71	2002dp		1.12	0.060		-18.96	0.22    black
#72	2002er		1.28	0.120		-18.81	0.21    black
74	2002ha		1.34	0.150		-19.10	0.26    black
75	2002hu		1.04	0.070		-19.48	0.67    black
#76	2003W		1.16	0.040		-19.31	0.39    black
#80	2003kf		0.97	0.230		-19.40	0.27    black
83	2005cf		1.06	0.080		-19.36	0.17    black
84	2005el		1.23	0.110		-19.13	0.29    black
85	2005eq		0.86	0.110		-19.22	0.51    black
87	2005hc		0.97	0.050		-19.21	0.78    black
88	2005hk		1.62        0.01          -18.00 0.25      green
#89	2005iq		1.05	0.100		-18.93	0.59    black
#90	2005kc		1.24	0.190		-19.05	0.28    black
#93	2005lz		1.35	0.190		-18.80	0.71    black
#94	2005mc		1.87	0.110		-18.08	0.47    red
#95	2005ms		0.79	0.070		-19.13	0.47    black
#96	2005mz		1.96	0.140		-18.24	0.34    red
#97	2006ac		1.08	0.070		-18.91	0.43    black
#99	2006ax		1.08	0.050		-19.42	0.33    black
#100	2006az		1.30	0.060		-19.16	0.56    black
#101	2006br		1.47	0.200		-18.33	0.47    black
102	2006bt		1.09	0.060		-18.94	0.06    cyan
#103	2006bz		2.09	0.160		-17.22	0.51    red
#104	2006cc		1.01	0.050		-18.95	0.58    black
#105	2006cm		0.99	0.130		-18.40	0.30    black
#107	2006D		1.35	0.070		-19.00	0.19    black
#108	2006gj		1.39	0.170		-18.29	0.51    black
#109	2006gr		0.95	0.130		-19.22	0.60    black
#111	2006le		0.85	0.270		-19.61	0.42    black
#114	2006N		1.57	0.070		-18.83	0.28    black
#116	2006oa		0.98	0.180		-19.36	1.00    black
#117	2006ob		1.70	0.120		-18.75	0.99    red
#118	2006qo		1.02	0.100		-19.28	0.54    black
#119	2006S		0.91	0.040		-19.25	0.58    black
#120	2006sr		1.26	0.090		-18.90	0.43    black
#121	2006td		1.48	0.120		-18.49	0.29    green
#123	2007af		1.20	0.050		-19.25	0.14    black
