# Optical Light Curves of the Type Ia Supernovae 1990N and 1991T
# Lira, Suntzeff, Phillips, Hamuy(1997)
Epoch		JD		U		  UErr	  B		   BErr	   V		 VErr	R		  RErr	 I		   IErr
2440000		8071.50  13.645    0.026  13.894    0.017  13.837    0.017  13.740    0.013  13.807    0.015 
2440000		8071.50  13.625    0.026  13.893    0.017  13.834    0.017  13.721    0.013  13.815    0.016 
2440000		8071.50  13.671    0.026  13.888    0.017  13.837    0.017  13.742    0.013  13.817    0.016 
2440000		8072.47  INDEF     INDEF  13.638    0.017  13.628    0.017  13.529    0.013  INDEF     INDEF
2440000		8072.48  INDEF     INDEF  13.636    0.017  13.624    0.017  13.525    0.013  INDEF     INDEF 
2440000		8075.53  INDEF     INDEF  13.131    0.017  13.141    0.017  13.046    0.013  INDEF     INDEF 
2440000		8075.53  INDEF     INDEF  13.132    0.017  13.142    0.017  13.046    0.013  INDEF     INDEF
2440000		8076.56  INDEF     INDEF  13.053    0.017  13.053    0.017  12.976    0.013  13.070    0.015 
2440000		8076.56  INDEF     INDEF  13.054    0.017  13.048    0.017  12.972    0.013  13.064    0.015 
2440000		8084.49  12.438    0.026  12.790    0.017  12.732    0.017  12.731    0.013  13.026    0.015 
2440000		8084.49  12.446    0.026  12.784    0.017  12.730    0.017  12.727    0.013  13.027    0.015 
2440000		8091.53  13.018    0.026  13.133    0.017  12.874    0.017  12.914    0.013  13.289    0.016 
2440000		8091.53  13.032    0.026  INDEF     INDEF  INDEF	 INDEF  INDEF     INDEF  INDEF     INDEF  
2440000		8091.53  13.014    0.026  INDEF		INDEF  INDEF     INDEF  INDEF     INDEF  INDEF     INDEF 
2440000		8093.51  13.257    0.026  13.318    0.017  12.971    0.017  13.065    0.013  13.377    0.016 
2440000		8093.51  INDEF	   INDEF  INDEF		INDEF  INDEF     INDEF  13.079    0.013  INDEF     INDEF
2440000		8094.51  13.386    0.026  13.443    0.017  13.057    0.017  13.202    0.013  13.478    0.016 
2440000		8095.49  13.500    0.026  13.502    0.017  13.092    0.017  13.206    0.013  13.460    0.016 
2440000		8097.51  INDEF     INDEF  13.774    0.017  13.236    0.017  13.328    0.013  13.550    0.015 
2440000		8098.52  INDEF     INDEF  13.885    0.017  13.264    0.017  13.341    0.013  13.531    0.015 
2440000		8104.48  14.712    0.026  14.522    0.017  13.614    0.017  13.464    0.013  13.428    0.015 
2440000		8104.50  INDEF     INDEF  14.520    0.017  13.618    0.017  13.468    0.013  13.424    0.015 
2440000		8124.47  INDEF     INDEF  15.753    0.022  14.608    0.018  14.252    0.021  14.012    0.018 
2440000		8124.47  INDEF	   INDEF  INDEF		INDEF  INDEF     INDEF  14.271    0.018	 INDEF     INDEF
2440000		8253.83  INDEF	   INDEF  17.492    0.019  17.539    0.018  18.145    0.019  18.053    0.045 
2440000		8272.82  INDEF     INDEF  17.958    0.018  17.796    0.018  18.317    0.020  18.227    0.041 
2440000		8292.76  INDEF     INDEF  18.049    0.043  17.899    0.044  18.455    0.086  18.787    0.218 
2440000		8299.87  19.588    0.059  18.118    0.018  18.242    0.018  18.765    0.017  18.682    0.034 
2440000		8299.87  INDEF     INDEF  INDEF     INDEF  INDEF     INDEF  18.750    0.027  18.610    0.040 
2440000		8307.80  INDEF     INDEF  18.299    0.023  18.286    0.023  18.989    0.047  18.824    0.046 
2440000		8307.80  INDEF     INDEF  INDEF     INDEF  18.394    0.025  18.916    0.021  18.782    0.043 
2440000		8322.83  INDEF     INDEF  18.554    0.027  18.587    0.029  19.160    0.047  18.961    0.050 
2440000		8334.76  INDEF     INDEF  INDEF     INDEF  18.756    0.027  INDEF     INDEF  19.185    0.088 
2440000		8335.74  INDEF     INDEF  18.842    0.021  18.767    0.023  19.531    0.038  18.947    0.061 
2440000		8347.70  INDEF     INDEF  18.771    0.076  18.941    0.048  19.550    0.057  19.378    0.131 
2440000		8347.74  INDEF     INDEF  18.829    0.092  18.900    0.046  19.635    0.073  19.318    0.125 
2440000		8353.69  INDEF     INDEF  18.932    0.028  18.981    0.026  19.764    0.041  19.291    0.066 
2440000		8355.69  INDEF     INDEF  18.864    0.018  19.053    0.019  19.711    0.018  19.235    0.025 
2440000		8414.61  INDEF     INDEF  19.960    0.035  20.114    0.038  20.853    0.042  20.107    0.059 
2440000		8414.61  INDEF	   INDEF  INDEF		INDEF  INDEF     INDEF  INDEF     INDEF  20.048    0.070 
2440000		8420.54  INDEF     INDEF  19.888    0.044  19.931    0.051  20.527    0.121  INDEF     INDEF
2440000		8459.51  INDEF	   INDEF  20.541    0.149  20.904    0.231  INDEF     INDEF  INDEF     INDEF   
2440000		8687.82  INDEF	   INDEF  INDEF     INDEF  23.198    0.114  INDEF     INDEF  INDEF     INDEF  
