JD     Epoch  U   UErr    B   BErr    V   VErr    R   RErr    I   IErr    
48362.85 2400000 12.26    .02     12.98    .02     12.84    .02     12.67    .02       12.87       .02  
48363.65 2400000 INDEF		INDEF  12.73    .01     12.61    .01     INDEF		INDEF	INDEF	    INDEF                         
48363.77 2400000 INDEF		INDEF  12.712   .016    12.618   .016    12.526   .015		INDEF	    INDEF          
48363.80 2400000 12.04    .02     12.80    .02     12.74    .02     INDEF		INDEF	INDEF	    INDEF                         
48364.64 2400000 INDEF		INDEF  12.46    .01     12.34    .01     12.32    .01		INDEF	    INDEF                
48364.76 2400000 INDEF		INDEF  12.449   .016    12.362   .016    12.299   .015		INDEF	    INDEF               
48365.65 2400000 INDEF		INDEF	INDEF	INDEF	INDEF	INDEF	 12.159   .015		INDEF	    INDEF               
48365.66 2400000 11.610   .026    12.362   .016    12.256   .016    12.134   .015      12.215      .017 
48366.67 2400000 INDEF		INDEF  12.06    .01     12.00    .01     11.97    .01		INDEF	    INDEF                
48366.67 2400000 INDEF		INDEF  12.152   .016    12.061   .016    11.971   .015		INDEF	    INDEF               
48367.65 2400000 INDEF		INDEF	INDEF	INDEF   11.89    .01     INDEF		INDEF	INDEF	    INDEF                         
48368.70 2400000 INDEF		INDEF   11.78    .01     11.80    .01     11.70    .01		INDEF	    INDEF                
48372.70 2400000 INDEF     INDEF   11.748   .016   INDEF     INDEF   11.533   .015     11.693      .017 
48374.64 2400000 11.282   .026    11.719   .016    11.573   .016    11.511   .015      11.690      .017 
#48374.64 2400000 11.304   .026    11.707   .016    11.560   .016    11.519   .015      11.694      .017 
48375.65 2400000 11.270   .026    11.720   .016    11.537   .016    11.509   .015      11.676      .017 
#48375.65 2400000 11.370   .026    11.715   .016    11.568   .016    11.529   .015      11.689      .017 
48376.69 2400000 11.233   .026    11.741   .016    11.527   .016    11.475   .015      INDEF	    INDEF         
#48376.69 2400000 11.279   .026    11.696   .016    11.542   .016    11.474   .015      INDEF	    INDEF        
#48376.69 2400000 INDEF		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF     	11.690      .017 
48377.62 2400000 11.329   .026    11.694   .016    11.511   .016    11.435   .015    	11.664      .017 
#48377.62 2400000 INDEF		INDEF  11.711   .016    11.482   .016    11.435   .015    	11.665      .017 
48380.69 2400000 INDEF		INDEF  INDEF    INDEF   11.529   .016    11.479   .015    11.805   .018		 
48380.70 2400000 INDEF		INDEF  11.832   .016    11.525   .016    11.466   .015      11.788      .017 
48381.60 2400000 INDEF		INDEF  11.836   .016    11.535   .016    11.518   .015      11.847      .017 
48381.60 2400000 INDEF		INDEF  11.857   .016    INDEF	INDEF    11.501   .015      11.846      .017 
48382.67 2400000 INDEF		INDEF  11.912   .016    11.577   .016    11.565   .015      11.915      .017 
48382.68 2400000 INDEF		INDEF  11.919   .016    11.575   .016    11.552   .015      11.917      .017 
48383.58 2400000 11.652   .026    11.959   .016    11.605   .016    11.589   .015      11.966      .017 
48383.58 2400000 INDEF		INDEF  11.971   .016    11.583   .016    11.585   .015      11.967      .017 
48385.62 2400000 INDEF		INDEF	INDEF	INDEF	INDEF	INDEF    11.729   .015      12.049      .017 
48385.63 2400000 INDEF		INDEF   12.137   .016    11.643   .016    11.730   .015     12.051      .017 
48386.55 2400000 INDEF		INDEF   12.208   .016    INDEF	INDEF	INDEF	INDEF	    INDEF	    INDEF                                       
48386.55 2400000 INDEF		INDEF   12.248   .016    11.764   .016    11.811   .015     12.087      .017 
48388.57 2400000 12.381   .026    12.408   .016    11.873   .016    11.917   .015      INDEF	    INDEF          
48390.50 2400000 12.750   .026    12.603   .016    11.974   .016    11.982   .015      12.076      .017 
48390.50 2400000 12.778   .026    12.600   .016    11.971   .016    11.976   .015      12.062      .017 
48393.62 2400000 13.222   .026    12.965   .016    12.150   .016    12.029   .015      12.022      .017 
48395.55 2400000 INDEF		INDEF  13.131   .016    12.223   .016    INDEF    INDEF    	INDEF	    INDEF                
48395.56 2400000 INDEF		INDEF  13.149   .016    12.247   .016    INDEF    INDEF     INDEF	    INDEF                    
48396.56 2400000 INDEF		INDEF  13.39    .01     12.32    .01     12.32    .01       INDEF	    INDEF         
48396.56 2400000 INDEF		INDEF  13.48    .01     12.29    .01     INDEF		INDEF   INDEF	    INDEF      
48396.56 2400000 INDEF		INDEF  INDEF	INDEF   12.45    .01     INDEF		INDEF   INDEF       INDEF                      
48405.59 2400000 INDEF		INDEF  14.071   .016    12.731   .016    12.378   .015      12.098      .017 
48405.59 2400000 INDEF		INDEF  14.071   .017    12.735   .016    12.379   .015      12.111      .017 
48414.62 2400000 14.610   .026    14.302   .016    13.123   .016    12.820   .015      12.421      .017 
48414.62 2400000 INDEF		INDEF  14.307   .016    INDEF    INDEF	 INDEF  INDEF	    INDEF       INDEF                                         
48420.47 2400000 14.862   .026    14.556   .016    13.423   .016    13.102   .015      12.819      .017 
48427.67 2400000 INDEF		INDEF  14.77    .01     13.60    .01     13.51    .01       INDEF	    INDEF           
48427.67 2400000 INDEF		INDEF  INDEF	INDEF   13.59    .01     INDEF	  INDEF     INDEF	    INDEF                      
48427.67 2400000 INDEF		INDEF  INDEF	INDEF   13.66    .01     13.45    .01       INDEF	    INDEF           
48431.49 2400000 15.032   .030    14.770   .017    13.744   .016    13.527   .015      13.386      .017 
48431.49 2400000 15.070   .030    14.746   .017    13.754   .016    INDEF	  INDEF     INDEF	    INDEF        
48438.50 2400000 INDEF		INDEF  14.863   .016    13.936   .016    INDEF	   INDEF    13.712      .017 
48439.47 2400000 INDEF		INDEF  14.919   .016    14.018   .016    13.824   .015      13.749      .017 
48439.47 2400000 INDEF		INDEF  14.931   .016    13.986   .016    13.830   .015      13.738      .017 
48440.46 2400000 INDEF		INDEF  14.897   .016    14.059   .016    13.859   .001      13.821      .017 
48440.46 2400000 INDEF		INDEF  14.917   .016    14.058   .016    13.872   .015      13.790      .017 
48442.48 2400000 15.265   .026    14.888   .016    14.045   .016    13.888   .015      13.778      .017 
48445.46 2400000 INDEF		INDEF  INDEF	INDEF   14.139   .016    INDEF	  INDEF     INDEF	    INDEF                      
48445.47 2400000 INDEF		INDEF  14.934   .017    14.143   .016    INDEF	  INDEF     INDEF	    INDEF                      
48459.49 2400000 INDEF		INDEF  15.115   .016    14.476   .016    14.407   .015      14.538      .017 
48469.51 2400000 INDEF		INDEF  15.42    .02     INDEF	  INDEF  14.78    .02       INDEF	    INDEF         
