Epoch	JD	U	UErr	B	BErr	V	VErr	R	RErr	I	IErr

2440000		8363.77  INDEF	INDEF 12.712  0.016  12.618  0.016  12.526  0.015 INDEF	INDEF  
2440000		8364.76  INDEF	INDEF	 12.449  0.016  12.362  0.016  12.299  0.015  INDEF	INDEF
2440000		8365.66  11.610  0.026  12.362  0.016  12.256  0.016  12.134  0.015  12.215  0.017 
2440000		8365.65  INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	12.159  0.015  INDEF	INDEF
2440000		8366.67   INDEF	INDEF	12.152  0.016  12.061  0.016  11.971  0.015 INDEF	INDEF 
2440000		8372.70   INDEF	INDEF	11.748  0.016 INDEF	INDEF	   11.533  0.015  11.693  0.017 
2440000		8374.64  11.282  0.026  11.719  0.016  11.573  0.016  11.511  0.015  11.690  0.017 
2440000		8374.64  11.304  0.026  11.707  0.016  11.560  0.016  11.519  0.015  11.694  0.017 
2440000		8375.65  11.370  0.026  11.715  0.016  11.568  0.016  11.529  0.015  11.689  0.017 
2440000		8375.65  11.270  0.026  11.720  0.016  11.537  0.016  11.509  0.015  11.676  0.017 
2440000		8376.69  11.279  0.026  11.696  0.016  11.542  0.016  11.474  0.015  INDEF	INDEF	
2440000		8376.69  11.233  0.026  11.741  0.016  11.527  0.016  11.475  0.015  INDEF	INDEF
2440000		8376.69   INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   11.690  0.017 
2440000		8377.62  11.329  0.026  11.694  0.016  11.511  0.016  11.435  0.015  11.664  0.017 
2440000		8377.62   INDEF	INDEF	11.711  0.016 11.482  0.016  11.435  0.015  11.665  0.017 
2440000		8380.70   INDEF	INDEF	11.832  0.016  11.525  0.016  11.466  0.015  11.788  0.017 
2440000		8380.69    INDEF	INDEF	INDEF	INDEF	11.529  0.016  11.479  0.015  11.805  0.018 
2440000		8381.60   INDEF	INDEF	11.836  0.016  11.535  0.016  11.518  0.015  11.847  0.017 
2440000		8381.60   INDEF	INDEF	11.857  0.016   INDEF	INDEF	 11.501  0.015  11.846  0.017 
2440000		8382.67   INDEF	INDEF	11.912  0.016  11.577  0.016  11.565  0.015  11.915  0.017 
2440000		8382.68   INDEF	INDEF	11.919  0.016  11.575  0.016  11.552  0.015  11.917  0.017 
2440000		8383.58  	11.652  0.026  11.959  0.016  11.605  0.016  11.589  0.015  11.966  0.017 
2440000		8383.58   INDEF	INDEF	11.971  0.016  11.583  0.016  11.585  0.015  11.967  0.017 
2440000		8385.63   INDEF	INDEF	12.137  0.016  11.643  0.016  11.730  0.015  12.051  0.017 
2440000		8385.62   INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	  11.729  0.015  12.049  0.017 
2440000		8386.55   INDEF	INDEF	12.248     0.016  11.764 		  0.016  11.811  0.015  12.087  0.017 
2440000		8386.55   INDEF	INDEF	12.208     0.016       INDEF	INDEF	INDEF	INDEF	INDEF	INDEF  		
2440000		8388.57   12.381     0.026  12.408 		  0.016  11.873  0.016  11.917  0.015  INDEF	INDEF
2440000		8390.50   12.750     0.026  12.603 		  0.016  11.974  0.016  11.982  0.015  12.076  0.017 
2440000		8390.50   12.778     0.026  12.600 		  0.016  11.971  0.016  11.976  0.015  12.062  0.017 
2440000		8393.62   13.222     0.026  12.965 		  0.016  12.150  0.016  12.029  0.015  12.022  0.017 
2440000		8395.55   INDEF	INDEF	13.131     0.016  12.223 		  0.016   INDEF	INDEF	INDEF	INDEF
2440000		8395.56   INDEF	INDEF	13.149     0.016  12.247 		  0.016   INDEF	INDEF	INDEF	INDEF
2440000		8405.59   INDEF	INDEF	14.071     0.016  12.731 		  0.016  12.378  0.015  12.098  0.017 
2440000		8405.59   INDEF	INDEF	14.071     0.017  12.735 		  0.016  12.379  0.015  12.111  0.017 
2440000		8414.62   14.610     0.026  14.302 		  0.016  13.123  0.016  12.820  0.015  12.421  0.017 
2440000		8414.62   INDEF	INDEF	14.307     0.016	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF         		
2440000		8420.47   14.862     0.026  14.556 		  0.016  13.423  0.016  13.102  0.015  12.819  0.017 
2440000		8431.49   15.032     0.030  14.770 		  0.017  13.744  0.016  13.527  0.015  13.386  0.017 
2440000		8431.49   15.070     0.030  14.746 		  0.017  13.754  0.016  INDEF	INDEF	INDEF	INDEF  
2440000		8438.50   INDEF	INDEF	14.863     0.016  13.936 		  0.016	INDEF	INDEF  13.712  0.017 
2440000		8439.47   INDEF	INDEF	14.931     0.016  13.986 		  0.016  13.830  0.015  13.738  0.017 
2440000		8439.47   INDEF	INDEF	14.919     0.016  14.018 		  0.016  13.824  0.015  13.749  0.017 
2440000		8440.46   INDEF	INDEF	14.897     0.016  14.059 		  0.016  13.859  0.001  13.821  0.017 
2440000		8440.46   INDEF	INDEF	14.917     0.016  14.058 		  0.016  13.872  0.015  13.790  0.017 
2440000		8442.48   15.265     0.026  14.888 		  0.016  14.045  0.016  13.888  0.015  13.778  0.017 
2440000		8445.46   INDEF	INDEF	INDEF	INDEF	14.139     0.016	INDEF	INDEF	INDEF	INDEF         		
2440000		8445.47   INDEF	INDEF	14.934     0.017  14.143 		  0.016   INDEF	INDEF	INDEF	INDEF
2440000		8459.49   INDEF	INDEF	15.115     0.016  14.476 		  0.016  14.407  0.015  14.538  0.017 
2440000		8628.83   INDEF	INDEF  17.496     0.019  17.484 		  0.018 INDEF	INDEF 17.939  0.040 
2440000		8629.83   INDEF INDEF 17.513     0.018  17.475 		  0.018 INDEF	INDEF 17.951  0.046 
2440000		8677.78   INDEF	INDEF	INDEF	INDEF	18.116     0.022  INDEF	INDEF 18.367 		  0.045 
2440000		8687.85   INDEF	INDEF	INDEF	INDEF	18.343     0.017  19.086 		  0.022  18.489  0.026 
2440000		8691.78   INDEF	INDEF	18.445     0.018  18.357 		  0.019  19.080  0.025  18.489  0.031 
2440000		8720.77   INDEF	INDEF	18.834     0.023  18.765 		  0.022  INDEF	INDEF	18.952  0.034 
2440000		8731.63   INDEF	INDEF	18.916     0.078  18.947 		  0.047  INDEF	INDEF	INDEF	INDEF 
2440000		8731.62   INDEF	INDEF	INDEF	INDEF	19.010     0.052	INDEF	INDEF	INDEF	INDEF         		
2440000		8776.53   20.346     0.250  19.654 		  0.078  19.662  0.057  20.271  0.102  19.374  0.119 
2440000		8776.54   INDEF	INDEF	19.773     0.097  19.684 		  0.063  20.162  0.097  19.359  0.113 
