FILTER      JD              FMAG      FERR
B           51881.9100     17.18     0.017 
B           51898.8300     16.36     0.011 
B           51901.8300     16.57     0.013 
B           51906.8200     17.04     0.015 
B           51907.7400     17.15     0.012 
B           51929.8300     19.08   0.05407 
B           51933.8300     19.22   0.03101 
B           51953.7300     19.46   0.04003 
B           51959.6100     19.53   0.04805 
B           51963.7600     19.61   0.04303 
B           51994.7000     20.13    0.1146 
I           51881.9100     16.92     0.019 
I           51898.8300     16.42     0.015 
I           51901.8300     16.58     0.018 
I           51906.8200     16.83     0.021 
I           51907.7400     16.84     0.017 
I           51929.8300     17.01   0.02501 
I           51933.8300     17.28   0.02501 
I           51953.7300     18.22   0.04404 
I           51959.6100     18.45   0.06311 
I           51963.7600     18.54   0.08022 
I           51994.7000     19.59    0.1545 
R           51881.9100     16.89     0.016 
R           51898.8300     15.99      0.01 
R           51901.8300     16.15     0.011 
R           51906.8200     16.53     0.012 
R           51907.7400     16.56      0.01 
R           51929.8300     17.25     0.019 
R           51933.8300     17.47     0.021 
R           51953.7300     18.17   0.03001 
R           51959.6100     18.37   0.04303 
R           51963.7600     18.54   0.02701 
R           51994.7000     19.48    0.1167 
U           51881.9100      17.1   0.04103 
U           51898.8300     16.39   0.03602 
U           51901.8300     16.72   0.03702 
U           51906.8200      17.3   0.04103 
U           51907.7400     17.37   0.05206 
U           51929.8300     19.64    0.1136 
U           51933.8300     19.92    0.1607 
U           51994.7000     20.66    0.2311 
V           51881.9100     17.06     0.011 
V           51898.8300     16.11     0.007 
V           51901.8300     16.24     0.008 
V           51906.8200     16.55      0.01 
V           51907.7400     16.58     0.007 
V           51929.8300     17.78     0.014 
V           51933.8300     17.98     0.017 
V           51953.7300     18.54   0.02401 
V           51959.6100     18.74   0.03402 
V           51963.7600      18.8      0.02 
V           51994.7000      19.6   0.07619 
