JD         U        UErr           B        BErr      V        VErr      R        RErr      I        IErr 
2020.78    INDEF    INDEF          16.773   0.043     16.708   0.010     16.694   0.015     16.771   0.017
2021.71    16.419   0.034     	   16.731   0.020     16.700   0.010     16.695   0.006     16.802   0.010
2022.90    INDEF    INDEF          16.687   0.050     16.643   0.020     16.635   0.040     16.783   0.050
2023.88    INDEF    INDEF          16.724   0.070     16.640   0.020     16.661   0.030     16.781   0.020
2024.89    INDEF    INDEF          16.709   0.040     16.647   0.020     16.626   0.020     16.829   0.030
2025.89    INDEF    INDEF          16.737   0.030     16.666   0.020     16.692   0.020     16.868   0.050
2026.86    INDEF    INDEF          16.766   0.020     16.664   0.020     16.659   0.030     16.855   0.040
2028.89    INDEF    INDEF          16.841   0.100     16.699   0.080     INDEF    INDEF     INDEF    INDEF
2030.88    INDEF    INDEF          16.913   0.040     16.734   0.020     16.775   0.030     16.937   0.040
2032.88    INDEF    INDEF          17.065   0.050     16.799   0.030     16.860   0.030     16.952   0.050
2037.88    INDEF    INDEF          17.290   0.050     16.939   0.030     16.948   0.020     17.102   0.040
2039.86    INDEF    INDEF          17.535   0.080     16.945   0.050     16.963   0.040     17.057   0.070
2041.80    INDEF    INDEF          17.647   0.040     17.089   0.050     INDEF    INDEF     INDEF    INDEF
2043.85    INDEF    INDEF          INDEF    INDEF     17.143   0.020     16.968   0.020     17.093   0.050
2045.86    INDEF    INDEF          17.952   0.050     17.266   0.030     17.006   0.020     17.024   0.040
2047.84    INDEF    INDEF          18.134   0.040     17.298   0.040     17.015   0.030     16.969   0.040
2051.81    INDEF    INDEF          18.250   0.050     17.424   0.030     17.123   0.020     16.902   0.040
2059.81    INDEF    INDEF          18.554   0.080     17.794   0.040     17.385   0.020     17.138   0.040
2064.83    INDEF    INDEF          18.773   0.080     18.064   0.070     17.629   0.040     17.251   0.060
2069.79    INDEF    INDEF          19.025   0.070     18.117   0.060     17.813   0.030     17.506   0.060
2074.74    INDEF    INDEF          19.071   0.070     18.219   0.070     18.008   0.030     17.805   0.060
2075.81    INDEF    INDEF          18.993   0.060     18.153   0.060     18.099   0.050     17.604   0.050
2079.75    INDEF    INDEF          INDEF    INDEF     18.250   0.070     18.180   0.050     17.804   0.060
2022.99    INDEF    INDEF          16.709   0.033     16.655   0.013     16.693   0.011     16.758   0.016
2024.91    INDEF    INDEF          16.795   0.044     16.629   0.025     16.686   0.011     16.781   0.027
2029.81    INDEF    INDEF          16.958   0.060     16.716   0.010     16.781   0.010     16.910   0.015
2036.86    INDEF    INDEF          17.322   0.020     16.932   0.010     16.901   0.023     17.007   0.024
2037.83    17.503   0.040          17.348   0.019     16.990   0.010     16.967   0.018     17.099   0.020
2038.77    INDEF    INDEF          17.488   0.009     INDEF    INDEF     17.043   0.010     17.079   0.010
2040.79    17.655   0.031          17.578   0.014     17.054   0.010     16.964   0.016     16.939   0.016
2041.84    INDEF    INDEF          17.668   0.034     17.003   0.020     16.949   0.033     16.910   0.034
2043.78    INDEF    INDEF          17.784   0.010     INDEF    INDEF     16.990   0.010     16.845   0.017
2046.82    INDEF    INDEF          INDEF    INDEF     INDEF    INDEF     17.107   0.010     16.871   0.010
2050.82    INDEF    INDEF          18.269   0.013     INDEF    INDEF     16.992   0.085     16.816   0.010
2063.76    INDEF    INDEF          INDEF    INDEF     18.083   0.017     INDEF    INDEF     17.225   0.029
2140.70    INDEF    INDEF          20.110   0.130     19.520   0.100     19.390   0.080     19.030   0.090
2026.74    INDEF    INDEF          16.841   0.062     16.673   0.040     INDEF    INDEF     INDEF    INDEF
2030.67    INDEF    INDEF          16.953   0.017     16.725   0.010     INDEF    INDEF     INDEF    INDEF
2046.62    INDEF    INDEF          18.063   0.024     17.194   0.013     INDEF    INDEF     INDEF    INDEF
2047.65    INDEF    INDEF          18.209   0.047     17.247   0.027     INDEF    INDEF     INDEF    INDEF
2055.63    INDEF    INDEF          INDEF    INDEF     17.687   0.028     INDEF    INDEF     INDEF    INDEF
2052.65    18.633   0.041          18.356   0.023     17.468   0.012     17.152   0.027     16.850   0.029
