JD        B      BErr     V      VErr     R      RErr     I      IErr
2411.78   17.81  0.03     17.81  0.03     17.70  0.02     17.70  0.04 
2412.78   17.77  0.03     17.73  0.04     17.64  0.04     17.53  0.04 
2413.81   17.69  0.04     INDEF INDEF     INDEF INDEF     INDEF INDEF 
2419.81   17.85  0.12     17.45  0.10     17.53  0.07     17.30  0.08 
2421.77   18.06  0.05     17.69  0.04     17.48  0.03     17.39  0.04 
2422.75   18.10  0.09     17.70  0.03     17.50  0.03     17.40  0.03 
2423.73   18.22  0.03     17.80  0.03     17.47  0.02     17.42  0.03 
2424.75   18.35  0.04     17.82  0.03     17.53  0.03     17.38  0.03 
2425.76   18.47  0.06     17.87  0.06     17.53  0.05     17.42  0.06 
2426.72   18.61  0.04     17.88  0.03     17.54  0.04     17.37  0.03 
2427.72   18.68  0.05     17.99  0.04     17.54  0.03     17.40  0.04 
2428.76   18.83  0.04     18.05  0.04     17.61  0.03     17.46  0.04 
2429.75   18.73  0.10     18.16  0.03     17.61  0.03     17.45  0.03 
2430.71   19.02  0.04     18.20  0.04     17.69  0.03     17.50  0.03 
2431.78   19.12  0.04     18.27  0.04     17.71  0.04     17.44  0.04 
2432.69   19.24  0.07     18.34  0.03     17.73  0.03     17.46  0.05 
2433.74   19.45  0.08     18.36  0.04     17.80  0.04     17.40  0.05 
2434.70   INDEF INDEF     18.31  0.07     17.75  0.07     17.52  0.07 
2435.70   INDEF INDEF     18.45  0.06     17.84  0.04     17.67  0.05 
2435.75   19.49  0.08     18.46  0.03     17.89  0.03     17.47  0.06 
2436.75   INDEF INDEF     18.52  0.05     17.89  0.05     17.60  0.04 
2436.77   19.61  0.08     18.54  0.03     17.93  0.02     17.64  0.03 
2437.69   INDEF INDEF     18.57  0.04     17.99  0.03     17.64  0.06 
2437.70   19.65  0.06     18.59  0.02     17.97  0.02     17.71  0.02 
2438.73   INDEF INDEF     18.66  0.05     INDEF INDEF     17.66  0.05 
2440.69   INDEF INDEF     18.75  0.06     18.07  0.04     17.82  0.05 
2442.69   INDEF INDEF     18.81  0.04     18.11  0.04     17.84  0.05 
2443.73   INDEF INDEF     INDEF INDEF     18.19  0.06     17.90  0.06 
2447.70   INDEF INDEF     INDEF INDEF     18.30  0.08     17.97  0.08 
2451.74   INDEF INDEF     18.94  0.07     18.40  0.08     18.06  0.05 
2455.70   INDEF INDEF     19.11  0.05     18.45  0.04     18.16  0.04 
2456.70   INDEF INDEF     INDEF INDEF     18.45  0.07     18.17  0.04 
2465.70   20.36  0.21     19.33  0.07     18.75  0.06     18.27  0.08 
