
JD          Phase       u          uErr              g       gErr               r       rErr            i       iErr        B       BErr            V       VErr 
1480.69     -7.66       INDEF    INDEF              INDEF    INDEF             15.4     0.01         INDEF    INDEF        INDEF    INDEF        INDEF    INDEF 
1481.70     -6.65       INDEF    INDEF              INDEF    INDEF             15.4     0.01         INDEF    INDEF        INDEF    INDEF        INDEF    INDEF 
1484.54     -3.81       INDEF    INDEF              16.633   0.009             15.392   0.005        14.994   0.004        17.231   0.012        16.018   0.008 
1486.59     -1.76       18.609   0.057              16.616   0.008             15.333   0.006        14.936   0.006        17.225   0.011        15.972   0.008 
1488.56      0.21       18.624   0.051              16.582   0.006             15.306   0.005        14.885   0.005        17.231   0.013        15.934   0.007 
1490.55      2.20       18.824   0.029              16.579   0.007             15.249   0.005        14.835   0.006        17.224   0.009        15.917   0.007 
1492.58      4.23       18.897   0.042              16.568   0.007             15.210   0.006        14.778   0.008        17.234   0.010        15.885   0.008 
1493.59      5.24       18.845   0.030              16.573   0.006             15.215   0.007        14.780   0.006        17.235   0.009        15.876   0.007 
1494.54      6.19       18.918   0.030              16.593   0.009             15.207   0.006        14.780   0.008        17.263   0.009        15.878   0.007 
1497.54      9.19       19.044   0.049              16.595   0.007             15.173   0.004        14.746   0.005        17.271   0.009        15.849   0.008 
1499.55      11.20      INDEF    INDEF              16.611   0.006             15.177   0.004        14.751   0.006        17.325   0.009        15.851   0.006 
1515.52      27.17      19.578   0.124              17.018   0.018             15.395   0.005        14.857   0.005        17.821   0.017        16.157   0.008 
