JD	          B         BErr        V        VErr    u	    uErr	g	       gErr	    r	    rErr	i	    iErr		Y	   YErr	  J	      JErr	  H	     HErr
2454764.80    INDEF     INDEF       INDEF    INDEF   INDEF	INDEF	INDEF	   INDEF	INDEF	INDEF	INDEF	INDEF       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454778.69    INDEF     INDEF       INDEF    INDEF   INDEF	INDEF	INDEF	   INDEF	INDEF	INDEF	INDEF	INDEF       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454781.76    18.340    0.084       17.828   0.037   19.332  0.138   17.992     0.041    18.004  0.044   18.104  0.044       17.832 0.096  17.819  0.438	  17.652 0.115
2454783.74    18.229    0.062       17.718   0.042   19.390  0.131   17.853     0.032    17.868  0.028   17.963  0.033       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454784.64    INDEF     INDEF       INDEF    INDEF   INDEF	INDEF	INDEF	   INDEF	INDEF	INDEF	INDEF	INDEF       17.872 0.090  17.768  0.058   17.468 0.130
2454784.71    18.230    0.030       17.635   0.030   INDEF	INDEF	INDEF	   INDEF	INDEF	INDEF	INDEF	INDEF       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454785.67    18.385    0.030       17.660   0.027   19.644  0.098   17.936     0.018    17.701  0.019   17.799  0.023       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454786.80    18.415    0.030       17.710   0.030   19.922  0.061   18.027     0.015    17.709  0.015   17.800  0.015       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454787.67    18.596    0.030       17.762   0.030   INDEF	INDEF	INDEF	   INDEF	INDEF	INDEF	INDEF	INDEF       17.540 0.021  17.663  0.046   17.281 0.072
2454789.68    18.904    0.030       17.827   0.014   20.574  0.080   18.352     0.016    17.692  0.020   17.730  0.028       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454790.71    18.969    0.030       17.871   0.030   INDEF	INDEF	INDEF	   INDEF	INDEF	INDEF	INDEF	INDEF		17.504 0.030  17.674  0.062   INDEF  INDEF
2454792.70    19.563    0.054       18.127   0.022   21.181  0.125   18.717     0.106    17.861  0.031   17.814  0.044       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454794.68    19.789    0.072       18.377   0.032   21.235  0.146   19.048     0.144    18.009  0.075   17.950  0.042       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454795.78    20.297    0.216       18.600   0.041   21.623  0.188   19.247     0.127    18.242  0.035   18.136  0.034       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454798.65    20.390    0.123       18.791   0.033   22.482  0.395   19.637     0.029    18.476  0.023   18.317  0.033       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454799.66    INDEF     INDEF       18.921   0.046   INDEF	INDEF	INDEF	   INDEF	INDEF	INDEF	INDEF	INDEF       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454800.67    INDEF     INDEF       18.942   0.035   INDEF	INDEF	INDEF	   INDEF	INDEF	INDEF	INDEF	INDEF		17.945 0.045  17.824  0.116   17.552  0.121
2454801.64    20.490    0.085       19.004   0.044   22.591  0.357   19.822     0.035    18.694  0.028   18.476  0.036       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454802.74    20.538    0.071       19.064   0.082   INDEF   INDEF   19.935     0.266    18.738  0.064   18.521  0.056       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454803.63    20.722    0.178       19.130   0.054   INDEF   INDEF   19.907     0.037    18.813  0.031   18.565  0.034       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454805.63    INDEF     INDEF       19.211   0.095   INDEF   INDEF   20.308     0.262    18.952  0.058   18.695  0.064       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454809.67    INDEF     INDEF       19.288   0.206   INDEF   INDEF   20.491     0.387    19.272  0.075   18.915  0.095       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454811.61    INDEF     INDEF       19.462   0.103   INDEF   INDEF   INDEF      INDEF    19.250  0.080   18.956  0.087       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454812.62    INDEF     INDEF       19.458   0.207   INDEF	INDEF	INDEF	   INDEF	INDEF	INDEF	INDEF	INDEF       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
2454831.63    21.372    0.030       20.191   0.030   INDEF	INDEF	INDEF	   INDEF	INDEF	INDEF	INDEF	INDEF       INDEF  INDEF  INDEF	  INDEF   INDEF  INDEF
