JD	       u	   uErr	      g	       gErr	     r	      rErr	   i	    iErr	    B	   BErr	      V	      VErr
781.6     19.332    0.138    17.992    0.041    18.004    0.044    18.104    0.044    18.144    0.049    17.911    0.035
783.6     19.390    0.131    17.853    0.032    17.868    0.028    17.963    0.033    18.154    0.054    17.771    0.036
785.6     19.644    0.098    17.936    0.018    17.701    0.019    17.799    0.023    18.294    0.039    17.746    0.020
786.5     19.922    0.061    18.027    0.015    17.709    0.015    17.800    0.015    18.393    0.020    17.738    0.016
789.6     20.574    0.080    18.352    0.016    17.692    0.020    17.730    0.028    18.878    0.030    17.918    0.020
792.5     21.181    0.125    18.717    0.106    17.861    0.031    17.814    0.044    19.447    0.045    18.208    0.028
793.5     21.235    0.146    19.048    0.144    18.009    0.075    17.950    0.042    19.612    0.061    18.344    0.027
795.5     21.623    0.188    19.247    0.127    18.242    0.035    18.136    0.034    19.977    0.073    18.600    0.041
797.5     22.207    0.335    19.571    0.029    18.425    0.022    18.243    0.025    20.244    0.203    18.849    0.168
798.5     22.482    0.395    19.637    0.029    18.476    0.023    18.317    0.033    20.147    0.145    18.848    0.096
801.6     22.591    0.357    19.822    0.035    18.694    0.028    18.476    0.036    20.490    0.085    19.043    0.046
802.5     INDEF    INDEF     19.935    0.266    18.738    0.064    18.521    0.056    20.538    0.071    19.136    0.034
803.5     INDEF    INDEF     19.907    0.037    18.813    0.031    18.565    0.034    20.722    0.178    19.118    0.085
806.5     INDEF    INDEF     20.308    0.262    18.952    0.058    18.695    0.064    INDEF     INDEF    19.301    0.064
807.5     INDEF    INDEF     20.174    0.357    19.092    0.113    18.715    0.083    INDEF     INDEF    19.286    0.091
808.5     INDEF    INDEF     INDEF     INDEF    19.150    0.108    18.987    0.120    INDEF     INDEF    19.498    0.136
809.5     INDEF    INDEF     20.491    0.387    19.272    0.075    18.915    0.095    INDEF     INDEF    19.593    0.116
810.5     INDEF    INDEF     INDEF     INDEF    19.250    0.080    18.956    0.087    INDEF     INDEF    19.509    0.096
