JD          Phase      U         UErr        B         BErr        V         VErr        R         RErr        I         IErr   
935.47      -11.7      INDEF     INDEF       INDEF     INDEF       INDEF     INDEF       15.928    0.058       INDEF     INDEF        
937.49      -9.7       INDEF     INDEF       INDEF     INDEF       INDEF     INDEF       15.608    0.059       INDEF     INDEF        
938.66      -8.5       14.905    0.076       15.735    0.022       15.657    0.017       15.671    0.027       15.781    0.022  
939.50      -7.6       INDEF     INDEF       INDEF     INDEF       INDEF     INDEF       15.443    0.036       INDEF     INDEF        
939.69      -7.5       14.800    0.040       15.639    0.015       15.552    0.023       15.603    0.017       15.702    0.027  
942.44      -4.7       INDEF     INDEF       INDEF     INDEF       INDEF     INDEF       15.313    0.025       INDEF     INDEF        
942.53      -4.6       14.779    0.009       15.421    0.014       15.385    0.010       15.399    0.016       15.502    0.010  
943.49      -3.7       14.648    0.025       15.423    0.027       15.378    0.023       15.390    0.027       15.520    0.024  
944.57      -2.6       14.767    0.010       15.347    0.016       15.325    0.012       15.339    0.011       15.439    0.016  
946.49      -0.7       INDEF     INDEF       INDEF     INDEF       INDEF     INDEF       15.247    0.036       INDEF     INDEF        
949.53       2.4       14.668    0.031       15.342    0.028       15.328    0.028       15.295    0.025       15.339    0.026  
949.54       2.4       14.706    0.032       15.369    0.022       15.349    0.019       15.339    0.015       15.398    0.024  
949.62       2.5       14.869    0.026       15.348    0.013       15.326    0.012       15.297    0.023       15.390    0.016  
950.63       3.5       14.943    0.046       15.371    0.012       15.350    0.011       15.308    0.011       15.387    0.008  
951.58       4.4       INDEF     INDEF       15.399    0.026       15.360    0.022       15.328    0.028       15.348    0.044  
953.68       6.5       14.971    0.087       15.525    0.020       15.432    0.012       15.397    0.014       15.424    0.024  
954.41       7.3       INDEF     INDEF       INDEF     INDEF       INDEF     INDEF       15.305    0.041       INDEF     INDEF        
954.49       7.4       15.257    0.018       15.542    0.022       15.414    0.009       15.350    0.011       15.406    0.017  
955.50       8.4       15.128    0.045       15.560    0.041       15.428    0.013       15.377    0.022       15.411    0.030  
956.42       9.3       15.425    0.037       15.628    0.029       15.453    0.019       15.410    0.012       15.400    0.007  
956.48       9.3       15.258    0.072       15.671    0.022       15.455    0.014       15.424    0.032       15.442    0.031  
958.63       11.5      15.429    0.038       15.756    0.026       15.498    0.028       15.451    0.027       15.479    0.021  
959.65       12.5      15.746    0.036       15.809    0.014       15.533    0.022       15.438    0.007       15.408    0.020  
959.69       12.6      15.547    0.033       15.857    0.016       15.527    0.036       15.519    0.024       15.473    0.028  
963.52       16.4      INDEF     INDEF       16.115    0.018       15.672    0.018       15.557    0.019       15.429    0.010  
964.41       17.3      16.128    0.049       16.202    0.019       15.696    0.017       15.576    0.005       15.412    0.029  
964.70       17.6      16.001    0.049       16.217    0.024       15.684    0.021       15.570    0.023       15.398    0.027  
966.43       19.3      16.457    0.023       16.348    0.015       15.773    0.011       15.611    0.016       15.409    0.013  
968.56       21.4      16.668    0.015       16.537    0.015       15.865    0.021       15.643    0.013       15.401    0.009  
969.71       22.6      16.671    0.045       16.603    0.037       15.932    0.038       15.664    0.029       15.423    0.026  
970.37       23.2      INDEF     INDEF       INDEF     INDEF       INDEF     INDEF       15.672    0.042       INDEF     INDEF        
972.39       25.3      INDEF     INDEF       INDEF     INDEF       INDEF     INDEF       15.705    0.045       INDEF     INDEF        
973.47       26.3      16.943    0.055       16.939    0.025       16.088    0.033       15.766    0.015       15.484    0.015  
976.52       29.4      17.237    0.035       17.145    0.025       16.179    0.020       15.828    0.035       15.494    0.025  
977.38       30.2      INDEF     INDEF       INDEF     INDEF       INDEF     INDEF       15.845    0.042       INDEF     INDEF        
977.43       30.3      17.223    0.072       17.164    0.046       INDEF     INDEF       INDEF     INDEF       INDEF     INDEF        
978.59       31.5      INDEF     INDEF       17.258    0.033       16.309    0.023       15.914    0.028       15.557    0.039  
981.44       34.3      17.747    0.028       17.475    0.017       16.423    0.011       16.009    0.015       15.613    0.025  
982.62       35.5      17.526    0.029       17.499    0.013       16.463    0.017       16.074    0.023       15.576    0.035  
983.41       36.3      17.858    0.043       17.568    0.013       16.511    0.007       16.087    0.014       15.678    0.016  
987.54       40.4      18.043    0.028       17.743    0.027       16.683    0.009       16.266    0.017       15.847    0.014  
988.53       41.4      17.883    0.073       17.783    0.026       16.706    0.031       16.327    0.040       15.897    0.029  
991.54       44.4      18.129    0.037       17.866    0.017       16.809    0.025       16.420    0.016       15.973    0.012  
995.43       48.3      18.283    0.050       17.930    0.023       16.934    0.024       16.555    0.017       16.125    0.031  
995.60       48.5      18.014    0.043       17.985    0.020       16.945    0.024       16.596    0.017       16.187    0.033  
1006.46      59.3      18.479    0.053       18.143    0.012       17.186    0.016       16.894    0.015       16.483    0.022  
1007.48      60.3      18.258    0.041       18.163    0.022       17.229    0.021       16.950    0.018       16.596    0.024  
1009.56      62.4      18.528    0.051       18.183    0.014       17.248    0.022       16.969    0.016       16.575    0.014  
1013.43      66.3      18.567    0.052       18.255    0.017       17.333    0.017       17.085    0.025       16.699    0.014  
1016.53      69.4      18.265    0.074       18.282    0.018       17.374    0.025       17.153    0.018       16.766    0.022  
1021.42      74.3      18.730    0.044       18.344    0.033       17.498    0.019       17.310    0.028       16.959    0.019  
1022.43      75.3      18.534    0.056       18.400    0.018       17.527    0.017       17.358    0.026       17.109    0.038  
1025.43      78.3      18.854    0.049       18.416    0.013       17.582    0.018       17.414    0.011       17.099    0.022  
1028.57      81.4      18.690    0.064       18.443    0.040       17.679    0.026       17.507    0.033       17.205    0.028  
1032.42      85.3      18.959    0.065       18.511    0.013       17.735    0.012       17.592    0.017       17.301    0.018  
1033.42      86.3      18.950    0.037       18.532    0.012       17.747    0.015       17.627    0.015       17.332    0.013  
1034.42      87.3      19.003    0.064       18.546    0.018       17.776    0.014       17.641    0.028       17.366    0.016  
1037.41      90.3      18.848    0.051       18.605    0.030       17.830    0.024       17.737    0.029       17.530    0.032  
1037.42      90.3      19.080    0.067       18.586    0.016       17.827    0.013       17.726    0.012       17.428    0.019  
1043.46      96.3      18.951    0.085       18.626    0.029       17.912    0.020       17.876    0.033       17.624    0.030  
1007.48      60.3      18.258    0.041       18.163    0.022       17.229    0.021       16.950    0.018       16.596    0.024  
1009.56      62.4      18.528    0.051       18.183    0.014       17.248    0.022       16.969    0.016       16.575    0.014  
1013.43      66.3      18.567    0.052       18.255    0.017       17.333    0.017       17.085    0.025       16.699    0.014  
1016.53      69.4      18.265    0.074       18.282    0.018       17.374    0.025       17.153    0.018       16.766    0.022  
1021.42      74.3      18.730    0.044       18.344    0.033       17.498    0.019       17.310    0.028       16.959    0.019  
1022.43      75.3      18.534    0.056       18.400    0.018       17.527    0.017       17.358    0.026       17.109    0.038  
1025.43      78.3      18.854    0.049       18.416    0.013       17.582    0.018       17.414    0.011       17.099    0.022  
1028.57      81.4      18.690    0.064       18.443    0.040       17.679    0.026       17.507    0.033       17.205    0.028  
1032.42      85.3      18.959    0.065       18.511    0.013       17.735    0.012       17.592    0.017       17.301    0.018  
1033.42      86.3      18.950    0.037       18.532    0.012       17.747    0.015       17.627    0.015       17.332    0.013  
1034.42      87.3      19.003    0.064       18.546    0.018       17.776    0.014       17.641    0.028       17.366    0.016  
1037.41      90.3      18.848    0.051       18.605    0.030       17.830    0.024       17.737    0.029       17.530    0.032  
1037.42      90.3      19.080    0.067       18.586    0.016       17.827    0.013       17.726    0.012       17.428    0.019  
1043.46      96.3      18.951    0.085       18.626    0.029       17.912    0.020       17.876    0.033       17.624    0.030  
1007.48      60.3      18.258    0.041       18.163    0.022       17.229    0.021       16.950    0.018       16.596    0.024  
1009.56      62.4      18.528    0.051       18.183    0.014       17.248    0.022       16.969    0.016       16.575    0.014  
1013.43      66.3      18.567    0.052       18.255    0.017       17.333    0.017       17.085    0.025       16.699    0.014  
1016.53      69.4      18.265    0.074       18.282    0.018       17.374    0.025       17.153    0.018       16.766    0.022  
1021.42      74.3      18.730    0.044       18.344    0.033       17.498    0.019       17.310    0.028       16.959    0.019  
1022.43      75.3      18.534    0.056       18.400    0.018       17.527    0.017       17.358    0.026       17.109    0.038  
1025.43      78.3      18.854    0.049       18.416    0.013       17.582    0.018       17.414    0.011       17.099    0.022  
1028.57      81.4      18.690    0.064       18.443    0.040       17.679    0.026       17.507    0.033       17.205    0.028  
1032.42      85.3      18.959    0.065       18.511    0.013       17.735    0.012       17.592    0.017       17.301    0.018  
1033.42      86.3      18.950    0.037       18.532    0.012       17.747    0.015       17.627    0.015       17.332    0.013  
1034.42      87.3      19.003    0.064       18.546    0.018       17.776    0.014       17.641    0.028       17.366    0.016  
1037.41      90.3      18.848    0.051       18.605    0.030       17.830    0.024       17.737    0.029       17.530    0.032  
1037.42      90.3      19.080    0.067       18.586    0.016       17.827    0.013       17.726    0.012       17.428    0.019  
1043.46      96.3      18.951    0.085       18.626    0.029       17.912    0.020       17.876    0.033       17.624    0.030  
1007.48      60.3      18.258    0.041       18.163    0.022       17.229    0.021       16.950    0.018       16.596    0.024  
1009.56      62.4      18.528    0.051       18.183    0.014       17.248    0.022       16.969    0.016       16.575    0.014  
1013.43      66.3      18.567    0.052       18.255    0.017       17.333    0.017       17.085    0.025       16.699    0.014  
1016.53      69.4      18.265    0.074       18.282    0.018       17.374    0.025       17.153    0.018       16.766    0.022  
1021.42      74.3      18.730    0.044       18.344    0.033       17.498    0.019       17.310    0.028       16.959    0.019  
1022.43      75.3      18.534    0.056       18.400    0.018       17.527    0.017       17.358    0.026       17.109    0.038  
1025.43      78.3      18.854    0.049       18.416    0.013       17.582    0.018       17.414    0.011       17.099    0.022  
1028.57      81.4      18.690    0.064       18.443    0.040       17.679    0.026       17.507    0.033       17.205    0.028  
1032.42      85.3      18.959    0.065       18.511    0.013       17.735    0.012       17.592    0.017       17.301    0.018  
1033.42      86.3      18.950    0.037       18.532    0.012       17.747    0.015       17.627    0.015       17.332    0.013  
1034.42      87.3      19.003    0.064       18.546    0.018       17.776    0.014       17.641    0.028       17.366    0.016  
1037.41      90.3      18.848    0.051       18.605    0.030       17.830    0.024       17.737    0.029       17.530    0.032  
1037.42      90.3      19.080    0.067       18.586    0.016       17.827    0.013       17.726    0.012       17.428    0.019  
1043.46      96.3      18.951    0.085       18.626    0.029       17.912    0.020       17.876    0.033       17.624    0.030  
