JD        g	      gErr       r		rErr	
249.6     INDEF   INDEF     INDEF   INDEF 
250.6     17.643  0.025     17.190  0.015 
251.5     17.522  0.022     17.054  0.016 
252.5     17.446  0.020     INDEF   INDEF 
253.6     INDEF   INDEF     INDEF   INDEF 
254.6     17.529  0.033     16.928  0.019 
255.7     INDEF   INDEF     INDEF   INDEF 
256.6     17.691  0.042     16.942  0.016 
258.7     INDEF   INDEF     INDEF   INDEF 
259.5     18.139  0.029     INDEF   INDEF 
260.5     INDEF   INDEF     17.074  0.016 
261.5     18.360  0.150     17.200  0.025 
262.5     INDEF   INDEF     17.253  0.017 
263.5     18.519  0.048     17.334  0.028 
264.5     18.742  0.039     INDEF   INDEF 
265.5     INDEF   INDEF     INDEF   INDEF 
267.7     18.889  0.063     INDEF   INDEF 
269.5     INDEF   INDEF     INDEF   INDEF 
270.7     INDEF   INDEF     INDEF   INDEF 
271.5     INDEF   INDEF     17.966  0.033 
273.6     INDEF   INDEF     INDEF   INDEF 
274.5     INDEF   INDEF     INDEF   INDEF 
276.6     19.483  0.085     INDEF   INDEF 
277.5     INDEF   INDEF     INDEF   INDEF 
278.5     INDEF   INDEF     INDEF   INDEF 
280.5     INDEF   INDEF     INDEF   INDEF 
284.4     INDEF   INDEF     INDEF   INDEF 
286.5     INDEF   INDEF     INDEF   INDEF 
288.5     19.575  0.092     INDEF   INDEF 
289.5     INDEF   INDEF     18.868  0.062 
291.5     INDEF   INDEF     INDEF   INDEF 
292.5     INDEF   INDEF     INDEF   INDEF 
296.5     INDEF   INDEF     INDEF   INDEF 
297.5     19.881  0.157     19.070  0.054 
298.5     INDEF   INDEF     INDEF   INDEF 
299.5     INDEF   INDEF     INDEF   INDEF 
305.5     20.174  0.089     19.293  0.049 
307.6     INDEF   INDEF     INDEF   INDEF 
308.5     20.088  0.101     19.303  0.081 
309.5     INDEF   INDEF     INDEF   INDEF 
313.5     INDEF   INDEF     INDEF   INDEF 
