	Date	JD	Phase	B	B_Err	V	V_Err	R	R_Err	I	I_Err	u	u_Err	g	g_Err	r	r_Err	i	i_Err	z	z_Err
0	2010/06/30	55377.08	-7.50	15.45	0.01	15.21	0.01	15.01	0.01	15.02	0.01	16.53	0.06	15.34	0.01	15.12	0.01	15.50	0.01	15.42	0.02
1	2010/07/10	55386.98	2.40	15.01	0.01	14.64	0.01	14.48	0.01	14.68	0.01	16.19	0.05	14.80	0.01	14.62	0.01	15.24	0.01	15.16	0.01
2	2010/07/12	55388.60	4.00	INDEF	INDEF	14.69	0.01	14.50	0.01	14.80	0.01	16.39	0.05	14.88	0.01	14.64	0.01	15.27	0.01	15.23	0.01
3	2010/07/12	55388.96	4.40	15.08	0.01	14.65	0.01	14.50	0.01	14.76	0.01	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF
4	2010/07/13	55389.98	5.40	INDEF	INDEF	14.71	0.01	14.57	0.01	14.85	0.01	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF
5	2010/07/23	55399.99	15.40	16.19	0.02	15.3	0.01	15.14	0.01	15.15	0.01	17.79	0.09	15.71	0.01	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF
6	2010/07/24	55400.95	16.30	INDEF	INDEF	15.27	0.04	15.14	0.03	15.12	0.04	INDEF	INDEF	INDEF	INDEF	15.26	0.02	15.88	0.05	15.43	0.04
7	2010/07/26	55403.03	18.40	16.61	0.03	15.38	0.01	15.14	0.01	15.03	0.02	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF
8	2010/07/27	55403.97	19.40	16.70	0.02	15.39	0.03	15.13	0.02	15.03	0.02	18.40	0.12	15.96	0.02	15.28	0.01	15.75	0.02	15.54	0.03
9	2010/07/28	55404.96	20.40	16.77	0.06	15.48	0.02	15.15	0.01	15.01	0.01	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF
10	2010/07/29	55405.98	21.40	16.95	0.01	15.58	0.01	15.21	0.01	15.02	0.01	18.47	0.10	16.16	0.01	15.30	0.02	15.67	0.03	INDEF	INDEF
11	2010/07/29	55405.98	21.40	16.91	0.03	15.55	0.01	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF
12	2010/07/30	55406.98	22.40	17.06	0.02	15.63	0.01	15.21	0.01	15.00	0.01	18.66	0.09	16.22	0.02	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF
13	2010/07/30	55406.98	22.40	17.08	0.02	15.60	0.01	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF
14	2010/08/01	55408.99	24.40	17.29	0.02	15.76	0.01	15.26	0.01	14.97	0.01	INDEF	INDEF	16.40	0.01	15.39	0.02	15.69	0.03	15.29	0.01
15	2010/08/02	55409.97	25.40	INDEF	INDEF	15.80	0.01	15.30	0.01	14.98	0.01	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF
16	2010/08/05	55412.98	28.40	INDEF	INDEF	15.94	0.03	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF
17	2010/08/06	55413.98	29.40	17.64	0.04	INDEF	INDEF	15.52	0.01	15.07	0.01	INDEF	INDEF	16.75	0.01	15.67	0.01	15.74	0.01	15.35	0.01
18	2010/08/08	55415.98	31.40	17.79	0.04	16.24	0.01	15.64	0.01	15.24	0.01	INDEF	INDEF	16.88	0.01	15.84	0.01	15.88	0.02	INDEF	INDEF
19	2010/08/09	55416.97	32.40	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	16.02	0.05	INDEF	INDEF
20	2010/08/14	55421.98	37.40	INDEF	INDEF	INDEF	INDEF	16.01	0.01	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF
21	2010/08/19	55426.98	42.40	18.30	0.06	16.70	0.02	16.21	0.01	16.05	0.06	INDEF	INDEF	17.35	0.02	16.37	0.01	16.56	0.04	INDEF	INDEF
22	2010/12/29	55560.03	175.40	INDEF	INDEF	19.84	0.02	20.16	0.01	20.11	0.03	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF
23	2011/03/28	55649.15	264.60	20.85	0.04	20.70	0.44	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	20.49	0.21	21.35	0.21	INDEF	INDEF	INDEF	INDEF
24	2011/04/03	55655.03	270.40	20.99	0.04	21.20	0.03	21.55	0.05	21.12	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF
25	2011/04/23	55674.08	289.50	21.27	0.23	21.17	0.10	21.33	0.12	20.93	0.13	INDEF	INDEF	20.88	0.06	21.86	0.18	21.08	0.09	INDEF	INDEF
