JD		     u		uErr	    g		gErr	   r		rErr	i		  iErr	    B		BErr		V		VErr	uvw2	  uvw2Err  uvm2		uvm2Err		uvw1	uvw1Err	   	J		  JErr		H		  HErr		K		  KErr
5959.57    15.631    0.011    15.533    0.004    15.582    0.005    15.753    0.008    15.591    0.008    15.676    0.007	17.217    0.122    17.001    0.091    15.853    0.075		15.006    0.109     15.334    0.270     15.081    0.485
5960.57    15.448    0.008    INDEF     INDEF    15.322    0.009    15.488    0.009    15.368    0.009    15.416    0.009   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		15.010    0.020     15.210    0.030     15.140    0.050
5961.57    15.323    0.006    15.106    0.004    15.124    0.005    15.282    0.005    15.171    0.008    15.214    0.008   17.257    0.114    17.191    0.093    15.802    0.070		15.060    0.080     15.270    0.180     15.130    0.280 
5962.56    15.233    0.007    INDEF     INDEF    INDEF     INDEF    15.115    0.005    15.027    0.006    15.028    0.005   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		14.910    0.050     15.030    0.050     15.040    0.100
5963.58    15.190    0.011    14.839    0.004    14.814    0.004    14.985    0.004    14.925    0.007    14.896    0.004   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
5964.60    INDEF     INDEF    14.746    0.006    14.704    0.006    14.871    0.008    14.857    0.006    14.785    0.005   17.371    0.116    17.435    0.096    15.892    0.082		14.620    0.050     14.890    0.060     14.910    0.160 
5965.61    15.165    0.016    14.697    0.006    14.608    0.008    14.783    0.008    14.812    0.009    14.698    0.007   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		14.620    0.030     14.740    0.030     14.580    0.060
5966.59    15.156    0.013    INDEF     INDEF    INDEF     INDEF    14.698    0.006    14.759    0.006    14.619    0.005   17.567    0.118    17.811    0.102    16.241    0.091		14.550    0.020     14.630    0.020     14.620    0.060
5967.59    15.199    0.012    INDEF     INDEF    14.472    0.006    14.623    0.007    14.750    0.007    14.562    0.005   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		14.411    0.031     14.440    0.051     14.334    0.112
5968.59    15.254    0.008    14.584    0.007    14.417    0.006    14.578    0.008    14.753    0.004    14.512    0.006   17.683    0.118    17.855    0.103    16.362    0.087		14.430    0.020     14.470    0.020     14.400    0.040
5969.59    15.321    0.009    14.572    0.004    14.369    0.004    14.517    0.008    14.780    0.004    14.479    0.007   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF       14.430    0.020     14.410    0.020     14.310    0.040
5970.56    15.425    0.009    14.579    0.004    14.336    0.005    14.467    0.007    14.830    0.008    14.458    0.008   INDEF     INDEF    INDEF     INDEF    17.296    0.104		14.430    0.020     14.360    0.020     14.270    0.040 
5971.57    15.520    0.010    14.586    0.007    14.288    0.009    14.431    0.009    14.829    0.006    14.412    0.006   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		14.410    0.020     14.320    0.020     14.290    0.040
5972.57    15.629    0.009    14.646    0.004    14.287    0.005    14.423    0.008    14.915    0.004    14.422    0.006   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		14.434    0.031     INDEF     INDEF     INDEF     INDEF
5973.55    15.751    0.009    14.698    0.004    14.279    0.004    14.389    0.005    15.007    0.005    14.428    0.006   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		14.430    0.020     14.250    0.020     14.120    0.040 
5974.57    15.893    0.007    14.750    0.004    14.268    0.004    14.370    0.004    15.086    0.004    14.437    0.004   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		14.460    0.020     14.280    0.020     14.160    0.040
5976.96    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF	INDEF     INDEF    19.565    0.296    INDEF     INDEF		14.440    0.050     14.230    0.070     13.940    0.080
5977.72    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF	19.073    0.226    INDEF     INDEF    17.663    0.107 		14.400    0.020     14.070    0.020     14.040    0.040
5979.58    16.859    0.009    15.235    0.005    14.322    0.005    INDEF     INDEF    15.699    0.007    14.671    0.006   19.128    0.230    INDEF     INDEF    18.034    0.137       INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
5982.36    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF	19.600    0.376    INDEF     INDEF    18.093    0.171		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
5983.50    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF	INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		14.280    0.033     INDEF     INDEF     INDEF     INDEF
5985.54    17.998    0.015    15.934    0.004    14.604    0.004    14.470    0.004    16.498    0.006    15.121    0.005   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
5986.57    18.138    0.017    16.063    0.008    INDEF     INDEF    14.517    0.004    16.601    0.007    15.204    0.005   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
5988.57    18.350    0.024    16.211    0.005    14.800    0.004    14.608    0.004    16.792    0.007    15.364    0.005   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
5989.79    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF	INDEF     INDEF    INDEF     INDEF    19.094    0.219 		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
5990.58    18.496    0.051    16.352    0.006    14.925    0.005    14.716    0.005    INDEF     INDEF    INDEF     INDEF   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF       14.380    0.030     14.080    0.020     14.200    0.050
5991.58    18.672    0.076    16.422    0.008    14.983    0.005    14.769    0.004    17.018    0.011    15.559    0.004   INDEF     INDEF    INDEF     INDEF    19.341    0.262		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
5992.56    18.656    0.041    16.511    0.006    15.047    0.008    14.811    0.006    17.074    0.011    15.643    0.008   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
