JD         J		 JErr	   H	    HErr	    K	     KErr
55960.4    15.006    0.109     15.334    0.270     15.081    0.485 
55960.4    15.610    0.210     INDEF     INDEF     INDEF     INDEF 
55961.4    14.980    0.224     15.079    0.217     14.684    0.311 
55961.4    15.010    0.020     15.210    0.030     15.140    0.050 
55961.5    14.931    0.037     INDEF     INDEF     INDEF     INDEF 
55961.5    15.060    0.080     15.270    0.180     15.130    0.280 
55961.8    14.980    0.040     15.280    0.050     15.160    0.100 
55962.8    14.910    0.050     15.030    0.050     15.040    0.100 
55964.8    14.620    0.050     14.890    0.060     14.910    0.160 
55965.8    14.620    0.030     14.740    0.030     14.580    0.060 
55966.4    INDEF     INDEF     14.602    0.064     14.419    0.156 
55966.5    14.659    0.030     INDEF     INDEF     INDEF     INDEF 
55966.8    14.550    0.020     14.630    0.020     14.620    0.060 
55967.8    14.520    0.020     14.610    0.020     14.530    0.050 
55968.4    14.411    0.031     14.440    0.051     14.334    0.112 
55968.4    14.520    0.050     INDEF     INDEF     14.250    0.090 
55968.5    14.387    0.037     INDEF     INDEF     INDEF     INDEF 
55968.8    14.430    0.020     14.470    0.020     14.400    0.040 
55969.4    14.486    0.010     14.397    0.007     14.257    0.016 
55969.5    14.550    0.060     INDEF     INDEF     14.440    0.110 
55969.7    14.430    0.020     14.410    0.020     14.310    0.040 
55970.7    14.430    0.020     14.360    0.020     14.270    0.040 
55971.8    14.410    0.020     14.320    0.020     14.290    0.040 
55972.5    14.434    0.031     INDEF     INDEF     INDEF     INDEF 
55973.5    14.348    0.033     14.262    0.061     INDEF     INDEF 
55973.8    14.430    0.020     14.250    0.020     14.120    0.040 
55974.4    14.255    0.006     14.255    0.006     14.062    0.060 
55974.8    14.460    0.020     14.280    0.020     14.160    0.040 
55975.8    14.340    0.020     14.170    0.020     14.130    0.040 
55976.4    14.382    0.055     14.094    0.072     13.753    0.203 
55977.4    14.333    0.032     14.055    0.014     13.917    0.034 
55977.4    14.440    0.050     14.230    0.070     13.940    0.080 
55977.5    14.345    0.034     INDEF     INDEF     INDEF     INDEF 
55977.8    14.400    0.020     14.070    0.020     14.040    0.040 
55983.5    14.280    0.033     INDEF     INDEF     INDEF     INDEF 
55990.8    14.380    0.030     14.080    0.020     14.200    0.050 
55993.7    14.380    0.030     14.170    0.020     14.300    0.060 
55995.4    INDEF     INDEF     14.536    0.254     INDEF     INDEF 
55996.4    14.705    0.030     INDEF     INDEF     INDEF     INDEF 
55996.8    14.550    0.030     14.290    0.030     14.320    0.060 
55999.4    14.705    0.030     INDEF     INDEF     INDEF     INDEF 
56000.4    14.653    0.205     INDEF     INDEF     INDEF     INDEF 
56006.8    15.510    0.090     14.730    0.060     14.600    0.150 
56021.7    15.960    0.120     15.380    0.080     16.580    0.720 
56027.7    16.300    0.150     15.250    0.080     16.420    0.520 
