JD         U       UErr		B		BErr	g	   gErr     V		VErr	R		RErr		I	IErr       
55960.4    INDEF  INDEF    INDEF  INDEF    15.330 0.020    INDEF  INDEF    15.130  0.020     15.080  0.030 
55960.5    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    15.273 0.230    15.096  0.046     15.054  0.052 
55961.4    INDEF  INDEF    INDEF  INDEF    15.160 0.030    INDEF  INDEF    14.930  0.020     14.850  0.030 
55961.4    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    15.181  0.029     15.210  0.035 
55961.5    INDEF  INDEF    INDEF  INDEF    15.125 0.004    INDEF  INDEF    14.973  0.004     15.050  0.010 
55961.5    INDEF  INDEF    14.827 0.023    INDEF  INDEF    14.778 0.024    14.803  0.175     14.700  0.175 
55964.4    INDEF  INDEF    INDEF  INDEF    14.950 0.060    INDEF  INDEF    14.530  0.040     14.560  0.050 
55964.5    INDEF  INDEF    14.735 0.026    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF      INDEF  INDEF  
55965.4    14.072  0.106   14.922 0.012    INDEF  INDEF    14.871 0.050    14.273  0.077     INDEF  INDEF  
55965.4    INDEF  INDEF    14.832 0.049    INDEF  INDEF    14.661 0.048    14.495  0.033     14.425  0.027 
55965.4    INDEF  INDEF    INDEF  INDEF    14.738 0.047    INDEF  INDEF    14.423  0.100     14.279  0.073 
55965.4    INDEF  INDEF    INDEF  INDEF    14.770 0.050    INDEF  INDEF    14.510  0.040     14.580  0.070 
55966.4    INDEF  INDEF    14.741 0.008    INDEF  INDEF    14.598 0.003    INDEF  INDEF      INDEF  INDEF  
55966.4    INDEF  INDEF    INDEF  INDEF    14.714 0.047    INDEF  INDEF    14.385  0.117     14.277  0.078 
55966.5    INDEF  INDEF    INDEF  INDEF    14.720 0.030    INDEF  INDEF    14.340  0.020     14.260  0.020 
55966.5    INDEF  INDEF    INDEF  INDEF    14.790 0.030    INDEF  INDEF    14.360  0.020     14.270  0.030 
55968.4    INDEF  INDEF    14.790 0.021    INDEF  INDEF    14.518 0.024    14.322  0.025     14.215  0.021 
55968.4    INDEF  INDEF    INDEF  INDEF    14.670 0.010    INDEF  INDEF    14.280  0.010     14.240  0.010 
55969.5    INDEF  INDEF    14.824 0.022    INDEF  INDEF    14.506 0.042    14.284  0.041     14.192  0.026 
55969.6    INDEF  INDEF    INDEF  INDEF    14.669 0.005    INDEF  INDEF    14.300  0.005     14.404  0.009 
55971.5    INDEF  INDEF    14.942 0.026    INDEF  INDEF    14.448 0.027    14.244  0.033     14.118  0.024 
55971.5    INDEF  INDEF    INDEF  INDEF    14.667 0.003    INDEF  INDEF    14.154  0.005     14.383  0.005 
55972.5    INDEF  INDEF    INDEF  INDEF    14.820 0.050    INDEF  INDEF    14.150  0.020     14.040  0.030 
55973.4    INDEF  INDEF    INDEF  INDEF    14.800 0.020    INDEF  INDEF    14.150  0.010     14.040  0.020 
55974.4    INDEF  INDEF    15.264 0.037    INDEF  INDEF    14.500 0.030    14.204  0.031     14.008  0.024 
55974.4    INDEF  INDEF    INDEF  INDEF    14.784 0.063    INDEF  INDEF    14.159  0.101     13.998  0.078 
55975.4    INDEF  INDEF    INDEF  INDEF    14.870 0.020    INDEF  INDEF    14.220  0.010     13.960  0.020 
55975.4    INDEF  INDEF    INDEF  INDEF    14.893 0.059    INDEF  INDEF    14.217  0.107     13.925  0.063 
55975.5    INDEF  INDEF    15.396 0.030    INDEF  INDEF    14.500 0.024    14.211  0.028     13.988  0.022 
