JD           uvw2	uvw2Err		uvm2	uvm2Err		uvw1	uvw1Err
5959.77     17.217    0.122    17.001    0.091    15.853    0.075 
5961.95     17.257    0.114    17.191    0.093    15.802    0.070 
5965.02     17.371    0.116    17.435    0.096    15.892    0.082 
5967.00     17.567    0.118    17.811    0.102    16.241    0.091 
5968.66     17.683    0.118    17.855    0.103    16.362    0.087 
5971.11     INDEF     INDEF    INDEF     INDEF    17.296    0.104 
5976.96     INDEF     INDEF    19.565    0.296    INDEF     INDEF     
5977.72     19.073    0.226    INDEF     INDEF    17.663    0.107 
5979.60     19.128    0.230    INDEF     INDEF    18.034    0.137 
5982.36     19.600    0.376    INDEF     INDEF    18.093    0.171 
5989.79     INDEF     INDEF    INDEF     INDEF    19.094    0.219
5992.13     INDEF     INDEF    INDEF     INDEF    19.341    0.262
5994.01     INDEF     INDEF    INDEF     INDEF    19.483    0.290
5998.08     INDEF     INDEF    INDEF     INDEF    19.532    0.302
