Date	   Epoch	    JD		Phase		U		UErr	B		BErr	V		VErr	R		RErr		I		IErr
2014/01/24     2456000	682.43     -7.71     12.75    0.01     12.45    0.02     11.12    0.02     10.49    0.02     10.09   0.02
2014/01/25     2456000	683.49     -6.65     12.62    0.01     12.30    0.02     10.98    0.01     10.39    0.01     9.99    0.01
2014/01/26     2456000	684.49     -5.65     12.51    0.02     12.20    0.01     10.87    0.01     10.31    0.01     9.95    0.02
2014/01/27     2456000	685.50     -4.64     12.46    0.02     12.10    0.01     10.78    0.01     10.25    0.01     9.86    0.02
2014/01/28     2456000	686.24     -3.90     12.41    0.01     12.07    0.02     10.73    0.02     10.21    0.01     9.85    0.01
2014/01/29     2456000	687.36     -2.78     12.36    0.01     12.01    0.02     10.65    0.01     10.13    0.02     9.82    0.01
2014/01/30     2456000	688.38     -1.76     12.36    0.02     11.96    0.01     10.61    0.02     10.11    0.02     9.81    0.02
2014/01/31     2456000	689.37     -0.77     12.34    0.01     11.94    0.01     10.56    0.01     10.13    0.01     9.83    0.02
2014/02/01     2456000	690.41     +0.27     12.38    0.01     11.94    0.01     10.55    0.01     10.10    0.01     9.85    0.01
2014/02/02     2456000	691.06     +0.92     12.41    0.01     11.95    0.01     10.54    0.02     10.11    0.02     9.86    0.02
2014/02/03     2456000	692.29     +2.15     INDEF	 INDEF    INDEF    INDEF    10.56    0.01     10.14    0.01     9.92    0.02
2014/02/05     2456000	694.17     +4.03     12.56    0.01     12.03    0.01     10.57    0.01     10.15    0.01     9.97    0.01
2014/02/07     2456000	696.42     +6.28     12.69    0.01     12.14    0.01     10.61    0.01     10.21    0.02     10.05   0.02
2014/02/09     2456000	698.46     +8.32     12.84    0.01     12.28    0.02     10.72    0.02     10.34    0.01     10.17   0.01
2014/02/11     2456000	700.28     +10.14    13.00    0.01     12.43    0.01     10.83    0.01     10.47    0.02     10.30   0.01
2014/02/12     2456000	701.34     +11.20    13.11    0.01     12.52    0.01     10.89    0.01     10.54    0.01     10.34   0.01
2014/02/16     2456000	705.34     +15.20    13.58    0.01     12.92    0.02     11.13    0.004    10.78    0.02     10.41   0.01
2014/02/17     2456000	706.15     +16.01    13.68    0.02     12.99    0.01     11.18    0.01     10.78    0.01     10.39   0.02
2014/02/18     2456000	707.09     +16.95    13.82    0.01     13.13    0.01     11.24    0.01     10.80    0.01     10.38   0.01
2014/02/18     2456000	707.49     +17.35    INDEF	 INDEF    13.17    0.01     11.26    0.01     10.80    0.02     10.39   0.01
2014/02/19     2456000	708.38     +18.24    13.98    0.01     13.26    0.01     11.27    0.01     10.82    0.01     10.35   0.01
2014/02/20     2456000	709.31     +19.17    14.11    0.02     13.37    0.01     11.32    0.01     10.81    0.02     10.34   0.01
2014/02/21     2456000	710.24     +20.10    INDEF	 INDEF    13.45    0.02     11.34    0.02     10.80    0.01     10.30   0.01
2014/02/23     2456000	712.34     +22.20    INDEF    INDEF    13.67    0.01     11.39    0.01     10.80    0.01     10.24   0.01
2014/02/24     2456000	713.32     +23.18    14.58    0.01     13.76    0.01     11.43    0.01     10.79    0.01     10.22   0.01
2014/02/25     2456000	714.32     +24.18    14.69    0.01     13.84    0.01     11.47    0.01     10.79    0.02     10.20   0.01
2014/02/26     2456000	715.32     +25.18    14.79    0.01     13.93    0.01     11.51    0.02     10.82    0.01     10.19   0.01
2014/02/27     2456000	716.30     +26.16    INDEF    INDEF    14.05    0.01     11.55    0.02     10.84    0.01     10.18   0.01
2014/02/28     2456000	717.27     +27.13    INDEF    INDEF    INDEF    INDEF    11.60    0.01     10.86    0.01     10.18   0.01
2014/03/01     2456000	718.39     +28.25    15.02    0.02     14.20    0.01     11.65    0.01     10.91    0.02     10.17   0.01
2014/03/03     2456000	720.31     +30.17    15.16    0.01     14.34    0.01     11.73    0.01     10.96    0.01     10.20   0.02
2014/03/04     2456000	721.33     +31.19    15.22    0.01     14.40    0.01     11.80    0.01     11.00    0.01     10.20   0.01
2014/03/05     2456000	722.28     +32.14    15.31    0.02     14.47    0.02     11.87    0.01     11.05    0.01     10.21   0.03
