Date                 Phase       B         BErr     V           VErr         R          RErr            I           IErr
20141030             9.83        14.105    0.015    13.620    	0.037        13.296     0.020           13.255      0.009 
20141123             33.17       16.186    0.019    15.015    	0.017        14.610     0.024           14.179      0.012 
20141125             36.14       16.156    0.015    15.039    	0.019        14.610     0.023           INDEF       INDEF 
20141126             37.12       16.161    0.014    15.061      0.019        14.626     0.025           14.238      0.013 
20141201             42.11       16.338    0.014    15.221      0.016        14.940     0.023           14.447   	0.011 
20141204             45.13       16.414    0.015    15.336    	0.017        14.961     0.023           14.556   	0.010 
20141205             46.38       16.196    0.024    15.309    	0.019        14.973     0.024           14.573   	0.017 
20141208             49.15       16.418    0.023    15.427    	0.018        15.059     0.030           14.642   	0.024 
20141209             50.38       16.524    0.025    INDEF       INDEF        15.069     0.024           14.675   	0.015 
20141210             51.33       16.462    0.028    15.467    	0.021        15.090     0.024           14.701   	0.017 
20141216             57.38       INDEF     INDEF    15.618    	0.019        15.264     0.024           14.876   	0.012 
20141229             70.33       INDEF     INDEF    15.893    	0.028        15.651     0.028           15.187      0.016 
20150104             76.32       INDEF     INDEF    16.095    	0.018        15.702     0.025           INDEF       INDEF 
20150106             78.39       INDEF     INDEF    16.216    	0.026        15.767     0.027           15.336    	0.019 
20150107             78.99       INDEF     INDEF    16.131    	0.022        15.773     0.024           15.324    	0.017 
20150109             81.29       INDEF     INDEF    16.094    	0.020        15.800     0.025           15.375    	0.013 
20150120             92.29       INDEF     INDEF    16.303    	0.024        15.986     0.028           15.556    	0.017 
20150130             102.28      INDEF     INDEF    16.479    	0.023        16.153     0.029           15.668    	0.021 
20150204             107.36      17.489    0.097    16.652    	0.035        16.226     0.028           15.774    	0.022 
20150406             168.17      INDEF     INDEF    17.313    	0.032        16.729     0.028           16.189    	0.018 
20150407             169.16      18.424    0.061    17.296    	0.025        16.775     0.031           16.233    	0.024 
20150408             170.12      18.177    0.053    17.257    	0.031        16.894     0.029           16.272      0.023 
20150418             180.11      INDEF     INDEF    17.384    	0.032        16.855     0.029           16.216    	0.028 
20150421             183.12      INDEF     INDEF    17.412    	0.034        16.850     0.032           16.216    	0.025 
20150424             186.15      INDEF     INDEF    17.435    	0.030        16.859     0.033           16.371    	0.029 
20150502             194.13      INDEF     INDEF    17.638    	0.062        16.940     0.039           16.370    	0.029 
20150503             195.06      INDEF     INDEF    17.663    	0.049        17.100     0.053           16.369      0.023 
20150505             197.14      INDEF     INDEF    17.520    	0.032        17.007     0.031           16.189    	0.044 
20150530             222.44      INDEF     INDEF    INDEF       INDEF        INDEF      INDEF           16.784    	0.023 
20151201             407.06      INDEF     INDEF    19.024    	0.025        18.323     0.026           17.643    	0.014 
