JD		    Phase	  U	    UErr	  B	   BErr	      V	    VErr	   R	RErr	    I	IErr	  g	    gErr	  r	   rErr	       i	  iErr
56949.00    -9.39    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56952.00    -6.39    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56953.18    -5.21    INDEF  INDEF    18.17  0.02     17.93  0.04     17.89  0.02     17.46  0.02     17.95  0.03     17.98  0.03     17.74  0.04    
56953.45    -4.94    INDEF  INDEF    18.12  0.04     17.95  0.03     17.82  0.03     17.51  0.04     17.92  0.05     17.91  0.03     17.78  0.06    
56954.04    -4.35    17.44  0.03     18.07  0.01     17.86  0.01     17.68  0.05     17.52  0.03     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56954.99    -3.40    17.55  0.07     17.95  0.01     17.79  0.01     17.59  0.05     17.49  0.03     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56955.99    -2.40    17.46  0.07     17.92  0.01     17.69  0.01     17.50  0.05     17.38  0.03     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56956.00    -2.39    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56958.00    -0.39    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56960.06    1.67     INDEF  INDEF    17.94  0.02     17.55  0.02     17.28  0.04     17.19  0.04     17.70  0.03     17.37  0.05     17.66  0.08    
56960.13    1.74     17.68  0.16     17.89  0.02     17.52  0.02     17.34  0.05     17.15  0.03     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56962.14    3.75     INDEF  INDEF    18.10  0.03     17.55  0.03     17.32  0.05     17.03  0.05     17.74  0.04     17.51  0.03     17.49  0.04    
56962.17    3.78     17.97  0.05     17.81  0.01     17.51  0.01     17.26  0.01     17.02  0.01     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56962.99    4.60     INDEF  INDEF    18.08  0.02     17.53  0.02     17.28  0.05     17.10  0.03     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56965.16    6.77     18.52  0.05     18.46  0.01     17.61  0.02     17.29  0.05     17.02  0.03     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56966.00    7.61     INDEF  INDEF    18.49  0.09     17.59  0.06     17.35  0.05     17.00  0.05     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56967.00    8.61     INDEF  INDEF    18.53  0.05     17.65  0.03     17.30  0.03     17.01  0.08     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56967.08    8.69     INDEF  INDEF    18.52  0.06     17.66  0.03     17.34  0.02     17.01  0.01     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56968.00    9.61     INDEF  INDEF    18.67  0.08     17.75  0.04     17.36  0.04     17.02  0.05     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56969.12    10.73    INDEF  INDEF    18.76  0.06     17.87  0.06     17.40  0.05     17.01  0.09     18.28  0.07     17.65  0.05     17.53  0.05    
56970.00    11.61    INDEF  INDEF    18.83  0.05     17.84  0.02     17.39  0.02     17.07  0.02     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56971.00    12.61    INDEF  INDEF    18.90  0.06     18.04  0.03     17.55  0.02     17.14  0.03     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56971.04    12.65    INDEF  INDEF    18.83  0.02     17.99  0.01     17.51  0.01     17.07  0.01     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56972.00    13.61    INDEF  INDEF    19.16  0.04     18.14  0.02     17.57  0.02     17.19  0.02     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56973.00    14.61    INDEF  INDEF    19.41  0.09     18.18  0.02     17.63  0.02     17.25  0.03     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56973.21    14.82    INDEF  INDEF    19.35  0.12     18.19  0.08     17.66  0.02     17.22  0.02     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56976.03    17.64    INDEF  INDEF    20.03  0.05     18.43  0.02     17.82  0.06     17.38  0.03     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
56977.53    19.14    INDEF  INDEF    20.32  0.06     18.54  0.02     17.92  0.01     17.31  0.01     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF   
