JD		    Phase     g		gErr	r		rErr
56949.00    -9.39   INDEF  INDEF    INDEF  INDEF
56952.00    -6.39   INDEF  INDEF    INDEF  INDEF
56953.18    -5.21   17.95  0.03     17.98  0.03 
56953.45    -4.94   17.92  0.05     17.91  0.03 
56954.04    -4.35   INDEF  INDEF    INDEF  INDEF
56954.99    -3.40   INDEF  INDEF    INDEF  INDEF
56955.99    -2.40   INDEF  INDEF    INDEF  INDEF
56956.00    -2.39   INDEF  INDEF    INDEF  INDEF
56958.00    -0.39   INDEF  INDEF    INDEF  INDEF
56960.06     1.67   17.70  0.03     17.37  0.05 
56960.13     1.74   INDEF  INDEF    INDEF  INDEF
56962.14     3.75   17.74  0.04     17.51  0.03 
56962.17     3.78   INDEF  INDEF    INDEF  INDEF
56962.99     4.60   INDEF  INDEF    INDEF  INDEF
56965.16     6.77   INDEF  INDEF    INDEF  INDEF
56966.00     7.61   INDEF  INDEF    INDEF  INDEF
56967.00     8.61   INDEF  INDEF    INDEF  INDEF
56967.08     8.69   INDEF  INDEF    INDEF  INDEF
56968.00     9.61   INDEF  INDEF    INDEF  INDEF
56969.12    10.73   18.28  0.07     17.65  0.05 
56970.00    11.61   INDEF  INDEF    INDEF  INDEF
56971.00    12.61   INDEF  INDEF    INDEF  INDEF
56971.04    12.65   INDEF  INDEF    INDEF  INDEF
56972.00    13.61   INDEF  INDEF    INDEF  INDEF
56973.00    14.61   INDEF  INDEF    INDEF  INDEF
56973.21    14.82   INDEF  INDEF    INDEF  INDEF
56976.03    17.64   INDEF  INDEF    INDEF  INDEF
56977.53    19.14   INDEF  INDEF    INDEF  INDEF
56980.00    21.61   INDEF  INDEF    INDEF  INDEF
56981.21    22.82   19.76  0.09     18.78  0.04 
56982.00    23.61   INDEF  INDEF    INDEF  INDEF
56983.17    24.78   INDEF  INDEF    INDEF  INDEF
56984.00    25.61   INDEF  INDEF    INDEF  INDEF
56985.00    26.61   INDEF  INDEF    INDEF  INDEF
56989.04    30.65   INDEF  INDEF    INDEF  INDEF
56989.26    30.87   20.37  0.09     19.57  0.08 
