JD	EXPTIME	B	BErr	V	VErr	R	RErr	I	IErr	Y	YErr	J	JErr	H	HErr	K	KErr
826.759    15    13.557  0.064     13.398  0.041     13.352  0.033     13.255  0.054     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF
827.742    15    13.253  0.067     13.103  0.041     13.038  0.032     12.997  0.057     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF
828.782    30    INDEF  INDEF    12.844  0.042     12.776  0.035     12.725  0.057     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF
829.781    30    12.685  0.067     12.572  0.046     12.518  0.033     12.483  0.054     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF
830.763    30    12.462  0.069     12.366  0.044     12.311  0.034     12.266  0.054     12.598  0.035     12.433  0.046     12.531  0.032     12.518  0.083 
831.773    30    12.263  0.063     12.172  0.048     12.128  0.049     12.102  0.065     12.470  0.030     12.277  0.049     12.380  0.037     INDEF  INDEF
832.755    30    12.095  0.065     12.035  0.045     11.985  0.038     11.961  0.063     12.339  0.038     12.153  0.051     12.269  0.037     12.176  0.064 
833.730    15    INDEF  INDEF    11.902  0.052     11.845  0.047     INDEF  INDEF    12.247  0.032     12.076  0.040     12.201  0.038     12.102  0.048 
834.677    15    11.857  0.069     11.824  0.056     11.758  0.051     11.762  0.079     12.175  0.033     11.965  0.041     12.153  0.044     INDEF  INDEF
835.783    15    11.766  0.079     11.749  0.057     11.681  0.053     11.695  0.079     12.144  0.034     11.947  0.045     12.139  0.039     11.860  0.052 
836.759    15    11.707  0.087     11.658  0.058     11.616  0.053     11.650  0.085     12.117  0.031     11.885  0.039     12.116  0.041     INDEF  INDEF
837.747    15    11.640  0.088     INDEF  INDEF    INDEF  INDEF    11.636  0.086     12.178  0.031     11.905  0.042     12.152  0.043     11.862  0.051 
838.802    15    11.616  0.088     11.563  0.054     11.539  0.048     11.635  0.074     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF
839.772    15    INDEF  INDEF    11.512  0.047     11.530  0.039     INDEF  INDEF    12.204  0.031     11.906  0.038     12.175  0.037     11.884  0.045 
840.768    15    11.575  0.085     11.509  0.047     11.516  0.039     11.698  0.060     12.373  0.033     12.024  0.044     12.272  0.035     11.940  0.044 
841.807    15    11.586  0.077     11.508  0.048     11.516  0.044     11.730  0.059     12.477  0.035     12.061  0.046     12.313  0.038     11.958  0.045 
842.789    15    11.594  0.076     11.511  0.047     11.522  0.039     11.757  0.060     12.562  0.036     12.121  0.048     12.406  0.037     INDEF  INDEF
843.791    15    11.614  0.082     11.505  0.047     11.512  0.038     11.791  0.059     12.661  0.030     12.222  0.044     12.398  0.034     11.999  0.047 
844.733    15    11.664  0.073     11.521  0.046     11.516  0.038     11.811  0.058     12.697  0.032     12.274  0.047     12.392  0.038     12.031  0.046 
845.756    15    11.691  0.074     11.540  0.048     11.541  0.039     11.862  0.057     12.765  0.034     12.384  0.043     12.400  0.042     12.155  0.048 
846.665    15    11.733  0.075     11.555  0.048     11.561  0.039     11.883  0.058     12.833  0.033     12.443  0.044     12.361  0.039     12.178  0.064 
847.755    15    11.806  0.078     11.609  0.049     11.612  0.040     11.949  0.057     12.895  0.033     12.582  0.043     12.408  0.044     12.216  0.057 
848.757    15    11.891  0.079     11.637  0.049     11.659  0.040     12.007  0.058     12.965  0.037     12.773  0.052     12.445  0.040     12.229  0.050 
849.735    15    11.940  0.081     11.662  0.116     11.698  0.118     12.080  0.058     12.976  0.030     12.873  0.039     12.464  0.040     12.328  0.046 
850.793    15    12.017  0.082     11.703  0.094     11.771  0.093     12.135  0.179     13.009  0.034     13.063  0.045     12.449  0.037     12.283  0.047 
853.722    15    12.314  0.142     11.892  0.073     12.010  0.071     12.312  0.115     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF
