JD          Phase        g      gErr      r       rErr   
58635.23    -3.55       19.85    0.17     19.93    0.13   
58638.22    -0.59       19.92    0.18     19.72    0.12  
58639.38    +0.55       19.88    0.05     19.68    0.04   
58641.26    +2.41       19.99    0.09     19.63    0.07   
58642.26    +3.40       20.06    0.09     19.63    0.09   
58643.26    +4.39       20.13    0.04     19.69    0.03   
58644.27    +5.39       20.15    0.06     19.70    0.04   
58645.41    +6.52       20.46    0.18     19.78    0.09   
58646.31    +7.41       20.56    0.12     19.80    0.04   
58647.35    +8.43       20.81    0.13     19.93    0.04   
58648.36    +9.43       20.74    0.16     19.92    0.06   
58649.34    +10.40      20.99    0.28     19.94    0.08   
58650.27    +11.32      21.46    0.24     20.15    0.06   
58651.30    +12.34      20.91    0.25     20.16    0.09   
58652.29    +13.32      INDEF    INDEF    20.43    0.23   
58656.27    +17.26      21.55    0.25     20.58    0.07   
58662.28    +23.20      21.64    0.13     20.83    0.09   
58666.28    +27.15      22.24    0.27     21.11    0.07   
58670.28    +31.11      INDEF    INDEF    21.60    0.25   
58674.28    +35.06      INDEF    INDEF    21.56    0.27   
58688.28    +48.91      INDEF    INDEF    22.17    0.20   
