   Date           Phase    JD   	         U    	 UErr        B 	  BErr     V         VErr     R        RErr 		  I 	 IErr
 2003-04-25       -11.0     2452755.39      INDEF 	 INDEF      14.737   0.018      14.854   0.014      14.728   0.010      14.798   0.017 
 2003-04-25       -10.8     2452755.61      14.382    0.011      14.629   0.010      14.774   0.010      14.672   0.010      14.756   0.021 
 2003-04-29       -7.3	   2452759.06      INDEF 	 INDEF      13.974   0.014      14.072   0.022      13.963   0.015      14.052   0.017 
 2003-04-30       -6.2	   2452760.17      INDEF 	 INDEF      13.820   0.024      13.920   0.012      13.852   0.010      13.936   0.024 
 2003-04-30       -5.8	   2452760.54      13.193    0.034      13.719   0.018      13.860   0.010      13.754   0.010      13.921   0.021 
 2003-05-02       -4.0	   2452762.38      13.077    0.015      13.589   0.021      13.712   0.027      13.639   0.022      13.834   0.023 
 2003-05-04       -1.9	   2452764.46      INDEF 	 INDEF      13.496   0.010      13.614   0.018      13.592   0.010      13.841   0.010 
 2003-05-05       -1.0	   2452765.41      INDEF 	 INDEF      13.489   0.012      13.595   0.019      13.569   0.010      13.857   0.011 
 2003-05-06       +0.0     2452766.40      INDEF 	 INDEF      13.489   0.019      13.566   0.025      13.575   0.011      13.870   0.010 
 2003-05-07       +1.1     2452767.51      INDEF 	 INDEF      13.506   0.015      13.575   0.014      13.590   0.018      13.927   0.016 
 2003-05-09       +3.1     2452769.51      INDEF 	 INDEF      13.566   0.010      13.587   0.021      13.600   0.010      14.009   0.010 
 2003-05-10       +4.2     2452770.61      13.234    0.014      13.605   0.010      13.620   0.016      13.600   0.010      13.982   0.016 
 2003-05-11       +5.1     2452771.51      13.316    0.040      13.643   0.011      13.642   0.017      INDEF    INDEF	    14.017   0.010 
 2003-05-13       +7.2     2452773.59      13.597    0.021      13.764   0.010      13.712   0.010      13.786   0.011      14.205   0.018 
 2003-05-14       +8.2     2452774.56      13.651    0.017      13.845   0.011      13.758   0.010      13.838   0.010      14.271   0.010 
 2003-05-15       +9.1     2452775.44      13.749    0.017      13.908   0.010      13.795   0.011      13.908   0.011      14.352   0.015 
 2003-05-16       +10.1    2452776.45      13.838    0.021      14.004   0.014      13.842   0.010      13.979   0.010      14.443   0.011 
