JD		  B			BErr	 V         VErr     R         RErr     I         IErr
411.78    17.920    0.035    17.995    0.018    17.868    0.017    17.926    0.020 
412.78    17.755    0.021    17.896    0.027    17.886    0.032    17.601    0.042 
419.81     INDEF    INDEF    INDEF     INDEF    17.644    0.078    17.377    0.070 
421.76    18.180    0.058    17.764    0.043    17.576    0.038    17.381    0.055 
422.74    18.220    0.041    17.757    0.025    17.575    0.023    17.424    0.048 
423.73    18.339    0.025    17.861    0.025    17.564    0.071    17.492    0.034 
424.75    18.576    0.034    17.916    0.028    17.625    0.022    17.501    0.052 
425.75    18.771    0.048    17.958    0.030    17.651    0.032    17.539    0.054 
426.71    18.879    0.051    17.989    0.039    17.640    0.042    17.506    0.048 
427.71    19.047    0.088    18.095    0.044    17.681    0.025    17.510    0.063 
428.75    19.232    0.061    18.190    0.037    17.779    0.031    17.563    0.056 
429.74    19.424    0.068    18.248    0.042    17.756    0.030    17.552    0.043 
430.70    19.547    0.115    18.368    0.039    17.879    0.029    17.638    0.047 
431.76    19.543    0.206    18.440    0.059    17.858    0.047    17.509    0.062 
432.69    19.783    0.149    18.477    0.040    17.923    0.027    17.584    0.044 
433.73    19.985    0.031    18.691    0.025    18.018    0.019    INDEF     INDEF 
433.78    20.041    0.037    18.670    0.023    INDEF     INDEF    17.632    0.015 
433.79    INDEF     INDEF    18.613    0.031    INDEF     INDEF    INDEF     INDEF 
434.70    19.975    0.176    18.574    0.087    17.974    0.030    17.651    0.075 
435.69    19.974    0.146    18.739    0.047    18.064    0.035    17.844    0.078 
435.71    20.142    0.035    18.826    0.035    18.124    0.015    17.702    0.034 
435.71    INDEF     INDEF    18.840    0.035    INDEF     INDEF    INDEF     INDEF 
436.74    20.275    0.126    18.789    0.083    18.172    0.046    17.777    0.065 
436.75    20.277    0.035    18.933    0.024    18.174    0.016    17.916    0.024 
437.70    20.270    0.195    18.922    0.072    18.335    0.040    17.867    0.056 
437.70    20.362    0.041    18.944    0.032    18.222    0.015    17.920    0.032 
437.74    20.315    0.031    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF 
438.72    20.222    0.140    18.952    0.055    18.485    0.148    17.843    0.075 
440.71    INDEF     INDEF    19.153    0.079    18.381    0.047    18.058    0.058 
442.71    INDEF     INDEF    19.155    0.081    18.525    0.068    18.088    0.081 
443.74    INDEF     INDEF    19.290    0.143    18.675    0.091    18.216    0.111 
447.71    INDEF     INDEF    19.396    0.144    18.833    0.105    18.261    0.087 
465.69    21.265    0.113    19.821    0.046    19.305    0.053    18.820    0.163 
621.08    INDEF     INDEF    21.598    0.164    21.546    0.229    20.751    0.201 
