JD		   B	   BErr		V		 VErr	   R	   RErr		I		 IErr		uvw1     uvw1Err U		  UErr
5645.3    16.89    0.07     16.97    0.05     16.75    0.06     16.74    0.10   	17.70    0.12    16.53    0.07 
5647.3    16.85    0.02     16.71    0.05     16.52    0.06     16.33    0.08       17.98    0.11    16.63    0.07
5649.3    16.99    0.03     16.62    0.07     16.44    0.06     16.31    0.08       INDEF	 INDEF	 INDEF    INDEF
5650.3    16.99    0.06     16.54    0.04     16.50    0.05     16.28    0.08       18.22    0.13    16.75    0.06
5651.3    16.97    0.05     16.65    0.07     16.42    0.06     16.21    0.07		18.32    0.14    16.91    0.08
5655.3    17.30    0.06     16.62    0.07     16.31    0.06     16.10    0.07       INDEF	 INDEF	 INDEF    INDEF
5653.5    INDEF	   INDEF	INDEF	 INDEF	  INDEF	   INDEF    INDEF    INDEF      18.17    0.13    17.14    0.10
5655.6    INDEF	   INDEF	INDEF	 INDEF	  INDEF	   INDEF    INDEF    INDEF		18.66    0.25    17.26    0.12
5657.3    17.38    0.07     16.63    0.06     16.28    0.06     16.09    0.07       18.73    0.19    17.36    0.10
5660.1    INDEF	   INDEF	INDEF	 INDEF	  INDEF	   INDEF    INDEF    INDEF	    18.83    0.22    17.88    0.18
5661.6    18.02    0.15     16.86    0.06     16.36    0.05     16.21    0.07       INDEF	 INDEF	 INDEF    INDEF
5669.3    18.82    0.23     17.71    0.03     16.88    0.04     16.43    0.02       INDEF	 INDEF	 INDEF    INDEF
5671.3    19.05    0.12     17.78    0.09     17.05    0.03     16.48    0.02       INDEF	 INDEF	 INDEF    INDEF
