JD				B		 BErr        V       VErr      R       RErr      I       IErr
56964.85        INDEF    INDEF      INDEF    INDEF     13.43    0.03    13.31    0.02   
56965.84        INDEF    INDEF      INDEF    INDEF     13.51    0.04    13.37    0.01   
56966.83        INDEF    INDEF      INDEF    INDEF     13.654   0.051   13.313   0.050  
56967.86        INDEF    INDEF      14.349    0.054    13.743   0.055   13.312   0.051  
56971.84       16.113    0.050      14.522    0.050    13.965   0.051   13.580   0.051  
56971.85        INDEF    INDEF      14.65     0.07     13.97    0.04    13.63    0.04   
56974.84        INDEF    INDEF      INDEF    INDEF     14.165   0.050   13.894   0.120  
56977.83        INDEF    INDEF      14.95    0.03      14.23    0.05    13.81    0.03   
56978.86        INDEF    INDEF      INDEF    INDEF     14.34    0.03    14.03    0.02   
56979.85        16.54    0.04       14.98    0.02      14.35    0.03    14.02    0.02   
56979.85        16.594   0.054      15.125   0.051     14.380   0.050   13.964   0.050  
56980.84        INDEF    INDEF      15.02    0.08      INDEF    INDEF   INDEF    INDEF  
56981.84       16.68     0.06       15.02    0.03      14.42    0.03    14.12    0.02   
56983.84       16.846    0.050      INDEF    INDEF     INDEF    INDEF   INDEF    INDEF  
56983.85       16.68     0.07       15.11    0.01      14.54    0.03    14.11    0.10   
56984.83       16.82     0.08       15.14    0.03      14.54    0.03    14.23    0.02   
56988.84       16.77     0.06       15.25    0.03      14.70    0.03    14.37    0.02   
56990.85       16.73     0.06       15.33    0.02      14.78    0.03    14.48    0.05   
56990.87       16.848    0.050      INDEF    INDEF     INDEF    INDEF   INDEF    INDEF  
56996.86       16.80    0.03        15.44    0.02      14.94    0.05    INDEF    INDEF  
56997.80       17.10    0.05        15.48    0.03      15.03    0.03    14.72    0.02   
56998.86       16.87    0.06        15.49    0.01      15.03    0.03    14.72    0.02   
56998.86       17.020    0.054      INDEF    INDEF     INDEF    INDEF   INDEF    INDEF  
56999.84       16.90    0.04        15.49    0.03      INDEF    INDEF   INDEF    INDEF  
57002.80       17.08    0.08        15.58    0.06      15.13    0.03    14.81    0.01   
57004.81       16.98    0.04        15.60    0.02      15.17    0.03    15.05    0.31   
57005.86       17.09    0.04        15.63    0.02      15.19    0.03    14.89    0.02   
57011.86       17.068   0.050       15.931   0.052     15.425   0.051   14.880   0.051  
57012.80       17.00    0.08        15.81    0.05      15.38    0.04    15.06    0.01   
57013.85       17.22    0.21        15.67    0.22      15.40    0.03    15.01    0.10   
57014.83       17.01    0.03        15.79    0.02      15.41    0.04    15.10    0.02   
57015.87       17.15    0.11        15.86    0.05      15.48    0.06    INDEF    INDEF  
57017.78       16.98    0.03        15.87    0.02      15.47    0.04    15.05    0.08   
57017.87       17.099    0.050      16.078   0.051     15.541   0.051   14.984   0.050  
57018.80       17.18    0.03        15.84    0.03      15.48    0.03    15.20    0.01   
57020.80       17.18    0.06        15.93    0.01      15.56    0.03    15.26    0.01   
57021.83       17.24    0.04        15.96    0.02      15.59    0.03    15.29    0.02   
57024.86       17.27    0.15        INDEF    INDEF     INDEF    INDEF   INDEF    INDEF  
57025.80       17.11    0.15        INDEF    INDEF     INDEF    INDEF   INDEF    INDEF  
57026.83       17.34    0.04        16.02    0.02      15.70    0.03    INDEF    INDEF  
57030.86       17.36    0.04        INDEF    INDEF     INDEF    INDEF   INDEF    INDEF  
57032.80       17.49    0.07        16.03    0.12      15.80    0.03    15.41    0.02   
57032.83       17.778    0.054      16.334   0.051     16.002   0.051   15.348   0.050  
57035.79       17.25    0.07        16.14    0.03      15.86    0.03    15.47    0.02   
57038.76       17.41    0.04        INDEF    INDEF     INDEF    INDEF   INDEF    INDEF  
57039.82       17.32    0.04        16.32    0.06      15.93    0.04    15.58    0.02   
57042.76       17.42    0.05        16.25    0.03      15.96    0.11    15.34    0.06   
57045.82       17.34    0.06        16.31    0.02      16.06    0.06    INDEF    INDEF  
57046.67       17.506   0.050       16.665   0.052     INDEF    INDEF   15.484   0.051  
57046.69       17.51    0.05        16.34    0.02      16.08    0.04    INDEF    INDEF  
57050.71       17.31    0.16        16.35    0.04      15.99    0.09    INDEF    INDEF  
57053.77       17.61    0.03        16.44    0.02      16.20    0.05    INDEF    INDEF  
57054.75       17.57    0.04        INDEF    INDEF     INDEF    INDEF   INDEF    INDEF  
