JD            g          gErr        r          rErr        i        iErr     z        zErr
56215.60      18.61      0.04        18.45      0.02        INDEF    INDEF    INDEF    INDEF
56217.58      18.34      0.03        INDEF      INDEF       INDEF    INDEF    INDEF    INDEF
56219.62      INDEF      INDEF       INDEF      INDEF       INDEF    INDEF    18.22    0.03 
56226.15      18.48      0.08        17.95      0.05        18.00    0.04     18.01    0.07 
56227.55      18.48      0.09        17.94      0.04        18.07    0.04     17.97    0.04 
56230.41      18.65      0.26        18.10      0.09        17.95    0.06     17.85    0.07 
56231.55      INDEF      INDEF       INDEF      INDEF       18.08    0.02     INDEF    INDEF
56234.56      19.53      0.13        18.19      0.06        17.97    0.05     18.07    0.07 
56236.55      19.58      0.08        18.36      0.04        18.15    0.04     18.12    0.05 
56238.51      INDEF      INDEF       INDEF      INDEF       18.31    0.02     INDEF    INDEF
56239.53      20.00      0.06        18.51      0.03        18.32    0.03     18.21    0.05 
56242.40      INDEF      INDEF       18.61      0.08        18.31    0.12     18.86    0.19 
56244.18      20.22      0.13        18.76      0.06        18.70    0.05     18.37    0.06 
56251.14      20.41      0.08        18.88      0.06        18.78    0.06     19.01    0.12 
56254.00      20.59      0.14        19.30      0.09        19.03    0.06     18.97    0.07 
56259.51      INDEF      INDEF       INDEF      INDEF       19.26    0.03     INDEF    INDEF
56267.56      INDEF      INDEF       19.68      0.04        INDEF    INDEF    INDEF    INDEF
56269.47      INDEF      INDEF       INDEF      INDEF       19.26    0.24     INDEF    INDEF
56271.54      INDEF      INDEF       19.62      0.04        INDEF    INDEF    INDEF    INDEF
56279.02      21.05      0.16        19.86      0.05        19.75    0.04     19.52    0.07 
56284.94      20.78      0.12        20.14      0.13        19.92    0.13     19.84    0.45 
56293.49      INDEF      INDEF       INDEF      INDEF       20.07    0.06     INDEF    INDEF
56296.98      20.96      0.24        20.16      0.09        20.04    0.11     20.06    0.18 
56301.98      21.46      0.22        20.37      0.07        20.32    0.09     20.24    0.11 
56311.95      21.50      0.20        20.56      0.18        20.28    0.17     20.25    0.27 
56319.93      21.18      0.27        20.54      0.22        20.34    0.23     20.19    0.30 
56336.96      INDEF      INDEF       21.06      0.30        20.23    0.44     INDEF    INDEF
