JD               g         gErr        r        rErr    R       RErr        i       iErr
55392.0          19.837  0.039       19.630  0.046      INDEF   INDEF       19.713  0.046       
55394.0          19.557  0.038       19.380  0.035      INDEF   INDEF       19.656  0.056       
55396.2          19.376  0.080       19.267  0.067      INDEF   INDEF       19.587  0.126       
55397.5          INDEF   INDEF       INDEF   INDEF      19.116  0.050       INDEF   INDEF                   
55398.0          19.338  0.074       19.046  0.046      INDEF   INDEF       19.250  0.070       
55398.4          INDEF   INDEF       INDEF   INDEF      19.083  0.033       INDEF   INDEF                   
55398.4          INDEF   INDEF       INDEF   INDEF      19.102  0.035       INDEF   INDEF                   
55402.0          19.463  0.233       18.955  0.126      INDEF   INDEF       19.008  0.118      
55410.0          19.869  0.067       19.157  0.041      INDEF   INDEF       19.415  0.057       
55410.5          INDEF   INDEF       INDEF   INDEF      19.231  0.050       INDEF   INDEF                   
55410.5          INDEF   INDEF       INDEF   INDEF      19.330  0.073       INDEF   INDEF                   
55411.1          19.965  0.068       19.191  0.043      INDEF   INDEF       19.350  0.047       
55414.1          20.408  0.076       19.394  0.052      INDEF   INDEF       19.433  0.049       
55417.1          20.650  0.142       19.388  0.075      INDEF   INDEF       19.477  0.070       
55417.4          INDEF   INDEF       INDEF   INDEF      19.544  0.079       INDEF   INDEF      
55423.0          INDEF   INDEF       19.650  0.097      INDEF   INDEF       19.671  0.065       
55423.3          INDEF   INDEF       INDEF   INDEF      19.751  0.057       INDEF   INDEF     
55423.3          INDEF   INDEF       INDEF   INDEF      19.797  0.057       INDEF   INDEF      
55426.3          INDEF   INDEF       INDEF   INDEF      19.973  0.094       INDEF   INDEF      
55426.4          INDEF   INDEF       INDEF   INDEF      19.905  0.061       INDEF   INDEF      
55430.2          INDEF   INDEF       INDEF   INDEF      20.179  0.190       INDEF   INDEF      
55468.0          INDEF   INDEF       21.136  0.061      INDEF   INDEF       21.186  0.096         
