FILTER Phase FILTER FMAG FERR
1 -11.200000000186265 B 13.894 0.017
6 -11.200000000186265 B 13.893 0.017
11 -11.200000000186265 B 13.888 0.017
15 -10.229999999981374 B 13.638 0.017
18 -10.220000000204891 B 13.636 0.017
21 -7.1700000003911555 B 13.131 0.017
24 -7.1700000003911555 B 13.132 0.017
27 -6.140000000130385 B 13.053 0.017
31 -6.140000000130385 B 13.054 0.017
36 1.790000000037253 B 12.790 0.017
41 1.790000000037253 B 12.784 0.017
46 8.829999999608845 B 13.133 0.017
53 10.809999999590218 B 13.318 0.017
59 11.809999999590218 B 13.443 0.017
64 12.790000000037253 B 13.502 0.017
68 14.809999999590218 B 13.774 0.017
72 15.819999999832362 B 13.885 0.017
77 21.77999999979511 B 14.522 0.017
81 21.799999999813735 B 14.520 0.017
85 41.77000000001863 B 15.753 0.022
90 171.12999999988824 B 17.492 0.019
94 190.1199999996461 B 17.958 0.018
98 210.05999999959022 B 18.049 0.043
103 217.1699999999255 B 18.118 0.018
109 225.09999999962747 B 18.299 0.023
116 240.12999999988824 B 18.554 0.027
122 253.04000000003725 B 18.842 0.021
126 265.0 B 18.771 0.076
130 265.04000000003725 B 18.829 0.092
134 270.98999999975786 B 18.932 0.028
138 272.98999999975786 B 18.864 0.018
142 331.90999999968335 B 19.960 0.035
147 337.839999999851 B 19.888 0.044
150 376.8099999995902 B 20.541 0.149
4 -11.200000000186265 I 13.807 0.015
9 -11.200000000186265 I 13.815 0.016
14 -11.200000000186265 I 13.817 0.016
30 -6.140000000130385 I 13.070 0.015
34 -6.140000000130385 I 13.064 0.015
39 1.790000000037253 I 13.026 0.015
44 1.790000000037253 I 13.027 0.015
49 8.829999999608845 I 13.289 0.016
56 10.809999999590218 I 13.377 0.016
62 11.809999999590218 I 13.478 0.016
67 12.790000000037253 I 13.460 0.016
71 14.809999999590218 I 13.550 0.015
75 15.819999999832362 I 13.531 0.015
80 21.77999999979511 I 13.428 0.015
84 21.799999999813735 I 13.424 0.015
88 41.77000000001863 I 14.012 0.018
93 171.12999999988824 I 18.053 0.045
97 190.1199999996461 I 18.227 0.041
101 210.05999999959022 I 18.787 0.218
106 217.1699999999255 I 18.682 0.034
108 217.1699999999255 I 18.610 0.040
112 225.09999999962747 I 18.824 0.046
115 225.09999999962747 I 18.782 0.043
119 240.12999999988824 I 18.961 0.050
121 252.05999999959022 I 19.185 0.088
125 253.04000000003725 I 18.947 0.061
129 265.0 I 19.378 0.131
133 265.04000000003725 I 19.318 0.125
137 270.98999999975786 I 19.291 0.066
141 272.98999999975786 I 19.235 0.025
145 331.90999999968335 I 20.107 0.059
146 331.90999999968335 I 20.048 0.070
3 -11.200000000186265 R 13.740 0.013
8 -11.200000000186265 R 13.721 0.013
13 -11.200000000186265 R 13.742 0.013
17 -10.229999999981374 R 13.529 0.013
20 -10.220000000204891 R 13.525 0.013
23 -7.1700000003911555 R 13.046 0.013
26 -7.1700000003911555 R 13.046 0.013
29 -6.140000000130385 R 12.976 0.013
33 -6.140000000130385 R 12.972 0.013
38 1.790000000037253 R 12.731 0.013
43 1.790000000037253 R 12.727 0.013
48 8.829999999608845 R 12.914 0.013
55 10.809999999590218 R 13.065 0.013
57 10.809999999590218 R 13.079 0.013
61 11.809999999590218 R 13.202 0.013
66 12.790000000037253 R 13.206 0.013
70 14.809999999590218 R 13.328 0.013
74 15.819999999832362 R 13.341 0.013
79 21.77999999979511 R 13.464 0.013
83 21.799999999813735 R 13.468 0.013
87 41.77000000001863 R 14.252 0.021
89 41.77000000001863 R 14.271 0.018
92 171.12999999988824 R 18.145 0.019
96 190.1199999996461 R 18.317 0.020
100 210.05999999959022 R 18.455 0.086
105 217.1699999999255 R 18.765 0.017
107 217.1699999999255 R 18.750 0.027
111 225.09999999962747 R 18.989 0.047
114 225.09999999962747 R 18.916 0.021
118 240.12999999988824 R 19.160 0.047
124 253.04000000003725 R 19.531 0.038
128 265.0 R 19.550 0.057
132 265.04000000003725 R 19.635 0.073
136 270.98999999975786 R 19.764 0.041
140 272.98999999975786 R 19.711 0.018
144 331.90999999968335 R 20.853 0.042
149 337.839999999851 R 20.527 0.121
0 -11.200000000186265 U 13.645 0.026
5 -11.200000000186265 U 13.625 0.026
10 -11.200000000186265 U 13.671 0.026
35 1.790000000037253 U 12.438 0.026
40 1.790000000037253 U 12.446 0.026
45 8.829999999608845 U 13.018 0.026
50 8.829999999608845 U 13.032 0.026
51 8.829999999608845 U 13.014 0.026
52 10.809999999590218 U 13.257 0.026
58 11.809999999590218 U 13.386 0.026
63 12.790000000037253 U 13.500 0.026
76 21.77999999979511 U 14.712 0.026
102 217.1699999999255 U 19.588 0.059
2 -11.200000000186265 V 13.837 0.017
7 -11.200000000186265 V 13.834 0.017
12 -11.200000000186265 V 13.837 0.017
16 -10.229999999981374 V 13.628 0.017
19 -10.220000000204891 V 13.624 0.017
22 -7.1700000003911555 V 13.141 0.017
25 -7.1700000003911555 V 13.142 0.017
28 -6.140000000130385 V 13.053 0.017
32 -6.140000000130385 V 13.048 0.017
37 1.790000000037253 V 12.732 0.017
42 1.790000000037253 V 12.730 0.017
47 8.829999999608845 V 12.874 0.017
54 10.809999999590218 V 12.971 0.017
60 11.809999999590218 V 13.057 0.017
65 12.790000000037253 V 13.092 0.017
69 14.809999999590218 V 13.236 0.017
73 15.819999999832362 V 13.264 0.017
78 21.77999999979511 V 13.614 0.017
82 21.799999999813735 V 13.618 0.017
86 41.77000000001863 V 14.608 0.018
91 171.12999999988824 V 17.539 0.018
95 190.1199999996461 V 17.796 0.018
99 210.05999999959022 V 17.899 0.044
104 217.1699999999255 V 18.242 0.018
110 225.09999999962747 V 18.286 0.023
113 225.09999999962747 V 18.394 0.025
117 240.12999999988824 V 18.587 0.029
120 252.05999999959022 V 18.756 0.027
123 253.04000000003725 V 18.767 0.023
127 265.0 V 18.941 0.048
131 265.04000000003725 V 18.900 0.046
135 270.98999999975786 V 18.981 0.026
139 272.98999999975786 V 19.053 0.019
143 331.90999999968335 V 20.114 0.038
148 337.839999999851 V 19.931 0.051
151 376.8099999995902 V 20.904 0.231
152 605.1199999996461 V 23.198 0.114
