FILTER Phase FILTER FMAG FERR
1 -11.91 B 15.600 0.022
6 -11.89 B 15.579 0.029
11 -10.92 B 15.151 0.022
16 -10.79 B 15.096 0.022
20 -10.51 B 15.054 0.041
25 -9.89 B 14.774 0.022
30 -9.79 B 14.765 0.022
34 -9.53 B 14.751 0.022
38 -9.03 B 14.587 0.022
42 -8.98 B 14.543 0.022
46 -8.87 B 14.512 0.022
51 -8.81 B 14.494 0.022
55 -8.24 B 14.343 0.024
60 -7.97 B 14.304 0.022
64 -7.9 B 14.293 0.022
68 -7.79 B 14.274 0.022
72 -6.98 B 14.127 0.022
77 -6.91 B 14.101 0.022
79 -6.22 B 14.007 0.022
83 -6.02 B 14.014 0.022
88 -5.97 B 13.979 0.022
93 -5.81 B 13.950 0.022
97 -5.23 B 13.863 0.022
101 -4.91 B 13.861 0.022
106 -4.82 B 13.843 0.022
110 -4.23 B 13.755 0.025
115 -3.95 B 13.768 0.022
119 -3.24 B 13.716 0.022
123 -3.07 B 13.741 0.022
128 -2.98 B 13.718 0.022
133 -1.99 B 13.677 0.022
137 -1.87 B 13.666 0.022
142 -1.83 B 13.664 0.022
146 -1.24 B 13.654 0.022
151 -0.79 B 13.643 0.022
155 -0.24 B 13.621 0.021
159 0.0 B 13.650 0.022
163 0.06 B 13.623 0.022
168 0.18 B 13.619 0.022
173 1.07 B 13.637 0.022
178 1.18 B 13.622 0.022
182 1.77 B 13.649 0.022
186 2.06 B 13.641 0.022
191 2.08 B 13.654 0.022
196 2.17 B 13.631 0.022
199 2.78 B 13.719 0.021
204 3.04 B 13.702 0.022
209 3.17 B 13.681 0.022
213 3.81 B 13.717 0.022
220 5.02 B 13.815 0.022
224 8.95 B 14.093 0.045
229 9.06 B 14.090 0.022
233 9.1 B 14.040 0.035
241 10.02 B 14.171 0.022
246 10.16 B 14.182 0.022
250 11.11 B 14.217 0.021
255 11.14 B 14.278 0.023
260 12.16 B 14.377 0.022
265 13.09 B 14.465 0.026
269 14.01 B 14.553 0.022
274 14.16 B 14.570 0.022
279 15.0 B 14.647 0.022
284 15.13 B 14.670 0.037
289 16.05 B 14.778 0.022
293 16.08 B 14.755 0.022
298 16.13 B 14.781 0.022
303 17.0 B 14.879 0.022
307 17.01 B 14.911 0.022
312 17.13 B 14.879 0.021
316 17.83 B 14.913 0.032
321 18.07 B 14.984 0.025
325 18.41 B 15.045 0.032
329 19.78 B 15.229 0.031
334 20.07 B 15.193 0.021
338 20.17 B 15.224 0.022
342 20.79 B 15.298 0.021
346 21.0 B 15.308 0.022
351 22.11 B 15.439 0.025
356 24.02 B 15.604 0.022
361 24.07 B 15.621 0.026
365 25.82 B 15.791 0.022
369 25.93 B 15.801 0.022
373 25.95 B 15.811 0.022
378 26.04 B 15.778 0.022
382 26.07 B 15.765 0.021
386 26.1 B 15.799 0.022
391 28.07 B 15.925 0.022
395 28.76 B 16.010 0.022
399 28.97 B 16.071 0.022
404 29.06 B 16.057 0.022
407 29.37 B 16.101 0.025
411 29.76 B 16.081 0.023
415 30.04 B 16.101 0.025
420 30.07 B 16.127 0.024
424 31.73 B 16.256 0.022
429 32.05 B 16.244 0.025
433 35.74 B 16.479 0.031
437 35.88 B 16.483 0.022
442 37.04 B 16.501 0.033
446 37.14 B 16.508 0.054
451 39.04 B 16.632 0.037
455 39.94 B 16.638 0.026
460 41.04 B 16.674 0.023
464 41.1 B 16.690 0.036
468 42.74 B 16.710 0.022
471 42.95 B 16.744 0.022
476 43.07 B 16.735 0.025
481 45.03 B 16.723 0.022
485 45.89 B 16.805 0.022
490 47.03 B 16.789 0.026
494 47.34 B 16.828 0.055
499 49.03 B 16.839 0.025
504 51.03 B 16.841 0.028
509 53.03 B 16.885 0.033
514 55.03 B 16.906 0.026
518 55.05 B 16.905 0.033
523 57.03 B 16.957 0.027
528 59.03 B 17.013 0.031
532 63.02 B 17.070 0.055
535 66.02 B 17.121 0.059
542 69.01 B 17.115 0.051
546 70.35 B 17.225 0.038
550 71.35 B 17.263 0.078
552 72.01 B 17.270 0.051
556 75.01 B 17.261 0.051
560 78.01 B 17.175 0.051
564 81.0 B 17.309 0.051
568 84.0 B 17.325 0.051
572 84.99 B 17.453 0.051
576 88.0 B 17.545 0.051
580 90.99 B 17.422 0.064
4 -11.91 I 15.360 0.041
9 -11.89 I 15.312 0.041
14 -10.92 I 15.062 0.041
19 -10.79 I 14.953 0.041
23 -10.51 I 14.896 0.041
28 -9.89 I 14.701 0.041
33 -9.79 I 14.651 0.041
37 -9.53 I 14.573 0.041
41 -9.03 I 14.464 0.041
45 -8.98 I 14.487 0.041
49 -8.87 I 14.409 0.041
54 -8.81 I 14.407 0.041
58 -8.24 I 14.269 0.041
63 -7.97 I 14.259 0.041
67 -7.9 I 14.199 0.041
71 -7.79 I 14.217 0.041
75 -6.98 I 14.108 0.041
82 -6.22 I 13.948 0.041
86 -6.02 I 13.948 0.041
91 -5.97 I 13.970 0.041
96 -5.81 I 13.915 0.041
100 -5.23 I 13.845 0.041
104 -4.91 I 13.863 0.041
109 -4.82 I 13.828 0.041
113 -4.23 I 13.765 0.041
118 -3.95 I 13.778 0.041
122 -3.24 I 13.774 0.041
126 -3.07 I 13.755 0.041
131 -2.98 I 13.786 0.041
136 -1.99 I 13.783 0.041
140 -1.87 I 13.767 0.041
145 -1.83 I 13.767 0.041
149 -1.24 I 13.745 0.041
154 -0.79 I 13.766 0.041
158 -0.24 I 13.772 0.041
162 0.0 I 13.748 0.041
166 0.06 I 13.785 0.041
171 0.18 I 13.761 0.041
176 1.07 I 13.821 0.041
181 1.18 I 13.773 0.041
185 1.77 I 13.787 0.041
189 2.06 I 13.812 0.041
194 2.08 I 13.858 0.041
202 2.78 I 13.800 0.041
207 3.04 I 13.884 0.041
212 3.17 I 13.840 0.041
216 3.81 I 13.833 0.041
219 4.16 I 13.814 0.041
223 5.02 I 13.884 0.041
227 8.95 I 14.059 0.041
232 9.06 I 14.117 0.041
236 9.1 I 14.093 0.041
239 9.4 I 14.143 0.053
244 10.02 I 14.171 0.041
249 10.16 I 14.168 0.041
253 11.11 I 14.197 0.041
258 11.14 I 14.248 0.041
263 12.16 I 14.297 0.041
268 13.09 I 14.328 0.041
272 14.01 I 14.336 0.041
277 14.16 I 14.343 0.041
282 15.0 I 14.400 0.041
287 15.13 I 14.347 0.041
292 16.05 I 14.402 0.041
296 16.08 I 14.309 0.041
301 16.13 I 14.349 0.041
306 17.0 I 14.371 0.041
310 17.01 I 14.340 0.041
315 17.13 I 14.332 0.041
319 17.83 I 14.317 0.041
324 18.07 I 14.314 0.041
328 18.41 I 14.316 0.041
332 19.78 I 14.290 0.041
337 20.07 I 14.270 0.041
341 20.17 I 14.279 0.041
345 20.79 I 14.280 0.041
349 21.0 I 14.263 0.041
354 22.11 I 14.294 0.041
359 24.02 I 14.260 0.041
364 24.07 I 14.217 0.041
368 25.82 I 14.230 0.041
372 25.93 I 14.223 0.041
376 25.95 I 14.201 0.041
381 26.04 I 14.197 0.041
385 26.07 I 14.192 0.041
389 26.1 I 14.304 0.041
394 28.07 I 14.186 0.041
398 28.76 I 14.220 0.041
402 28.97 I 14.203 0.041
410 29.37 I 14.196 0.041
414 29.76 I 14.245 0.041
418 30.04 I 14.232 0.041
423 30.07 I 14.214 0.041
427 31.73 I 14.311 0.041
432 32.05 I 14.263 0.041
436 35.74 I 14.587 0.041
440 35.88 I 14.536 0.041
445 37.04 I 14.624 0.041
449 37.14 I 14.583 0.041
454 39.04 I 14.665 0.041
458 39.94 I 14.829 0.041
463 41.04 I 14.878 0.041
467 41.1 I 14.865 0.041
470 42.74 I 15.061 0.041
474 42.95 I 15.002 0.041
479 43.07 I 14.997 0.041
484 45.03 I 15.096 0.041
488 45.89 I 15.140 0.041
493 47.03 I 15.169 0.041
497 47.34 I 15.236 0.065
502 49.03 I 15.270 0.041
507 51.03 I 15.373 0.041
512 53.03 I 15.419 0.041
517 55.03 I 15.589 0.041
521 55.05 I 15.606 0.042
526 57.03 I 15.605 0.041
531 59.03 I 15.727 0.041
538 66.02 I 16.002 0.041
541 67.35 I 16.074 0.041
545 69.01 I 16.201 0.041
549 70.35 I 16.297 0.041
555 72.01 I 16.295 0.041
559 75.01 I 16.443 0.041
563 78.01 I 16.487 0.041
567 81.0 I 16.575 0.041
571 84.0 I 16.744 0.041
575 84.99 I 16.836 0.041
579 88.0 I 17.061 0.054
583 90.99 I 17.054 0.047
3 -11.91 R 15.189 0.032
8 -11.89 R 15.206 0.041
13 -10.92 R 14.838 0.032
18 -10.79 R 14.846 0.032
22 -10.51 R 14.793 0.032
27 -9.89 R 14.474 0.032
