FILTER Phase FILTER FMAG FERR
0 -14.211000000000126 B 13.557 0.064
4 -13.228000000000065 B 13.253 0.067
11 -11.188999999999965 B 12.685 0.067
15 -10.206999999999994 B 12.462 0.069
19 -9.197000000000003 B 12.263 0.063
23 -8.215000000000032 B 12.095 0.065
29 -6.293000000000006 B 11.857 0.069
33 -5.187000000000012 B 11.766 0.079
37 -4.211000000000126 B 11.707 0.087
41 -3.22300000000007 B 11.640 0.088
43 -2.1680000000000064 B 11.616 0.088
49 -0.20199999999999818 B 11.575 0.085
53 0.8369999999999891 B 11.586 0.077
57 1.81899999999996 B 11.594 0.076
61 2.8210000000000264 B 11.614 0.082
65 3.7630000000000337 B 11.664 0.073
69 4.786000000000058 B 11.691 0.074
73 5.694999999999936 B 11.733 0.075
77 6.784999999999968 B 11.806 0.078
81 7.786999999999921 B 11.891 0.079
85 8.764999999999986 B 11.940 0.081
89 9.822999999999979 B 12.017 0.082
93 12.751999999999953 B 12.314 0.142
97 13.793999999999869 B 12.428 0.119
101 14.798999999999864 B 12.513 0.084
105 15.773999999999887 B 12.672 0.076
109 17.80600000000004 B 12.873 0.070
113 21.753000000000043 B 13.303 0.066
117 22.778999999999883 B 13.409 0.060
121 23.824999999999932 B 13.510 0.067
125 24.783999999999878 B 13.594 0.066
129 25.77800000000002 B 13.695 0.067
133 26.69399999999996 B 13.771 0.063
137 28.766000000000076 B 13.935 0.065
141 29.686999999999898 B 14.012 0.060
145 30.756000000000085 B 14.087 0.065
149 31.746999999999957 B 14.148 0.068
153 32.761999999999944 B 14.201 0.291
157 33.74599999999998 B 14.268 0.084
161 35.678 B 14.369 0.085
165 36.62099999999998 B 14.401 0.103
169 37.65999999999997 B 14.462 0.125
173 38.64199999999994 B 14.515 0.139
177 41.59299999999996 B 14.649 0.175
181 42.625999999999976 B 14.709 0.258
184 46.638999999999896 B 14.797 0.171
188 47.62300000000005 B 14.761 0.218
192 48.61500000000001 B 14.784 0.102
196 49.63199999999995 B 14.790 0.104
199 52.656999999999925 B 14.811 0.114
203 53.63300000000004 B 14.886 0.105
207 54.610000000000014 B 14.853 0.122
211 60.59299999999996 B 14.913 0.129
214 61.674999999999955 B 14.944 0.116
218 62.75 B 14.949 0.108
222 63.611999999999966 B 14.943 0.142
226 64.58600000000001 B 14.960 0.108
230 65.56899999999996 B 14.981 0.299
236 70.58100000000002 B 15.025 0.177
3 -14.211000000000126 I 13.255 0.054
7 -13.228000000000065 I 12.997 0.057
