FILTER Phase FILTER FMAG FERR
0 -8.6 B 14.982 0.025
2 -8.5 B 14.940 0.026
7 -7.9 B 14.818 0.031
9 -7.5 B 14.789 0.031
11 -7.5 B 14.762 0.012
16 -7.2 B 14.758 0.027
19 -7.1 B 14.723 0.016
22 -6.9 B 14.691 0.043
26 -6.9 B 14.703 0.072
30 -6.5 B 14.666 0.022
32 -6.5 B 14.681 0.034
34 -6.5 B 14.600 0.012
40 -6.2 B 14.618 0.015
42 -6.0 B 14.578 0.034
44 -5.5 B 14.469 0.011
47 -5.2 B 14.529 0.015
49 -5.0 B 14.514 0.030
51 -4.6 B 14.521 0.025
54 -4.5 B 14.509 0.015
56 -4.5 B 14.487 0.033
61 -4.0 B 14.411 0.030
63 -3.2 B 14.426 0.032
65 -3.0 B 14.375 0.031
68 -2.8 B 14.323 0.015
70 -2.5 B 14.383 0.022
72 -2.5 B 14.352 0.028
74 -2.0 B 14.331 0.031
76 -1.8 B 14.305 0.050
81 -1.6 B 14.389 0.022
83 -1.5 B 14.337 0.011
85 -1.3 B 14.333 0.022
87 -0.9 B 14.300 0.030
90 -0.5 B 14.353 0.015
92 -0.5 B 14.320 0.025
94 -0.4 B 14.287 0.011
96 -0.2 B 14.309 0.025
98 0.0 B 14.293 0.030
100 0.6 B 14.345 0.011
103 2.3 B 14.319 0.015
105 1.5 B 14.354 0.011
107 2.5 B 14.382 0.011
109 2.6 B 14.367 0.025
112 3.2 B 14.364 0.016
118 3.5 B 14.451 0.016
120 3.5 B 14.380 0.011
122 4.0 B 14.400 0.042
124 4.6 B 14.448 0.029
126 5.2 B 14.439 0.052
131 5.4 B 14.465 0.015
133 5.9 B 14.514 0.035
135 6.5 B 14.552 0.029
137 6.5 B 14.516 0.011
140 7.5 B 14.646 0.016
142 7.5 B 14.592 0.010
144 8.1 B 14.637 0.049
147 8.5 B 14.721 0.015
149 8.5 B 14.627 0.011
151 9.0 B 14.724 0.032
153 9.5 B 14.765 0.032
155 9.5 B 14.700 0.011
157 9.7 B 14.803 0.025
159 10.0 B 14.774 0.031
162 10.5 B 14.821 0.016
164 10.6 B 14.854 0.024
166 10.9 B 14.887 0.032
171 11.5 B 14.866 0.012
174 11.7 B 14.903 0.018
179 12.4 B 15.034 0.024
181 12.5 B 15.028 0.031
183 12.5 B 14.973 0.013
185 12.9 B 15.070 0.032
187 13.5 B 15.088 0.027
189 13.5 B 15.061 0.016
191 14.0 B 15.159 0.045
193 15.9 B 15.323 0.038
195 16.0 B 15.312 0.043
198 16.4 B 15.451 0.028
200 16.5 B 15.425 0.034
202 16.8 B 15.590 0.089
203 17.5 B 15.499 0.032
205 19.0 B 15.706 0.036
207 19.1 B 15.708 0.068
211 19.5 B 15.739 0.026
213 19.5 B 15.782 0.033
215 19.8 B 15.767 0.032
220 20.7 B 15.859 0.040
222 21.5 B 15.945 0.032
224 21.5 B 15.970 0.029
229 22.1 B 15.915 0.069
233 22.4 B 15.984 0.014
235 22.8 B 16.113 0.032
238 23.2 B 16.143 0.019
240 23.2 B 16.083 0.100
244 23.4 B 16.144 0.014
246 23.5 B 16.126 0.031
251 23.9 B 16.192 0.032
253 24.5 B 16.165 0.036
258 25.0 B 16.330 0.033
260 26.1 B 16.368 0.051
263 26.2 B 16.452 0.031
264 26.4 B 16.389 0.037
266 26.5 B 16.406 0.016
268 26.9 B 16.349 0.045
269 27.0 B 16.452 0.046
274 27.4 B 16.468 0.018
277 27.5 B 16.472 0.018
282 28.2 B 16.559 0.075
286 28.4 B 16.503 0.016
288 29.0 B 16.634 0.054
290 29.1 B 16.612 0.051
294 29.4 B 16.591 0.018
296 29.9 B 16.650 0.034
299 30.4 B 16.724 0.018
301 30.4 B 16.650 0.016
304 31.4 B 16.754 0.018
306 32.4 B 16.832 0.018
308 32.8 B 16.973 0.039
310 33.4 B 16.919 0.022
312 33.4 B 16.910 0.018
313 33.8 B 16.996 0.036
315 34.4 B 16.984 0.018
317 34.4 B 16.983 0.015
319 35.3 B 17.012 0.018
324 35.9 B 17.114 0.039
326 36.8 B 17.128 0.035
328 37.4 B 17.196 0.020
329 37.9 B 17.123 0.037
332 38.4 B 17.170 0.133
334 38.4 B 17.149 0.023
