FILTER Phase FILTER FMAG FERR
1 -12.850000000093132 B 12.98 .02
5 -12.050000000279397 B 12.73 .01
7 -11.930000000167638 B 12.712 .016
11 -11.900000000372529 B 12.80 .02
13 -11.06000000005588 B 12.46 .01
16 -10.940000000409782 B 12.449 .016
21 -10.040000000037253 B 12.362 .016
25 -9.03000000026077 B 12.06 .01
28 -9.03000000026077 B 12.152 .016
32 -7.0 B 11.78 .01
35 -3.0 B 11.748 .016
39 -1.0600000000558794 B 11.719 .016
44 -0.05000000027939677 B 11.720 .016
49 0.9899999997578561 B 11.741 .016
53 1.9199999999254942 B 11.694 .016
60 5.0 B 11.832 .016
64 5.899999999906868 B 11.836 .016
68 5.899999999906868 B 11.857 .016
71 6.96999999973923 B 11.912 .016
75 6.9799999999813735 B 11.919 .016
80 7.879999999888241 B 11.959 .016
84 7.879999999888241 B 11.971 .016
90 9.929999999701977 B 12.137 .016
94 10.849999999627471 B 12.208 .016
95 10.849999999627471 B 12.248 .016
100 12.869999999646097 B 12.408 .016
104 14.799999999813735 B 12.603 .016
109 14.799999999813735 B 12.600 .016
114 17.919999999925494 B 12.965 .016
118 19.84999999962747 B 13.131 .016
120 19.859999999869615 B 13.149 .016
122 20.859999999869615 B 13.39 .01
125 20.859999999869615 B 13.48 .01
128 29.889999999664724 B 14.071 .016
132 29.889999999664724 B 14.071 .017
137 38.919999999925494 B 14.302 .016
141 38.919999999925494 B 14.307 .016
143 44.77000000001863 B 14.556 .016
147 51.96999999973923 B 14.77 .01
154 55.79000000003725 B 14.770 .017
159 55.79000000003725 B 14.746 .017
161 62.799999999813735 B 14.863 .016
164 63.77000000001863 B 14.919 .016
168 63.77000000001863 B 14.931 .016
172 64.75999999977648 B 14.897 .016
176 64.75999999977648 B 14.917 .016
181 66.77999999979511 B 14.888 .016
186 69.77000000001863 B 14.934 .017
188 83.79000000003725 B 15.115 .016
192 93.80999999959022 B 15.42 .02
195 217.75999999977648 B 16.95 .06
198 217.75999999977648 B 16.98 .06
201 218.75999999977648 B 17.06 .06
204 222.09999999962747 B 17.20 .03
208 227.75999999977648 B 17.04 .06
211 253.12999999988824 B 17.496 .019
214 254.12999999988824 B 17.513 .018
217 278.1999999997206 B 17.66 .05
221 282.1199999996461 B 17.74 .04
224 282.95999999996275 B 17.75 .04
229 306.07999999960884 B 18.02 .06
232 310.7599999997765 B 18.25 .10
238 312.7599999997765 B 18.25 .10
244 316.07999999960884 B 18.445 .018
248 316.96999999973923 B 18.42 .07
251 345.06999999983236 B 18.834 .023
255 355.929999999702 B 18.916 .078
257 367.09999999962747 B 19.00 .03
261 370.98999999975786 B 18.99 .05
266 400.82999999960884 B 19.654 .078
270 400.839999999851 B 19.773 .097
274 401.09999999962747 B 19.43 .03
278 453.96999999973923 B 19.97 .10
4 -12.850000000093132 I 12.87 .02
24 -10.040000000037253 I 12.215 .017
37 -3.0 I 11.693 .017
42 -1.0600000000558794 I 11.690 .017
47 -0.05000000027939677 I 11.676 .017
56 1.9199999999254942 I 11.664 .017
59 4.989999999757856 I 11.805 .018
63 5.0 I 11.788 .017
67 5.899999999906868 I 11.847 .017
70 5.899999999906868 I 11.846 .017
