FILTER Phase FILTER FMAG FERR
0 -11.0 B 14.737 0.018
5 -10.8 B 14.629 0.010
9 -7.3 B 13.974 0.014
13 -6.2 B 13.820 0.024
18 -5.8 B 13.719 0.018
23 -4.0 B 13.589 0.021
27 -1.9 B 13.496 0.010
31 -1.0 B 13.489 0.012
35 0.0 B 13.489 0.019
39 1.1 B 13.506 0.015
43 3.1 B 13.566 0.010
48 4.2 B 13.605 0.010
53 5.1 B 13.643 0.011
57 7.2 B 13.764 0.010
62 8.2 B 13.845 0.011
67 9.1 B 13.908 0.010
72 10.1 B 14.004 0.014
76 10.7 B 14.066 0.018
80 15.8 B 14.596 0.013
84 17.1 B 14.722 0.023
88 18.0 B 14.833 0.014
92 19.0 B 14.942 0.012
96 20.0 B 15.043 0.011
98 21.0 B 15.146 0.014
105 26.1 B 15.648 0.010
110 31.2 B 16.041 0.011
114 34.7 B 16.363 0.085
121 39.7 B 16.472 0.036
125 45.1 B 16.606 0.021
130 51.1 B 16.727 0.011
134 52.7 B 16.745 0.023
138 54.6 B 16.753 0.039
142 58.7 B 16.835 0.016
153 63.1 B 16.924 0.011
161 72.0 B 17.082 0.015
165 87.0 B 17.319 0.010
169 108.0 B 17.618 0.030
172 109.0 B 17.688 0.011
177 132.9 B 17.961 0.022
182 136.0 B 18.059 0.012
187 143.0 B 18.114 0.021
191 199.2 B 18.660 0.100
194 200.3 B 18.990 0.060
197 202.2 B 18.900 0.040
200 208.3 B 19.020 0.070
204 220.4 B 19.304 0.016
208 227.4 B 19.384 0.010
212 370.2 B 21.476 0.019
217 371.2 B 21.531 0.011
221 413.4 B 22.100 0.044
225 463.0 B 22.771 0.027
3 -11.0 I 14.798 0.017
8 -10.8 I 14.756 0.021
12 -7.3 I 14.052 0.017
16 -6.2 I 13.936 0.024
21 -5.8 I 13.921 0.021
26 -4.0 I 13.834 0.023
30 -1.9 I 13.841 0.010
34 -1.0 I 13.857 0.011
38 0.0 I 13.870 0.010
42 1.1 I 13.927 0.016
46 3.1 I 14.009 0.010
51 4.2 I 13.982 0.016
55 5.1 I 14.017 0.010
60 7.2 I 14.205 0.018
65 8.2 I 14.271 0.010
70 9.1 I 14.352 0.015
75 10.1 I 14.443 0.011
79 10.7 I 14.448 0.010
83 15.8 I 14.588 0.017
87 17.1 I 14.626 0.031
91 18.0 I 14.611 0.010
95 19.0 I 14.594 0.010
101 21.0 I 14.464 0.018
103 22.8 I 14.451 0.014
108 26.1 I 14.410 0.027
113 31.2 I 14.451 0.019
117 34.7 I 14.540 0.035
120 38.7 I 14.829 0.024
124 39.7 I 14.929 0.018
128 45.1 I 15.265 0.010
