FILTER Phase FILTER FMAG FERR
0 -15.100000000093132 B 14.394 0.05
4 -14.100000000093132 B 13.687999999999999 0.05
8 -13.100000000093132 B 12.88 0.04
12 -12.100000000093132 B 12.203 0.02
16 -11.100000000093132 B 11.738 0.02
20 -10.100000000093132 B 11.327 0.02
24 -9.100000000093132 B 11.054 0.04
28 -7.100000000093132 B 10.48 0.05
32 -6.100000000093132 B 10.299000000000001 0.03
36 -5.100000000093132 B 10.141 0.04
40 -3.1000000000931323 B 9.955 0.14
44 0.8999999999068677 B 10.027000000000001 0.06
48 1.8999999999068677 B 10.005 0.07
52 2.8000000002793968 B 10.078 0.08
56 3.8000000002793968 B 10.062999999999999 0.05
60 4.800000000279397 B 10.136000000000001 0.07
64 5.899999999906868 B 10.096 0.06
68 6.899999999906868 B 10.211 0.05
72 7.899999999906868 B 10.138 0.07
76 11.899999999906868 B 10.575 0.06
80 13.899999999906868 B 10.799000000000001 0.02
84 14.899999999906868 B 10.956 0.02
88 15.899999999906868 B 11.11 0.05
92 16.899999999906868 B 11.181 0.03
96 17.899999999906868 B 11.263 0.02
100 20.800000000279397 B 11.689 0.02
104 22.800000000279397 B 11.907 0.04
108 24.800000000279397 B 12.075999999999999 0.06
112 29.899999999906868 B 12.744000000000002 0.07
116 34.8000000002794 B 12.960999999999999 0.02
120 38.8000000002794 B 13.082 0.06
124 42.200000000186265 B 13.253 0.21
128 48.3000000002794 B 13.329 0.02
132 52.8000000002794 B 13.43 0.02
136 57.200000000186265 B 13.442 0.02
140 58.3000000002794 B 13.450999999999999 0.02
144 63.200000000186265 B 13.572000000000001 0.1
148 67.3000000002794 B 13.605 0.08
152 74.20000000018626 B 13.710999999999999 0.12
156 75.20000000018626 B 13.690999999999999 0.05
160 80.3000000002794 B 13.743 0.05
3 -15.100000000093132 I 13.985 0.05
7 -14.100000000093132 I 13.167 0.05
11 -13.100000000093132 I 12.514000000000001 0.04
15 -12.100000000093132 I 12.039000000000001 0.02
19 -11.100000000093132 I 11.607000000000001 0.02
23 -10.100000000093132 I 11.245999999999999 0.02
27 -9.100000000093132 I 10.953 0.04
31 -7.100000000093132 I 10.519 0.05
35 -6.100000000093132 I 10.412 0.03
39 -5.100000000093132 I 10.328 0.04
43 -3.1000000000931323 I 10.219 0.14
47 0.8999999999068677 I 10.309000000000001 0.06
51 1.8999999999068677 I 10.383 0.07
55 2.8000000002793968 I 10.37 0.08
59 3.8000000002793968 I 10.448 0.05
63 4.800000000279397 I 10.525 0.07
67 5.899999999906868 I 10.485 0.06
71 6.899999999906868 I 10.493 0.05
75 7.899999999906868 I 10.562000000000001 0.07
79 11.899999999906868 I 10.879000000000001 0.06
83 13.899999999906868 I 10.921 0.02
87 14.899999999906868 I 10.918 0.02
91 15.899999999906868 I 10.934000000000001 0.05
95 16.899999999906868 I 10.873 0.03
