FILTER Phase FILTER FMAG FERR
0 10.68 B 12.52 0.03
4 12.7 B 12.69 0.03
8 16.67 B 13.06 0.02
12 22.67 B 13.53 0.02
15 29.64 B 14.12 0.03
19 34.61 B 14.47 0.04
23 36.63 B 14.64 0.03
30 54.6 B 14.99 0.04
34 62.55 B 15.09 0.03
38 70.54 B 15.19 0.04
3 10.68 I 12.65 0.02
7 12.7 I 12.81 0.03
11 16.67 I 12.87 0.03
18 29.64 I 12.57 0.04
22 34.61 I 12.77 0.03
26 36.63 I 12.91 0.04
29 46.6 I 13.50 0.03
33 54.6 I 13.91 0.04
37 62.55 I 14.27 0.03
41 70.54 I 14.58 0.03
2 10.68 R 12.21 0.03
6 12.7 R 12.35 0.02
10 16.67 R 12.52 0.03
14 22.67 R 12.7 0.01
17 29.64 R 12.81 0.02
21 34.61 R 13.05 0.02
25 36.63 R 13.16 0.01
28 46.6 R 13.76 0.02
32 54.6 R 14.0 0.02
36 62.55 R 14.28 0.02
40 70.54 R 14.52 0.02
1 10.68 V 12.21 0.01
5 12.7 V 12.34 0.02
9 16.67 V 12.57 0.02
13 22.67 V 12.83 0.01
16 29.64 V 13.08 0.01
20 34.61 V 13.37 0.01
24 36.63 V 13.54 0.01
27 46.6 V 14.04 0.02
31 54.6 V 14.26 0.01
35 62.55 V 14.41 0.01
39 70.54 V 14.71 0.02
