Name	     Ni 	 t_diff  A		 JD_exp		 M_ej		v		E_K		 dm_B    kappa	 EB_V 	 DM     Lum_Max   
02cx         0.07    12.3   1816.6	 2452402.4	 0.70      6000     0.15     1.7     0.1     0.034   35.09    42.20  
05hk         0.14    15.0   2789.17  2453669.65  1.13      6500     0.29     1.56    0.1     0.11    33.46    42.44
07qd         INDEF   INDEF  INDEF    INDEF       INDEF     INDEF    INDEF    INDEF   INDEF   INDEF   INDEF    INDEF	
08ha         0.004   7.1    1243.43  2454775.02  0.20      5000     0.029    2.17    0.1     0.30	 31.64    41.11
09ku		 0.3     INDEF  INDEF    INDEF       INDEF     2000     INDEF    0.59    0.1     INDEF   INDEF    42.81
10ae         0.006   5.4    1485     2455246.48  0.13      5500     0.02     2.43    0.1     0.62    30.58    41.32
11ay         0.23    INDEF  INDEF    INDEF       0.8       9300	    0.5      1.11    0.1	 0.081   34.70    42.61
12Z          0.23    14.72  2788.87  2455952.68  1.345     8000     0.51     1.58    0.1     0.11    32.59    42.60
PS1-12bwh    INDEF   INDEF  INDEF    INDEF       INDEF     INDEF    INDEF    INDEF   INDEF   0.26 	 34.91    INDEF
13en         INDEF   INDEF  INDEF    INDEF       INDEF     INDEF    INDEF    INDEF   INDEF   0.50    34.11    INDEF
14ck         0.03    8.32   1567.58  2456835.55  0.16      3000     0.009    1.76    0.1     0.50    31.94    42.03
14ek         0.12    16.10  728.89   2456944.12  0.90      4500     0.11     1.54    0.1     0.05    34.99    42.31
14dt         INDEF   INDEF  INDEF    INDEF       INDEF     INDEF    INDEF    1.35    0.1     0.02    30.81    INDEF
15H          INDEF   INDEF  INDEF    INDEF       INDEF     INDEF    INDEF    INDEF   INDEF   0.048   33.91    INDEF
19gsc        0.0019  9.847  1844.80  2458627.24  0.26      3500     0.019    INDEF   INDEF   0.01    33.60    40.69
19muj        0.0226  6.4    551.12   2458698.66  0.16      5000     0.024    2.4     INDEF   0.023	 32.66	  41.84
#2020sck     0.12    9.32   1273.78  2459086.12  0.34      5000     0.05     2.03    0.1     0.025   34.24    INDEF
