JD		  u		    uErr	   g	    gErr	  r	       rErr	     i	      iErr	     B	     BErr	    V	     VErr 	  Y	        YErr	 J	       JErr	    H	      HErr
675.61    16.759    0.016     16.759    0.008    16.893    0.009    17.106    0.012    16.830    0.009    16.857    0.010     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
676.49    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     16.818    0.024    16.780    0.031    16.929    0.061
677.52    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     16.660    0.021    16.545    0.028    16.759    0.050
678.51    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     16.498    0.019    16.434    0.027    16.593    0.064
680.52    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     16.294    0.016    16.177    0.024    16.390    0.058
681.57    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     16.225    0.013    16.167    0.012    16.280    0.016
682.58    16.265    0.014     15.883    0.004    15.945    0.005    16.170    0.005    15.978    0.006    15.933    0.006     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
683.58    16.280    0.017     15.828    0.006    15.878    0.007    16.104    0.009    15.930    0.006    15.871    0.007     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
684.62    16.326    0.018     15.801    0.008    15.833    0.009    16.064    0.010    15.920    0.007    15.821    0.007     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
685.60    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     16.024    0.021    15.963    0.021    16.083    0.038
687.60    16.541    0.019     15.804    0.008    15.734    0.008    15.943    0.010    15.967    0.000    15.727    0.009     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
688.63    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     INDEF     INDEF    15.912    0.020    15.907    0.025
689.66    16.774    0.024     15.886    0.009    15.701    0.007    15.885    0.009    16.118    0.009    15.761    0.008     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
690.61    16.917    0.023     15.958    0.006    15.684    0.004    15.870    0.005    16.185    0.008    15.759    0.007     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
691.60    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     INDEF     INDEF    15.908    0.056    INDEF     INDEF
692.58    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    15.776    0.026
694.65    17.619    0.026     16.327    0.006    15.709    0.006    15.779    0.009    16.688    0.009    15.928    0.008     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
695.64    17.812    0.029     16.446    0.007    15.726    0.008    15.783    0.008    16.829    0.008    15.976    0.007     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
696.61    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     15.531    0.016    15.888    0.020    15.654    0.021
697.55    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     15.468    0.013    15.956    0.025    15.600    0.027
698.59    18.349    0.041     16.827    0.005    15.869    0.004    15.846    0.005    17.286    0.009    16.235    0.006     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
699.62    18.688    0.056     16.964    0.005    15.924    0.004    15.875    0.006    17.428    0.009    16.319    0.007     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
701.57    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     INDEF     INDEF    15.910    0.023    15.563    0.021
702.63    19.083    0.066     17.310    0.007    16.108    0.006    16.005    0.008    17.793    0.014    16.580    0.008     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
705.53    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     15.525    0.015    15.979    0.024    15.644    0.021
706.66    19.538    0.067     17.650    0.008    16.376    0.009    16.210    0.009    18.166    0.015    16.884    0.009     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
710.61    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     15.628    0.014    16.098    0.022    15.805    0.026
712.57    19.896    0.123     17.961    0.012    16.669    0.009    16.495    0.010    18.429    0.018    17.177    0.011     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
717.59    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     15.855    0.013    16.447    0.027    16.074    0.042
719.60    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     15.906    0.021    16.582    0.033    16.152    0.047
720.57    20.265    0.288     18.134    0.015    16.966    0.007    16.811    0.009    18.647    0.030    17.468    0.015     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
722.57    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF	  15.999    0.015    16.710    0.013    16.258    0.016
723.53    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     16.026    0.020    16.814    0.235    INDEF     INDEF
725.60    20.261    0.117     18.272    0.011    17.127    0.008    16.982    0.010    18.766    0.020    17.569    0.012     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
727.56    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     16.182    0.019    16.973    0.050    16.431    0.059
728.61    INDEF     INDEF     18.332    0.009    17.202    0.008    17.066    0.009    18.823    0.022    17.663    0.010     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
730.62    20.394    0.121     18.309    0.009    17.267    0.007    17.135    0.008    18.797    0.021    17.697    0.011     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
731.54    INDEF     INDEF     INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF     16.322    0.019    17.166    0.059    16.599    0.063
736.57    20.508    0.071     18.411    0.007    17.396    0.007    17.289    0.008    18.875    0.015    17.782    0.009     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
739.57    20.373    0.085     18.466    0.008    17.475    0.007    17.367    0.009    18.933    0.015    17.839    0.010     INDEF		INDEF	 INDEF	   INDEF	INDEF	  INDEF
