JD		        g		  gErr	              V		  VErr	              r	      rErr	              i	      iErr
57045.14	    INDEF   INDEF               INDEF   INDEF				  INDEF	  INDEF               INDEF   INDEF	 
57047.13 	    INDEF   INDEF 			  INDEF   INDEF	 			  19.71   0.19 	              INDEF   INDEF 
57049.12 	    INDEF   INDEF 			  INDEF   INDEF	 			  18.55   0.10 	              INDEF   INDEF 
57051.11 	    INDEF   INDEF 			  INDEF   INDEF	 			  17.73   0.07 	              INDEF   INDEF 
57053.11 	    INDEF   INDEF 			  INDEF   INDEF	 			  17.33   0.09 	              INDEF   INDEF 
57055.10 	    INDEF   INDEF 			  INDEF   INDEF	 			  17.08   0.11 	              INDEF   INDEF 
57057.10 	    INDEF   INDEF 			  INDEF   INDEF	 			  17.02   0.05 	              INDEF   INDEF 
57059.09 	    INDEF   INDEF 			  INDEF   INDEF	 			  16.81   0.05 	              INDEF   INDEF 
57065.08 	    INDEF   INDEF 			  INDEF   INDEF	 			  16.85   0.02 	              INDEF   INDEF 
57065.13 	    INDEF   INDEF 			  17.13   0.03		          INDEF   INDEF 			  INDEF   INDEF 
57067.93 	    17.79   0.04	              INDEF   INDEF	 			  16.99   0.02 	              16.98   0.02 	 
57068.24 	    INDEF   INDEF 			  17.40   0.02		          INDEF   INDEF 			  INDEF   INDEF 
57069.81 	    18.06   0.03	              INDEF   INDEF 		      17.05   0.02 	              17.00   0.04 	 
57070.07 	    INDEF   INDEF 			  INDEF   INDEF	 			  17.04   0.02 	              INDEF   INDEF 
57072.15 	    INDEF   INDEF 			  INDEF   INDEF	 			  17.17   0.04 	              INDEF   INDEF 
57072.24 	    INDEF   INDEF 			  17.75   0.02		          INDEF   INDEF 			  INDEF   INDEF 
57072.59 	    18.33   0.04	              INDEF   INDEF 		      17.18   0.02 	              17.11   0.02 	 
57075.32 	    18.67   0.04	              INDEF   INDEF 		      17.42   0.02 	              17.23   0.02 	 
57076.06 	    INDEF   INDEF 			  INDEF   INDEF	 			  17.37   0.02 	              INDEF   INDEF 
57078.12 	    INDEF   INDEF 			  18.11   0.04		          INDEF   INDEF 	          INDEF   INDEF 
57078.30 	    18.91   0.03	              INDEF   INDEF	 			  17.59   0.02	              17.43   0.03	 
57079.10 	    INDEF   INDEF 			  18.10   0.02		          INDEF   INDEF 	          INDEF   INDEF 
57079.80 	    18.80   0.07	              INDEF   INDEF 			  17.55   0.05 	              17.30   0.07 	 
57082.05 	    INDEF   INDEF 			  INDEF   INDEF	 			  17.81   0.04 	              INDEF   INDEF 
57082.81 	    19.09   0.07	              INDEF   INDEF 			  17.95   0.04 	              17.47   0.07	 
57084.07 	    INDEF   INDEF 			  INDEF   INDEF	 			  17.87   0.05 	              INDEF   INDEF 
57085.51 	    19.19   0.07	              INDEF   INDEF 			  18.00   0.02 	              17.61   0.06 	 
57086.05 	    INDEF   INDEF 			  INDEF   INDEF	 			  17.97   0.03 	              INDEF   INDEF 
57088.05 	    INDEF   INDEF 			  INDEF   INDEF	 			  17.99   0.05 	              INDEF   INDEF 
57088.22 	    19.28   0.05	              INDEF   INDEF 			  18.10   0.03 	              17.76   0.04 	 
57089.92 	    19.30   0.08	              INDEF   INDEF 			  18.04   0.05	              18.05   0.07 	 
57090.08 	    INDEF   INDEF 			  INDEF   INDEF	 			  18.13   0.05 	              INDEF   INDEF 
57091.63 	    19.27   0.10 	              INDEF   INDEF 			  18.15   0.05 	              17.97   0.09 	 
57092.07 	    INDEF   INDEF 			  INDEF   INDEF	 			  18.23   0.04 	              INDEF   INDEF 
57093.05 	    INDEF   INDEF 			  18.71   0.04		          INDEF   INDEF 	          INDEF   INDEF 
57094.04 	    INDEF   INDEF 			  INDEF   INDEF	 			  18.22   0.03 	              INDEF   INDEF 
57095.05 	    INDEF   INDEF 			  INDEF   INDEF	 			  18.27   0.05 	              INDEF   INDEF 
57097.05 	    INDEF   INDEF 			  INDEF   INDEF	 			  18.32   0.05 	              INDEF   INDEF 
57097.47 	    INDEF   INDEF 			  INDEF   INDEF 			  18.28   0.07 	              18.03   0.13 	 
57100.20 	    INDEF   INDEF 			  INDEF   INDEF 			  18.42   0.06 	              18.27   0.06 	 
57101.05 	    INDEF   INDEF 			  INDEF   INDEF	 			  18.39   0.04 	              INDEF   INDEF 
57102.90 	    INDEF   INDEF 			  INDEF   INDEF 			  18.37   0.06 	              18.39   0.10 	 
57103.04 	    INDEF   INDEF 			  INDEF   INDEF	 			  18.47   0.06 	              INDEF   INDEF 
57105.73 	    INDEF   INDEF 			  INDEF   INDEF 			  18.40   0.06 	              18.27   0.09 	 
57108.45 	    INDEF   INDEF 			  INDEF   INDEF 			  18.46   0.05 	              18.32   0.09 	 
57109.15 	    INDEF   INDEF 			  18.99   0.03 		          INDEF   INDEF	  	          INDEF   INDEF	 
57111.16 	    INDEF   INDEF 			  INDEF   INDEF 			  18.70   0.05 	              18.40   0.08 	 
57120.72 	    INDEF   INDEF 			  INDEF   INDEF 			  INDEF   INDEF 	          18.53   0.07 	 
57123.43 	    INDEF   INDEF 			  INDEF   INDEF 			  18.59   0.07 	              18.52   0.07 	 
57126.14 	    INDEF   INDEF 			  INDEF   INDEF 			  18.96   0.05 	              18.60   0.08 	 
57128.89 	    INDEF   INDEF 			  INDEF   INDEF 			  18.97   0.15 	              18.75   0.25 	 
57131.71 	    INDEF   INDEF 			  INDEF   INDEF 			  19.05   0.08 	              18.86   0.11 	 
57134.71 	    INDEF   INDEF 			  INDEF   INDEF 			  19.02   0.10 	              18.69   0.11 	 
57137.97 	    INDEF   INDEF 			  INDEF   INDEF 			  19.17   0.09 	              18.94   0.08 	 
57142.76 	    INDEF   INDEF 			  INDEF   INDEF 			  18.95   0.13 	              18.66   0.12 	 
57147.40 	    INDEF   INDEF 			  INDEF   INDEF 			  18.98   0.12 	              19.02   0.15 	 
57152.71 	    INDEF   INDEF 			  INDEF   INDEF 			  19.25   0.16 	              18.93   0.06 	 
57155.44 	    INDEF   INDEF 			  INDEF   INDEF 			  19.20   0.05 	              19.01   0.04 	 
57160.43 	    INDEF   INDEF 			  INDEF   INDEF 			  19.19   0.10 	              18.99   0.07 	 
57165.99 	    INDEF   INDEF 			  INDEF   INDEF 			  19.58   0.09 	              19.31   0.09 	 
57170.78 	    INDEF   INDEF 			  INDEF   INDEF 			  19.39   0.07 	              19.35   0.16 	 
57175.99 	    INDEF   INDEF 			  INDEF   INDEF 			  19.40   0.06 	              19.27   0.09 	 
57176.40 	    INDEF   INDEF 			  INDEF   INDEF 			  19.50   0.05 	              19.32   0.07 	 
57182.39 	    INDEF   INDEF 			  INDEF   INDEF 			  19.56   0.06 	              19.91   0.21 	 
57187.37 	    INDEF   INDEF 			  INDEF   INDEF 			  19.80   0.12 	              19.45   0.11 	 
57192.73 	    INDEF   INDEF 			  INDEF   INDEF 			  19.84   0.16 	              19.44   0.17 	 
57201.69 	    INDEF   INDEF 			  INDEF   INDEF 			  19.70   0.13 	              19.66   0.21 	 
57207.72 	    INDEF   INDEF 			  INDEF   INDEF 			  19.80   0.22 	              19.55   0.20 	 
