#The Golden Standard Type Ia Supernova 2005cf: Observations from the Ultraviolet to the Near-Infrared Wavebands - Wang (2009)
JD           Phase	uvw2  	 uvw2Err    uvm2  	 uvm2Err   uvw1  	uvw1Err     U  	     UErr       B  	     BErr       V  	     VErr  
2453525.55	-8.11	17.79    0.09    	19.69	 0.00      16.34    0.07    	14.31    0.05    	14.26    0.05    	14.36    0.05  
2453526.55	-7.11	17.53    0.08    	20.00	 0.00      15.91    0.06    	13.99    0.05    	14.17    0.09    	14.16    0.05  
2453527.55	-6.11	17.33    0.08    	19.45    0.31      15.58    0.06    	13.76    0.05    	13.92    0.06    	14.02    0.04  
2453530.43	-3.23	16.91    0.07    	18.76    0.31      15.18    0.05    	13.37    0.06    	13.66    0.06    	13.73    0.05  
2453530.77	-2.89	16.94    0.06    	19.26    0.26      15.10    0.05    	13.40    0.06    	13.65    0.07    	13.70    0.05  
2453531.97	-1.69	16.85    0.06    	18.36    0.16      15.10    0.05    	13.34    0.06    	13.60    0.07    	13.66    0.05  
2453533.05	-0.61	16.83    0.06    	18.50    0.16      15.13    0.05    	99.99    99.99 	    99.99    99.99 	    13.61    0.06  
2453538.26	 4.60	17.15    0.07    	18.32    0.15      15.39    0.05    	99.99    99.99 	    99.99    99.99 	    13.58    0.06  
2453538.74	 5.08	17.07    0.07    	18.31    0.15      15.44    0.05    	99.99    99.99 	    99.99    99.99 	    13.63    0.06  
2453542.15	 8.49	17.39    0.07    	18.47    0.15      15.83    0.06    	99.99    99.99 	    99.99    99.99 	    13.70    0.06  
2453543.70	 10.04	17.47    0.08    	18.58    0.20      16.03    0.09    	99.99    99.99 	    99.99    99.99 	    13.75    0.07  
2453548.26	 14.60	18.06    0.10    	18.62    0.18      16.63    0.07    	14.82    0.05    	14.65    0.05    	14.09    0.05  
2453550.51	 16.85	18.21    0.11    	18.92    0.24      16.96    0.09    	15.14    0.05    	14.91    0.05    	14.25    0.05  
2453564.32	 30.66	19.36    0.29    	19.76	 0.00      18.17    0.16    	16.46    0.08    	16.07    0.06    	14.94    0.05  
2453575.16	 41.50	99.99    99.99      99.99   99.99      99.99	99.99       17.05    0.06    	16.65    0.05    	15.60    0.05  
2453575.97	 42.31	19.77    0.19    	20.29	 0.00      18.60    0.11    	99.99    99.99 	    99.99    99.99 	    99.99    99.99 

