FILTER	JD	MAG         MERR
B       	2458053.248	17.085	0.054
UVM2    	2458053.204	58.680	1279694498430976.000
U       	2458053.246	17.589	0.103
V       	2458053.258	16.634	0.057
UVW1    	2458053.245	18.375	0.162
UVW2    	2458053.256	19.245	0.204
B       	2458054.582	16.736	0.076
UVM2    	2458054.588	22.601	7.437
U       	2458054.581	16.909	0.115
V       	2458054.585	16.487	0.124
UVW1    	2458054.581	18.345	0.245
UVW2    	2458054.585	19.604	0.455
B       	2458056.976	16.384	0.071
UVM2    	2458056.981	19.504	0.384
U       	2458056.976	16.354	0.094
V       	2458056.978	16.168	0.118
UVW1    	2458056.976	18.086	0.236
UVW2    	2458056.978	19.236	0.382
B       	2458060.888	15.622	0.037
U       	2458060.887	15.380	0.044
V       	2458060.893	15.663	0.063
UVW1    	2458060.947	17.001	0.100
UVW2    	2458060.892	18.278	0.147
B       	2458067.477	15.464	0.053
U       	2458067.476	15.374	0.067
V       	2458067.479	15.308	0.083
UVW1    	2458067.476	16.803	0.125
U       	2458069.261	15.463	0.078
V       	2458069.267	15.383	0.093
UVW1    	2458069.260	17.115	0.149
B       	2458071.114	15.540	0.036
UVM2    	2458071.119	20.875	1.031
U       	2458071.114	15.613	0.048
V       	2458071.117	15.306	0.053
UVW1    	2458071.114	17.192	0.091
UVW2    	2458071.116	18.429	0.146
B       	2458073.317	15.700	0.065
U       	2458073.316	15.816	0.091
V       	2458073.320	15.365	0.093
UVW1    	2458073.316	17.328	0.192
UVW2    	2458073.319	18.704	0.348
B       	2458075.178	15.796	0.057
UVM2    	2458075.185	18.809	0.287
U       	2458075.178	15.951	0.085
V       	2458075.181	15.385	0.082
UVW1    	2458075.177	17.863	0.245
UVW2    	2458075.181	18.975	0.380
B       	2458081.076	16.385	0.057
UVM2    	2458081.082	19.750	0.462
U       	2458081.076	16.765	0.096
V       	2458081.079	15.812	0.078
UVW1    	2458081.075	17.977	0.161
UVW2    	2458081.078	18.869	0.229
B       	2458082.346	16.534	0.056
U       	2458082.345	16.932	0.095
V       	2458082.351	15.837	0.070
UVW1    	2458082.344	18.308	0.196
UVW2    	2458082.350	18.691	0.181
B       	2458085.265	16.912	0.066
UVM2    	2458085.278	19.564	0.306
U       	2458085.264	17.324	0.116
V       	2458085.271	16.009	0.071
UVW1    	2458085.263	18.589	0.215
UVW2    	2458085.270	19.202	0.235
B       	2458088.857	17.205	0.100
UVM2    	2458088.865	19.535	0.393
U       	2458088.857	17.456	0.156
V       	2458088.861	16.199	0.104
UVW1    	2458088.856	19.364	0.563
UVW2    	2458088.860	19.208	0.310
B       	2458095.426	17.653	0.109
UVM2    	2458095.436	22.107	3.008
U       	2458095.426	18.987	0.451
V       	2458095.431	16.484	0.103
