 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2454162.000 17.243 0.088 14.995 0.052 17.018 0.088 14.890 0.052 2.128 0.102 -14.830
1 2454166.000 15.638 0.070 14.101 0.040 15.413 0.070 13.996 0.040 1.417 0.081 -10.852
2 2454170.000 14.716 0.063 13.443 0.034 14.491 0.063 13.338 0.034 1.153 0.072 -6.874
3 2454171.000 14.694 0.062 13.389 0.035 14.469 0.062 13.284 0.035 1.185 0.071 -5.879
4 2454172.000 14.608 0.060 13.322 0.033 14.383 0.060 13.217 0.033 1.166 0.069 -4.885
5 2454173.000 14.657 0.061 13.319 0.034 14.432 0.061 13.214 0.034 1.218 0.070 -3.890
6 2454174.000 14.640 0.061 13.261 0.034 14.415 0.061 13.156 0.034 1.259 0.070 -2.896
9 2454177.000 15.006 0.070 13.215 0.032 14.781 0.070 13.110 0.032 1.671 0.077 0.088
10 2454178.000 15.199 0.072 13.241 0.032 14.974 0.072 13.136 0.032 1.838 0.079 1.083
11 2454179.000 15.205 0.071 13.226 0.032 14.980 0.071 13.121 0.032 1.859 0.078 2.077
12 2454180.000 15.364 0.072 13.249 0.032 15.139 0.072 13.144 0.032 1.995 0.079 3.072
13 2454181.000 15.511 0.071 13.299 0.036 15.286 0.071 13.194 0.036 2.092 0.080 4.066
14 2454182.000 15.636 0.074 13.296 0.033 15.411 0.074 13.191 0.033 2.220 0.081 5.061
15 2454183.000 15.797 0.077 13.358 0.033 15.572 0.077 13.253 0.033 2.319 0.084 6.056
16 2454184.000 15.804 0.078 13.357 0.032 15.579 0.078 13.252 0.032 2.327 0.084 7.050
17 2454185.000 16.000 0.074 13.428 0.033 15.775 0.074 13.323 0.033 2.452 0.081 8.045
18 2454186.000 16.203 0.086 13.539 0.034 15.978 0.086 13.434 0.034 2.544 0.093 9.039
19 2454187.000 16.318 0.078 13.595 0.037 16.093 0.078 13.490 0.037 2.603 0.086 10.034
20 2454188.000 16.354 0.078 13.610 0.035 16.129 0.078 13.505 0.035 2.624 0.086 11.028
21 2454189.000 16.617 0.082 13.670 0.035 16.392 0.082 13.565 0.035 2.827 0.089 12.023
22 2454190.000 16.708 0.088 13.788 0.039 16.483 0.088 13.683 0.039 2.800 0.096 13.017
23 2454192.000 16.851 0.092 13.849 0.043 16.626 0.092 13.744 0.043 2.882 0.102 15.007
24 2454193.000 17.104 0.094 13.959 0.038 16.879 0.094 13.854 0.038 3.025 0.102 16.001
25 2454194.000 17.165 0.119 13.970 0.039 16.940 0.119 13.865 0.039 3.075 0.125 16.996
26 2454196.000 17.354 0.103 14.144 0.043 17.129 0.103 14.039 0.043 3.090 0.112 18.985
27 2454197.000 17.379 0.107 14.183 0.043 17.154 0.107 14.078 0.043 3.076 0.115 19.979
28 2454201.000 17.776 0.131 14.326 0.054 17.551 0.131 14.221 0.054 3.330 0.142 23.958
29 2454203.000 17.932 0.132 14.541 0.052 17.707 0.132 14.436 0.052 3.271 0.142 25.947
30 2454205.000 18.164 0.155 14.702 0.061 17.939 0.155 14.597 0.061 3.342 0.167 27.936
31 2454207.000 18.095 0.141 14.927 0.061 17.870 0.141 14.822 0.061 3.048 0.154 29.925
32 2454209.000 18.143 0.156 15.074 0.066 17.918 0.156 14.969 0.066 2.949 0.169 31.914
33 2454212.000 18.350 0.155 15.115 0.061 18.125 0.155 15.010 0.061 3.115 0.167 34.898
34 2454214.000 18.375 0.158 15.257 0.090 18.150 0.158 15.152 0.090 2.998 0.182 36.887
35 2454218.000 18.643 0.188 15.331 0.081 18.418 0.188 15.226 0.081 3.192 0.205 40.865
36 2454226.000 18.933 0.227 15.729 0.074 18.708 0.227 15.624 0.074 3.084 0.239 48.822
37 2454232.000 19.166 0.243 15.828 0.070 18.941 0.243 15.723 0.070 3.218 0.253 54.789
39 2454216.000 18.642 0.203 15.260 0.068 18.417 0.203 15.155 0.068 3.262 0.214 38.876
40 2454220.000 18.602 0.184 15.522 0.066 18.377 0.184 15.417 0.066 2.960 0.196 42.854
41 2454224.000 18.917 0.226 15.565 0.074 18.692 0.226 15.460 0.074 3.232 0.238 46.833
42 2454238.000 18.994 0.296 16.007 0.072 18.769 0.296 15.902 0.072 2.867 0.305 60.757
43 2454245.000 19.626 0.365 16.148 0.084 19.401 0.365 16.043 0.084 3.358 0.375 67.719
44 2454252.000 19.482 0.310 16.302 0.087 19.257 0.310 16.197 0.087 3.060 0.322 74.681
45 2454259.000 19.873 0.404 16.489 0.094 19.648 0.404 16.384 0.094 3.264 0.415 81.643
46 2454273.000 19.696 0.348 17.053 0.131 19.471 0.348 16.948 0.131 2.523 0.372 95.566
