 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
1 2454455.000 15.000 0.055 12.791 0.041 14.729 0.055 12.665 0.041 2.064 0.069 0.000
2 2454456.000 15.104 0.058 12.798 0.040 14.833 0.058 12.672 0.040 2.161 0.071 0.995
3 2454457.000 15.297 0.063 12.877 0.041 15.026 0.063 12.751 0.041 2.275 0.075 1.989
4 2454458.000 15.385 0.064 12.895 0.041 15.114 0.064 12.769 0.041 2.345 0.076 2.984
5 2454459.000 15.545 0.065 12.941 0.041 15.274 0.065 12.815 0.041 2.459 0.077 3.978
6 2454460.000 15.640 0.072 13.025 0.042 15.369 0.072 12.899 0.042 2.470 0.084 4.973
7 2454461.000 15.762 0.074 13.042 0.042 15.491 0.074 12.916 0.042 2.575 0.085 5.967
8 2454462.000 15.825 0.067 13.131 0.042 15.554 0.067 13.005 0.042 2.549 0.079 6.962
10 2454464.000 16.096 0.070 13.271 0.043 15.825 0.070 13.145 0.043 2.680 0.082 8.951
12 2454469.000 16.717 0.071 13.580 0.044 16.446 0.071 13.454 0.044 2.992 0.084 13.924
13 2454471.000 16.881 0.073 13.582 0.042 16.610 0.073 13.456 0.042 3.154 0.084 15.913
14 2454473.000 17.068 0.075 13.686 0.044 16.797 0.075 13.560 0.044 3.237 0.087 17.902
15 2454476.000 17.346 0.079 13.882 0.045 17.075 0.079 13.756 0.045 3.319 0.091 20.886
16 2454488.000 18.052 0.089 14.592 0.050 17.781 0.089 14.466 0.050 3.315 0.102 32.820
17 2454502.000 18.361 0.106 15.046 0.056 18.090 0.106 14.920 0.056 3.170 0.120 46.744
18 2454506.000 18.388 0.105 15.180 0.056 18.117 0.105 15.054 0.056 3.063 0.119 50.722
19 2454525.000 18.759 0.146 15.718 0.072 18.488 0.146 15.592 0.072 2.896 0.163 69.619
21 2454483.000 17.757 0.085 14.270 0.050 17.486 0.085 14.144 0.050 3.342 0.099 27.847
22 2454589.000 19.832 0.198 17.015 0.073 19.561 0.198 16.889 0.073 2.672 0.211 133.270
