 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2454665.000 17.818 0.118 16.495 0.089 17.414 0.118 16.307 0.089 1.107 0.148 -11.418
1 2454668.000 17.329 0.096 16.119 0.077 16.925 0.096 15.931 0.077 0.994 0.123 -8.466
2 2454672.000 17.331 0.097 15.675 0.069 16.927 0.097 15.487 0.069 1.440 0.119 -4.530
3 2454674.000 17.394 0.098 15.593 0.066 16.990 0.098 15.405 0.066 1.585 0.118 -2.562
4 2454676.000 17.617 0.123 15.652 0.073 17.213 0.123 15.464 0.073 1.749 0.143 -0.594
5 2454678.000 17.965 0.128 15.662 0.068 17.561 0.128 15.474 0.068 2.087 0.145 1.374
6 2454680.000 18.062 0.132 15.669 0.068 17.658 0.132 15.481 0.068 2.177 0.149 3.342
7 2454688.000 19.050 0.234 16.204 0.077 18.646 0.234 16.016 0.077 2.630 0.246 11.213
8 2454663.000 18.695 0.208 17.232 0.134 18.291 0.208 17.044 0.134 1.247 0.247 -13.385
11 2454686.000 18.603 0.179 16.073 0.120 18.199 0.179 15.885 0.120 2.314 0.216 9.245
12 2454694.000 19.435 0.350 16.553 0.128 19.031 0.350 16.365 0.128 2.666 0.373 17.117
13 2454699.000 19.810 0.419 16.817 0.098 19.406 0.419 16.629 0.098 2.777 0.430 22.037
