 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2455604.000 15.137 0.062 15.031 0.060 14.707 0.065 14.831 0.061 -0.124 0.089 -11.620
1 2455606.000 15.104 0.065 14.928 0.064 14.674 0.068 14.728 0.065 -0.054 0.094 -9.646
2 2455608.000 15.041 0.063 14.895 0.058 14.611 0.066 14.695 0.059 -0.084 0.088 -7.671
3 2455610.000 15.193 0.064 14.864 0.058 14.763 0.067 14.664 0.059 0.099 0.089 -5.697
4 2455612.000 15.096 0.063 14.717 0.057 14.666 0.066 14.517 0.058 0.149 0.088 -3.723
5 2455614.000 15.224 0.063 14.732 0.057 14.794 0.066 14.532 0.058 0.262 0.088 -1.748
6 2455616.000 15.291 0.064 14.761 0.057 14.861 0.067 14.561 0.058 0.300 0.088 0.226
7 2455618.000 15.518 0.065 14.767 0.057 15.088 0.068 14.567 0.058 0.521 0.089 2.200
9 2455622.000 15.750 0.067 14.842 0.058 15.320 0.070 14.642 0.059 0.678 0.091 6.149
10 2455633.000 17.203 0.090 15.258 0.060 16.773 0.092 15.058 0.061 1.715 0.110 17.008
11 2455636.000 17.462 0.103 15.423 0.064 17.032 0.105 15.223 0.065 1.809 0.123 19.969
12 2455638.000 17.595 0.106 15.580 0.064 17.165 0.108 15.380 0.065 1.785 0.126 21.944
13 2455641.000 17.830 0.122 15.555 0.065 17.400 0.124 15.355 0.066 2.045 0.140 24.905
14 2455650.000 17.816 0.117 15.742 0.066 17.386 0.119 15.542 0.067 1.844 0.136 33.790
15 2455658.000 18.145 0.143 15.979 0.071 17.715 0.144 15.779 0.072 1.936 0.161 41.687
