 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2456066.000 17.135 0.092 15.193 0.085 17.003 0.092 15.131 0.085 1.871 0.125 -14.747
1 2456068.000 16.879 0.085 14.510 0.066 16.747 0.085 14.448 0.066 2.298 0.108 -12.750
3 2456072.000 14.579 0.053 13.046 0.035 14.447 0.053 12.984 0.035 1.462 0.064 -8.756
4 2456074.000 13.930 0.045 12.594 0.032 13.798 0.045 12.532 0.032 1.265 0.056 -6.759
5 2456076.000 13.563 0.044 12.404 0.031 13.431 0.044 12.342 0.031 1.088 0.054 -4.762
6 2456079.000 13.322 0.044 12.120 0.030 13.190 0.044 12.058 0.030 1.131 0.054 -1.766
7 2456081.000 13.382 0.044 12.111 0.030 13.250 0.044 12.049 0.030 1.200 0.054 0.231
8 2456083.000 13.463 0.043 12.051 0.030 13.331 0.044 11.989 0.030 1.341 0.053 2.228
9 2456085.000 13.576 0.046 12.007 0.030 13.444 0.046 11.945 0.030 1.498 0.055 4.225
11 2456089.000 14.021 0.048 12.161 0.030 13.889 0.048 12.099 0.030 1.789 0.057 8.219
12 2456095.000 14.716 0.060 12.382 0.031 14.584 0.060 12.320 0.031 2.263 0.068 14.210
19 2456115.000 16.763 0.086 13.436 0.039 16.631 0.086 13.374 0.039 3.256 0.095 34.181
20 2456119.000 17.021 0.101 13.660 0.044 16.889 0.101 13.598 0.044 3.290 0.110 38.175
21 2456127.000 17.187 0.106 13.966 0.050 17.055 0.106 13.904 0.050 3.150 0.117 46.164
22 2456131.000 17.338 0.109 14.180 0.062 17.206 0.109 14.118 0.062 3.087 0.126 50.158
