 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2457823.000 16.527 0.074 15.458 0.060 15.566 0.074 15.011 0.060 0.555 0.095 -17.940
1 2457825.000 15.854 0.056 14.236 0.049 14.893 0.056 13.789 0.049 1.104 0.075 -15.948
2 2457827.000 15.436 0.058 13.541 0.044 14.475 0.058 13.094 0.044 1.381 0.073 -13.956
4 2457833.000 13.388 0.043 12.081 0.040 12.427 0.043 11.634 0.040 0.793 0.059 -7.980
5 2457839.000 13.042 0.042 11.657 0.029 12.081 0.042 11.210 0.029 0.871 0.051 -2.004
6 2457849.000 13.744 0.048 11.722 0.029 12.783 0.048 11.275 0.029 1.508 0.056 7.956
7 2457851.000 14.003 0.051 11.801 0.029 13.042 0.051 11.354 0.029 1.688 0.059 9.948
8 2457853.000 14.133 0.053 11.891 0.029 13.172 0.053 11.444 0.029 1.728 0.061 11.940
9 2457855.000 14.423 0.062 11.994 0.029 13.462 0.062 11.547 0.029 1.915 0.069 13.932
10 2457857.000 14.732 0.064 12.145 0.030 13.771 0.064 11.698 0.030 2.073 0.071 15.924
11 2457859.000 14.926 0.066 12.250 0.030 13.965 0.066 11.803 0.030 2.162 0.073 17.916
12 2457863.000 15.514 0.074 12.452 0.030 14.553 0.074 12.005 0.030 2.548 0.080 21.901
13 2457865.000 15.516 0.074 12.570 0.031 14.555 0.074 12.123 0.031 2.432 0.080 23.893
15 2457879.000 16.566 0.080 13.459 0.036 15.605 0.080 13.012 0.036 2.593 0.088 37.837
16 2457885.000 16.607 0.081 13.533 0.037 15.646 0.081 13.086 0.037 2.560 0.089 43.813
17 2457889.000 16.672 0.083 13.686 0.038 15.711 0.083 13.239 0.038 2.472 0.091 47.797
18 2457905.000 17.185 0.085 14.072 0.048 16.224 0.085 13.625 0.048 2.599 0.098 63.733
19 2457919.000 17.326 0.088 14.548 0.055 16.365 0.088 14.101 0.055 2.264 0.104 77.677
20 2457936.000 18.350 0.232 14.949 0.076 17.389 0.232 14.502 0.076 2.887 0.244 94.610
21 2457938.000 17.887 0.213 15.017 0.084 16.926 0.213 14.570 0.084 2.356 0.229 96.602
22 2457939.000 17.945 0.140 14.954 0.063 16.984 0.140 14.507 0.063 2.477 0.154 97.598
23 2457950.000 18.106 0.117 15.320 0.071 17.145 0.117 14.873 0.071 2.272 0.137 108.554
24 2457954.000 18.048 0.170 15.356 0.076 17.087 0.170 14.909 0.076 2.178 0.186 112.538
25 2457961.000 18.135 0.137 15.439 0.064 17.174 0.137 14.992 0.064 2.182 0.151 119.510
