 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
3 2457925.000 16.570 0.077 14.317 0.053 15.941 0.077 14.024 0.053 1.917 0.093 -11.066
4 2457927.000 15.875 0.068 13.917 0.048 15.246 0.068 13.624 0.048 1.622 0.083 -9.079
5 2457929.000 15.492 0.062 13.725 0.046 14.863 0.062 13.432 0.046 1.431 0.077 -7.091
6 2457931.000 15.327 0.063 13.608 0.045 14.698 0.063 13.315 0.045 1.383 0.077 -5.103
7 2457934.000 15.213 0.066 13.487 0.044 14.584 0.066 13.194 0.044 1.390 0.079 -2.122
8 2457936.000 15.288 0.083 13.505 0.048 14.659 0.083 13.212 0.048 1.447 0.096 -0.134
9 2457937.000 15.319 0.072 13.464 0.044 14.690 0.072 13.171 0.044 1.519 0.084 0.860
10 2457942.000 15.706 0.066 13.528 0.045 15.077 0.066 13.235 0.045 1.842 0.080 5.829
11 2457945.000 16.074 0.065 13.579 0.044 15.445 0.065 13.286 0.044 2.159 0.078 8.811
12 2457951.000 16.999 0.082 14.048 0.048 16.370 0.082 13.755 0.048 2.615 0.095 14.774
13 2457954.000 17.273 0.088 14.169 0.050 16.644 0.088 13.876 0.050 2.768 0.101 17.756
14 2457956.000 17.368 0.097 14.341 0.053 16.739 0.097 14.048 0.053 2.691 0.111 19.743
15 2457958.000 17.559 0.099 14.428 0.055 16.930 0.099 14.135 0.055 2.795 0.113 21.731
16 2457970.000 18.309 0.187 15.140 0.056 17.680 0.187 14.847 0.056 2.833 0.195 33.658
17 2457919.000 18.782 0.184 16.425 0.087 18.153 0.184 16.132 0.087 2.021 0.204 -17.030
18 2457920.000 18.367 0.189 15.912 0.085 17.738 0.189 15.619 0.085 2.119 0.207 -16.036
19 2457977.000 18.388 0.141 15.480 0.061 17.759 0.141 15.187 0.061 2.572 0.154 40.615
