 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2458053.000 18.375 0.162 16.634 0.057 17.370 0.168 16.166 0.061 1.204 0.179 -13.085
1 2458055.000 18.345 0.245 16.487 0.124 17.340 0.249 16.019 0.126 1.321 0.279 -11.116
2 2458057.000 18.086 0.236 16.168 0.118 17.081 0.240 15.700 0.120 1.381 0.269 -9.147
3 2458061.000 17.001 0.100 15.663 0.063 15.996 0.110 15.195 0.066 0.801 0.128 -5.209
4 2458067.000 16.803 0.125 15.308 0.083 15.798 0.133 14.840 0.086 0.958 0.158 0.699
5 2458069.000 17.115 0.149 15.383 0.093 16.110 0.156 14.915 0.095 1.195 0.183 2.668
6 2458071.000 17.192 0.091 15.306 0.053 16.187 0.102 14.838 0.057 1.349 0.117 4.637
7 2458073.000 17.328 0.192 15.365 0.093 16.323 0.197 14.897 0.095 1.426 0.219 6.607
8 2458075.000 17.863 0.245 15.385 0.082 16.858 0.249 14.917 0.085 1.941 0.263 8.576
9 2458081.000 17.977 0.161 15.812 0.078 16.972 0.167 15.344 0.081 1.628 0.186 14.483
10 2458082.000 18.308 0.196 15.837 0.070 17.303 0.201 15.369 0.073 1.934 0.214 15.468
11 2458085.000 18.589 0.215 16.009 0.071 17.584 0.220 15.541 0.074 2.043 0.232 18.422
12 2458089.000 19.364 0.563 16.199 0.104 18.359 0.565 15.731 0.106 2.628 0.575 22.360
