 JD uvw1 uvw1Err uvv uvvErr uvw1ex uvw1exErr uvvex uvvexErr uvw1-uvv uvw1-uvvErr Phase
0 2455359.000 15.717 0.074 14.542 0.060 15.655 0.074 14.513 0.060 1.142 0.095 -0.708
1 2455362.000 15.839 0.077 14.494 0.061 15.777 0.077 14.465 0.061 1.312 0.098 2.267
2 2455363.000 15.975 0.079 14.437 0.067 15.913 0.079 14.408 0.067 1.505 0.104 3.258
3 2455365.000 16.082 0.080 14.525 0.060 16.020 0.080 14.496 0.060 1.524 0.100 5.241
4 2455367.000 16.334 0.086 14.517 0.060 16.272 0.086 14.488 0.060 1.784 0.105 7.224
5 2455369.000 16.625 0.094 14.569 0.063 16.563 0.094 14.540 0.063 2.023 0.113 9.207
6 2455371.000 16.827 0.102 14.676 0.061 16.765 0.102 14.647 0.061 2.118 0.119 11.190
7 2455373.000 17.200 0.120 14.811 0.063 17.138 0.120 14.782 0.063 2.356 0.136 13.173
8 2455375.000 17.314 0.130 14.899 0.065 17.252 0.130 14.870 0.065 2.382 0.145 15.156
9 2455377.000 17.539 0.141 15.046 0.065 17.477 0.141 15.017 0.065 2.460 0.155 17.139
10 2455379.000 17.771 0.164 15.123 0.066 17.709 0.164 15.094 0.066 2.615 0.177 19.122
12 2455381.000 18.200 0.216 15.286 0.069 18.138 0.216 15.257 0.069 2.881 0.227 21.105
