This file contains the LC params of 2007sr in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2454545.164523 +/- 38.246614
Magnitude at maximum in B band is: 16.283878 +/- 0.708021
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2454560.164523
Magnitude after 15-days from B band maximum is: 16.452277 +/- 0.874890
Estimated value of dm15 is: 0.168399 +/- 1.125490
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2454447.322000           12.874252       0.225675

2454447.519662           12.875872       0.219012

2454447.717323           12.877710       0.212402

2454447.914985           12.879768       0.205846

2454448.112647           12.882051       0.199348

2454448.310308           12.884559       0.192910

2454448.507970           12.887297       0.186536

2454448.705632           12.890267       0.180227

2454448.903293           12.893472       0.173987

2454449.100955           12.896914       0.167818

2454449.298617           12.900597       0.161724

2454449.496278           12.904524       0.155707

2454449.693940           12.908696       0.149771

2454449.891602           12.913116       0.143918

2454450.089263           12.917788       0.138152

2454450.286925           12.922714       0.132475

2454450.484587           12.927896       0.126891

2454450.682248           12.933338       0.121403

2454450.879910           12.939040       0.116014

2454451.077572           12.945007       0.110727

2454451.275233           12.951241       0.105545

2454451.472895           12.957743       0.100473

2454451.670557           12.964516       0.095513

2454451.868218           12.971563       0.090668

2454452.065880           12.978886       0.085943

2454452.263542           12.986486       0.081340

2454452.461203           12.994366       0.076864

2454452.658865           13.002528       0.072517

2454452.856527           13.010975       0.068305

2454453.054188           13.019707       0.064230

2454453.251850           13.028726       0.060297

2454453.449512           13.038035       0.056510

2454453.647173           13.047635       0.052872

2454453.844835           13.057528       0.049390

2454454.042496           13.067714       0.046066

2454454.240158           13.078197       0.042906

2454454.437820           13.088975       0.039915

2454454.635481           13.100052       0.037098

2454454.833143           13.111428       0.034460

2454455.030805           13.123103       0.032006

2454455.228466           13.135079       0.029741

2454455.426128           13.147357       0.027668

2454455.623790           13.159936       0.025792

2454455.821451           13.172818       0.024113

2454456.019113           13.186003       0.022633

2454456.216775           13.199490       0.021348

2454456.414436           13.213281       0.020253

2454456.612098           13.227376       0.019339

2454456.809760           13.241775       0.018594

2454457.007421           13.256477       0.018002

2454457.205083           13.271485       0.017547

2454457.402745           13.286797       0.017207

2454457.600406           13.302415       0.016965

2454457.798068           13.318339       0.016802

2454457.995730           13.334569       0.016700

2454458.193391           13.351106       0.016644

2454458.391053           13.367949       0.016622

2454458.588715           13.385099       0.016625

2454458.786376           13.402556       0.016645

2454458.984038           13.420317       0.016677

2454459.181700           13.438382       0.016719

2454459.379361           13.456749       0.016769

2454459.577023           13.475414       0.016829

2454459.774685           13.494375       0.016900

2454459.972346           13.513626       0.016986

2454460.170008           13.533163       0.017089

2454460.367670           13.552980       0.017214

2454460.565331           13.573070       0.017364

2454460.762993           13.593425       0.017542

2454460.960655           13.614039       0.017753

2454461.158316           13.634901       0.017997

2454461.355978           13.656002       0.018277

2454461.553640           13.677332       0.018592

2454461.751301           13.698879       0.018944

2454461.948963           13.720633       0.019330

2454462.146625           13.742580       0.019748

2454462.344286           13.764709       0.020195

2454462.541948           13.787006       0.020667

2454462.739610           13.809459       0.021161

2454462.937271           13.832054       0.021672

2454463.134933           13.854777       0.022195

2454463.332595           13.877616       0.022726

2454463.530256           13.900556       0.023259

2454463.727918           13.923584       0.023791

2454463.925580           13.946686       0.024315

2454464.123241           13.969848       0.024827

2454464.320903           13.993058       0.025322

2454464.518565           14.016303       0.025796

2454464.716226           14.039568       0.026245

2454464.913888           14.062843       0.026663

2454465.111550           14.086113       0.027049

2454465.309211           14.109367       0.027397

2454465.506873           14.132592       0.027705

2454465.704535           14.155778       0.027972

2454465.902196           14.178912       0.028195

2454466.099858           14.201984       0.028372

2454466.297520           14.224982       0.028504

2454466.495181           14.247897       0.028589

2454466.692843           14.270719       0.028629

2454466.890505           14.293437       0.028623

2454467.088166           14.316043       0.028574

2454467.285828           14.338527       0.028484

2454467.483489           14.360883       0.028355

2454467.681151           14.383103       0.028191

2454467.878813           14.405178       0.027995

2454468.076474           14.427103       0.027772

2454468.274136           14.448871       0.027526

2454468.471798           14.470477       0.027262

2454468.669459           14.491917       0.026986

2454468.867121           14.513186       0.026703

2454469.064783           14.534280       0.026419

2454469.262444           14.555198       0.026140

2454469.460106           14.575937       0.025871

2454469.657768           14.596495       0.025618

2454469.855429           14.616873       0.025385

2454470.053091           14.637069       0.025178

2454470.250753           14.657085       0.024999

2454470.448414           14.676922       0.024854

2454470.646076           14.696580       0.024743

2454470.843738           14.716061       0.024671

2454471.041399           14.735367       0.024638

2454471.239061           14.754500       0.024644

2454471.436723           14.773461       0.024690

