This file contains the LC params of 2012cg in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 56080.768877 +/- 0.905443
Magnitude at maximum in B band is: 12.158802 +/- 0.019801
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 56095.768877
Magnitude after 15-days from B band maximum is: 13.070210 +/- 0.030112
Estimated value of dm15 is: 0.911409 +/- 0.036039
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

56057.718600           18.301438       0.214313

56057.915611           18.246877       0.207858

56058.112622           18.191335       0.201453

56058.309633           18.134816       0.195099

56058.506644           18.077323       0.188800

56058.703655           18.018863       0.182558

56058.900665           17.959439       0.176375

56059.097676           17.899060       0.170255

56059.294687           17.837732       0.164200

56059.491698           17.775463       0.158213

56059.688709           17.712261       0.152296

56059.885720           17.648137       0.146452

56060.082731           17.583099       0.140684

56060.279742           17.517161       0.134996

56060.476753           17.450332       0.129389

56060.673764           17.382627       0.123867

56060.870775           17.314059       0.118433

56061.067785           17.244642       0.113090

56061.264796           17.174394       0.107841

56061.461807           17.103331       0.102688

56061.658818           17.031470       0.097636

56061.855829           16.958831       0.092686

56062.052840           16.885434       0.087844

56062.249851           16.811300       0.083111

56062.446862           16.736453       0.078492

56062.643873           16.660915       0.073989

56062.840884           16.584712       0.069607

56063.037895           16.507870       0.065350

56063.234906           16.430417       0.061220

56063.431916           16.352383       0.057223

56063.628927           16.273798       0.053363

56063.825938           16.194694       0.049644

56064.022949           16.115105       0.046071

56064.219960           16.035066       0.042651

56064.416971           15.954614       0.039389

56064.613982           15.873788       0.036292

56064.810993           15.792628       0.033367

56065.008004           15.711176       0.030622

56065.205015           15.629476       0.028068

56065.402026           15.547573       0.025714

56065.599036           15.465516       0.023572

56065.796047           15.383355       0.021652

56065.993058           15.301140       0.019966

56066.190069           15.218926       0.018522

56066.387080           15.136768       0.017326

56066.584091           15.054724       0.016376

56066.781102           14.972854       0.015662

56066.978113           14.891219       0.015168

56067.175124           14.809883       0.014865

56067.372135           14.728911       0.014722

56067.569146           14.648372       0.014703

56067.766156           14.568333       0.014771

56067.963167           14.488866       0.014895

56068.160178           14.410042       0.015046

56068.357189           14.331933       0.015200

56068.554200           14.254610       0.015339

56068.751211           14.178147       0.015449

56068.948222           14.102614       0.015521

56069.145233           14.028082       0.015546

56069.342244           13.954621       0.015523

56069.539255           13.882297       0.015448

56069.736266           13.811178       0.015324

56069.933276           13.741325       0.015152

56070.130287           13.672800       0.014938

56070.327298           13.605659       0.014688

56070.524309           13.539958       0.014408

56070.721320           13.475745       0.014108

56070.918331           13.413066       0.013798

56071.115342           13.351963       0.013488

