This file contains the LC params of 2014J in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2456690.122342 +/- 0.176954
Magnitude at maximum in B band is: 11.939394 +/- 0.005298
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2456705.122342
Magnitude after 15-days from B band maximum is: 12.895236 +/- 0.007913
Estimated value of dm15 is: 0.955842 +/- 0.009523
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2456674.430000           13.489436       0.197691

2456674.715315           13.454237       0.188167

2456675.000631           13.418596       0.178790

2456675.285946           13.382531       0.169571

2456675.571261           13.346061       0.160517

2456675.856577           13.309206       0.151638

2456676.141892           13.271989       0.142942

2456676.427207           13.234432       0.134439

2456676.712523           13.196561       0.126137

2456676.997838           13.158403       0.118045

2456677.283153           13.119987       0.110173

2456677.568468           13.081344       0.102529

2456677.853784           13.042506       0.095123

2456678.139099           13.003507       0.087963

2456678.424414           12.964385       0.081059

2456678.709730           12.925178       0.074419

2456678.995045           12.885927       0.068051

2456679.280360           12.846677       0.061963

2456679.565676           12.807474       0.056165

2456679.850991           12.768365       0.050663

2456680.136306           12.729403       0.045466

2456680.421622           12.690642       0.040579

2456680.706937           12.652138       0.036010

2456680.992252           12.613953       0.031764

2456681.277568           12.576149       0.027848

2456681.562883           12.538792       0.024264

2456681.848198           12.501953       0.021018

2456682.133514           12.465704       0.018112

2456682.418829           12.430124       0.015546

2456682.704144           12.395293       0.013320

2456682.989459           12.361294       0.011428

2456683.274775           12.328215       0.009865

2456683.560090           12.296143       0.008617

2456683.845405           12.265162       0.007668

2456684.130721           12.235354       0.006991

2456684.416036           12.206798       0.006550

2456684.701351           12.179564       0.006300

2456684.986667           12.153715       0.006194

2456685.271982           12.129305       0.006186

2456685.557297           12.106378       0.006236

2456685.842613           12.084964       0.006313

2456686.127928           12.065081       0.006390

2456686.413243           12.046734       0.006447

2456686.698559           12.029920       0.006471

2456686.983874           12.014631       0.006452

2456687.269189           12.000849       0.006389

2456687.554505           11.988553       0.006282

2456687.839820           11.977719       0.006138

2456688.125135           11.968316       0.005968

2456688.410450           11.960313       0.005785

2456688.695766           11.953673       0.005605

2456688.981081           11.948356       0.005444

2456689.266396           11.944318       0.005319

2456689.551712           11.941513       0.005245

2456689.837027           11.939888       0.005235

2456690.122342           11.939394       0.005298

