This file contains the LC params of 2017cbv in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2457841.511895 +/- 0.335907
Magnitude at maximum in B band is: 11.795151 +/- 0.024035
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2457856.511895
Magnitude after 15-days from B band maximum is: 12.752874 +/- 0.016847
Estimated value of dm15 is: 0.957724 +/- 0.029352
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2457815.063900           18.043725       0.246186

2457815.210022           18.003217       0.241265

2457815.356143           17.962175       0.236365

2457815.502265           17.920602       0.231489

2457815.648386           17.878500       0.226637

2457815.794508           17.835871       0.221810

2457815.940629           17.792718       0.217010

2457816.086751           17.749045       0.212236

2457816.232872           17.704854       0.207491

2457816.378994           17.660150       0.202775

2457816.525115           17.614936       0.198089

2457816.671237           17.569216       0.193434

2457816.817358           17.522994       0.188812

2457816.963480           17.476275       0.184222

2457817.109601           17.429064       0.179668

2457817.255723           17.381366       0.175148

2457817.401844           17.333187       0.170665

2457817.547966           17.284531       0.166220

2457817.694087           17.235406       0.161813

2457817.840209           17.185816       0.157447

2457817.986330           17.135770       0.153121

2457818.132452           17.085273       0.148837

2457818.278573           17.034334       0.144597

2457818.424695           16.982959       0.140401

2457818.570817           16.931157       0.136250

2457818.716938           16.878935       0.132147

2457818.863060           16.826304       0.128091

2457819.009181           16.773270       0.124084

2457819.155303           16.719845       0.120128

2457819.301424           16.666037       0.116224

2457819.447546           16.611857       0.112372

2457819.593667           16.557316       0.108575

2457819.739789           16.502424       0.104833

2457819.885910           16.447192       0.101149

2457820.032032           16.391633       0.097522

2457820.178153           16.335759       0.093956

2457820.324275           16.279582       0.090450

2457820.470396           16.223116       0.087008

2457820.616518           16.166374       0.083629

2457820.762639           16.109371       0.080317

2457820.908761           16.052120       0.077072

2457821.054882           15.994638       0.073897

2457821.201004           15.936939       0.070793

2457821.347125           15.879040       0.067763

2457821.493247           15.820957       0.064808

2457821.639368           15.762708       0.061931

2457821.785490           15.704310       0.059135

2457821.931612           15.645782       0.056421

2457822.077733           15.587143       0.053793

2457822.223855           15.528411       0.051254

2457822.369976           15.469608       0.048808

2457822.516098           15.410753       0.046458

2457822.662219           15.351869       0.044208

2457822.808341           15.292977       0.042062

2457822.954462           15.234099       0.040025

2457823.100584           15.175260       0.038103

2457823.246705           15.116483       0.036301

2457823.392827           15.057792       0.034623

2457823.538948           14.999213       0.033077

2457823.685070           14.940772       0.031667

2457823.831191           14.882494       0.030399

2457823.977313           14.824405       0.029278

2457824.123434           14.766531       0.028307

2457824.269556           14.708900       0.027490

2457824.415677           14.651535       0.026827

2457824.561799           14.594463       0.026317

2457824.707920           14.537709       0.025956

2457824.854042           14.481297       0.025740

2457825.000163           14.425251       0.025661

2457825.146285           14.369595       0.025709

2457825.292407           14.314351       0.025874

2457825.438528           14.259541       0.026143

2457825.584650           14.205186       0.026505

2457825.730771           14.151307       0.026949

2457825.876893           14.097923       0.027462

2457826.023014           14.045053       0.028034

2457826.169136           13.992716       0.028655

2457826.315257           13.940929       0.029316

2457826.461379           13.889708       0.030008

2457826.607500           13.839069       0.030724

2457826.753622           13.789027       0.031458

2457826.899743           13.739595       0.032203

2457827.045865           13.690786       0.032954

2457827.191986           13.642612       0.033706

2457827.338108           13.595085       0.034455

2457827.484229           13.548213       0.035196

2457827.630351           13.502007       0.035928

2457827.776472           13.456475       0.036645

2457827.922594           13.411625       0.037346

2457828.068715           13.367464       0.038027

2457828.214837           13.323997       0.038687

2457828.360958           13.281230       0.039322

2457828.507080           13.239169       0.039931

2457828.653202           13.197816       0.040512

2457828.799323           13.157175       0.041064

2457828.945445           13.117250       0.041584

2457829.091566           13.078041       0.042070

2457829.237688           13.039550       0.042523

2457829.383809           13.001779       0.042940

2457829.529931           12.964727       0.043320

2457829.676052           12.928395       0.043663

2457829.822174           12.892780       0.043966

2457829.968295           12.857883       0.044231

2457830.114417           12.823700       0.044454

2457830.260538           12.790230       0.044637

2457830.406660           12.757470       0.044779

2457830.552781           12.725416       0.044879

2457830.698903           12.694065       0.044936

2457830.845024           12.663412       0.044951

2457830.991146           12.633454       0.044924

2457831.137267           12.604184       0.044855

2457831.283389           12.575599       0.044743

2457831.429510           12.547691       0.044588

2457831.575632           12.520456       0.044393

2457831.721753           12.493887       0.044155

2457831.867875           12.467976       0.043877

2457832.013996           12.442718       0.043559

2457832.160118           12.418105       0.043201

2457832.306240           12.394130       0.042805

2457832.452361           12.370785       0.042372

2457832.598483           12.348061       0.041902

2457832.744604           12.325952       0.041397

2457832.890726           12.304448       0.040859

2457833.036847           12.283541       0.040288

2457833.182969           12.263223       0.039687

2457833.329090           12.243484       0.039057

2457833.475212           12.224316       0.038401

2457833.621333           12.205710       0.037719

2457833.767455           12.187655       0.037014

2457833.913576           12.170144       0.036289

2457834.059698           12.153166       0.035546

2457834.205819           12.136713       0.034788

2457834.351941           12.120774       0.034016

2457834.498062           12.105340       0.033235

2457834.644184           12.090402       0.032446

2457834.790305           12.075950       0.031654

2457834.936427           12.061974       0.030860

2457835.082548           12.048465       0.030070

2457835.228670           12.035413       0.029285

2457835.374791           12.022809       0.028510

2457835.520913           12.010644       0.027748

2457835.667035           11.998907       0.027004

2457835.813156           11.987591       0.026280

2457835.959278           11.976685       0.025580

2457836.105399           11.966180       0.024909

2457836.251521           11.956068       0.024270

2457836.397642           11.946340       0.023667

2457836.543764           11.936987       0.023102

2457836.689885           11.928001       0.022579

2457836.836007           11.919374       0.022100

2457836.982128           11.911097       0.021668

2457837.128250           11.903162       0.021284

2457837.274371           11.895563       0.020950

2457837.420493           11.888291       0.020666

2457837.566614           11.881339       0.020432

2457837.712736           11.874700       0.020247

2457837.858857           11.868368       0.020112

2457838.004979           11.862335       0.020023

2457838.151100           11.856596       0.019980

2457838.297222           11.851145       0.019979

2457838.443343           11.845975       0.020018

2457838.589465           11.841081       0.020094

2457838.735586           11.836458       0.020203

2457838.881708           11.832101       0.020341

2457839.027830           11.828005       0.020506

2457839.173951           11.824165       0.020693

2457839.320073           11.820579       0.020898

2457839.466194           11.817241       0.021118

2457839.612316           11.814148       0.021350

2457839.758437           11.811298       0.021589

2457839.904559           11.808686       0.021833

2457840.050680           11.806312       0.022078

2457840.196802           11.804171       0.022320

2457840.342923           11.802262       0.022559

2457840.489045           11.800584       0.022789

2457840.635166           11.799133       0.023011

2457840.781288           11.797909       0.023220

2457840.927409           11.796911       0.023416

2457841.073531           11.796137       0.023597

2457841.219652           11.795586       0.023761

2457841.365774           11.795258       0.023908

2457841.511895           11.795151       0.024035

2457841.658017           11.795265       0.024144

2457841.804138           11.795600       0.024233

2457841.950260           11.796155       0.024302

2457842.096381           11.796929       0.024352

2457842.242503           11.797924       0.024381

2457842.388625           11.799138       0.024392

2457842.534746           11.800571       0.024383

2457842.680868           11.802224       0.024357

2457842.826989           11.804095       0.024313

2457842.973111           11.806186       0.024254

2457843.119232           11.808497       0.024179

2457843.265354           11.811026       0.024091

