This file contains the LC params of 2017hpa in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2458066.645225 +/- 0.675542
Magnitude at maximum in B band is: 15.398663 +/- 0.032119
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2458081.645225
Magnitude after 15-days from B band maximum is: 16.470351 +/- 0.032327
Estimated value of dm15 is: 1.071688 +/- 0.045570
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2458045.248000           18.244121       0.188945

2458045.298228           18.238388       0.187747

2458045.348456           18.232625       0.186552

2458045.398685           18.226833       0.185358

2458045.448913           18.221011       0.184165

2458045.499141           18.215159       0.182975

2458045.549369           18.209277       0.181786

2458045.599598           18.203366       0.180599

2458045.649826           18.197425       0.179413

2458045.700054           18.191454       0.178230

2458045.750282           18.185454       0.177048

2458045.800511           18.179424       0.175869

2458045.850739           18.173365       0.174691

2458045.900967           18.167276       0.173515

2458045.951195           18.161157       0.172341

2458046.001423           18.155009       0.171170

2458046.051652           18.148831       0.170000

2458046.101880           18.142624       0.168832

2458046.152108           18.136387       0.167667

2458046.202336           18.130121       0.166504

2458046.252565           18.123825       0.165342

2458046.302793           18.117500       0.164184

2458046.353021           18.111146       0.163027

2458046.403249           18.104762       0.161873

2458046.453477           18.098349       0.160721

2458046.503706           18.091906       0.159571

2458046.553934           18.085434       0.158424

2458046.604162           18.078933       0.157279

2458046.654390           18.072403       0.156136

2458046.704619           18.065844       0.154997

2458046.754847           18.059255       0.153859

2458046.805075           18.052638       0.152724

2458046.855303           18.045991       0.151592

2458046.905532           18.039315       0.150463

2458046.955760           18.032610       0.149336

2458047.005988           18.025877       0.148211

2458047.056216           18.019114       0.147090

2458047.106444           18.012323       0.145971

2458047.156673           18.005503       0.144855

2458047.206901           17.998654       0.143742

2458047.257129           17.991776       0.142632

2458047.307357           17.984870       0.141525

2458047.357586           17.977935       0.140420

2458047.407814           17.970972       0.139319

2458047.458042           17.963980       0.138221

2458047.508270           17.956960       0.137125

2458047.558498           17.949911       0.136033

2458047.608727           17.942834       0.134944

2458047.658955           17.935729       0.133858

2458047.709183           17.928595       0.132776

2458047.759411           17.921434       0.131696

2458047.809640           17.914244       0.130620

2458047.859868           17.907027       0.129547

2458047.910096           17.899781       0.128478

2458047.960324           17.892508       0.127412

2458048.010553           17.885207       0.126350

2458048.060781           17.877878       0.125291

2458048.111009           17.870522       0.124235

2458048.161237           17.863138       0.123183

2458048.211465           17.855727       0.122135

2458048.261694           17.848288       0.121090

2458048.311922           17.840822       0.120049

2458048.362150           17.833329       0.119012

2458048.412378           17.825808       0.117979

2458048.462607           17.818261       0.116949

2458048.512835           17.810686       0.115923

2458048.563063           17.803085       0.114902

2458048.613291           17.795457       0.113884

2458048.663520           17.787803       0.112870

2458048.713748           17.780121       0.111860

2458048.763976           17.772414       0.110854

2458048.814204           17.764680       0.109853

2458048.864432           17.756919       0.108855

2458048.914661           17.749133       0.107862

2458048.964889           17.741320       0.106873

2458049.015117           17.733482       0.105889

2458049.065345           17.725618       0.104908

2458049.115574           17.717727       0.103933

2458049.165802           17.709812       0.102961

2458049.216030           17.701871       0.101994

2458049.266258           17.693904       0.101032

2458049.316486           17.685912       0.100074

2458049.366715           17.677895       0.099121

2458049.416943           17.669853       0.098173

2458049.467171           17.661786       0.097229

2458049.517399           17.653695       0.096291

2458049.567628           17.645578       0.095357

2458049.617856           17.637438       0.094427

2458049.668084           17.629272       0.093503

2458049.718312           17.621083       0.092584

2458049.768541           17.612869       0.091670

2458049.818769           17.604632       0.090761

2458049.868997           17.596371       0.089857

2458049.919225           17.588086       0.088959

2458049.969453           17.579777       0.088065

2458050.019682           17.571445       0.087177

2458050.069910           17.563090       0.086295

2458050.120138           17.554712       0.085417

2458050.170366           17.546311       0.084546

2458050.220595           17.537887       0.083679

2458050.270823           17.529441       0.082819

2458050.321051           17.520972       0.081964

2458050.371279           17.512481       0.081114

2458050.421508           17.503968       0.080271

2458050.471736           17.495432       0.079433

2458050.521964           17.486875       0.078601

2458050.572192           17.478297       0.077775

2458050.622420           17.469697       0.076955

2458050.672649           17.461076       0.076142

2458050.722877           17.452434       0.075334

2458050.773105           17.443771       0.074532

2458050.823333           17.435087       0.073737

2458050.873562           17.426383       0.072948

2458050.923790           17.417658       0.072165

2458050.974018           17.408913       0.071389

2458051.024246           17.400149       0.070619

2458051.074474           17.391365       0.069855

2458051.124703           17.382561       0.069098

2458051.174931           17.373738       0.068348

2458051.225159           17.364896       0.067605

2458051.275387           17.356035       0.066868

2458051.325616           17.347155       0.066138

2458051.375844           17.338257       0.065415

2458051.426072           17.329340       0.064699

2458051.476300           17.320406       0.063990

2458051.526529           17.311454       0.063288

2458051.576757           17.302484       0.062594

2458051.626985           17.293497       0.061906

2458051.677213           17.284493       0.061226

2458051.727441           17.275472       0.060553

2458051.777670           17.266434       0.059887

2458051.827898           17.257380       0.059229

2458051.878126           17.248310       0.058579

2458051.928354           17.239224       0.057935

2458051.978583           17.230122       0.057300

2458052.028811           17.221005       0.056672

2458052.079039           17.211873       0.056052

2458052.129267           17.202726       0.055440

2458052.179495           17.193564       0.054836

2458052.229724           17.184388       0.054239

2458052.279952           17.175198       0.053651

2458052.330180           17.165994       0.053070

2458052.380408           17.156776       0.052498

2458052.430637           17.147545       0.051933

2458052.480865           17.138301       0.051377

2458052.531093           17.129045       0.050829

2458052.581321           17.119776       0.050290

2458052.631550           17.110495       0.049758

2458052.681778           17.101202       0.049235

2458052.732006           17.091898       0.048720

2458052.782234           17.082583       0.048214

2458052.832462           17.073256       0.047716

2458052.882691           17.063919       0.047227

2458052.932919           17.054572       0.046746

2458052.983147           17.045214       0.046274

2458053.033375           17.035847       0.045810

2458053.083604           17.026471       0.045355

2458053.133832           17.017086       0.044908

2458053.184060           17.007692       0.044471

2458053.234288           16.998289       0.044041

2458053.284517           16.988879       0.043620

2458053.334745           16.979461       0.043208

2458053.384973           16.970035       0.042805

2458053.435201           16.960603       0.042410

2458053.485429           16.951164       0.042024

2458053.535658           16.941718       0.041646

2458053.585886           16.932267       0.041277

2458053.636114           16.922810       0.040916

2458053.686342           16.913348       0.040564

2458053.736571           16.903881       0.040221

2458053.786799           16.894410       0.039886

2458053.837027           16.884934       0.039559

2458053.887255           16.875455       0.039241

2458053.937483           16.865972       0.038931

2458053.987712           16.856487       0.038629

2458054.037940           16.846999       0.038335

2458054.088168           16.837508       0.038049

2458054.138396           16.828016       0.037772

2458054.188625           16.818523       0.037502

2458054.238853           16.809028       0.037241

2458054.289081           16.799533       0.036987

2458054.339309           16.790038       0.036741

2458054.389538           16.780542       0.036502

