This file contains the LC params of 2018oh in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2458163.923432 +/- 0.405117
Magnitude at maximum in B band is: 14.328933 +/- 0.028627
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2458178.923432
Magnitude after 15-days from B band maximum is: 15.035911 +/- 0.062672
Estimated value of dm15 is: 0.706978 +/- 0.068901
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2458146.892500           15.097498       0.116427

2458146.921514           15.096248       0.116041

2458146.950527           15.094995       0.115656

2458146.979541           15.093739       0.115271

2458147.008554           15.092480       0.114886

2458147.037568           15.091218       0.114501

2458147.066581           15.089952       0.114116

2458147.095595           15.088684       0.113732

2458147.124608           15.087413       0.113347

2458147.153622           15.086138       0.112963

2458147.182635           15.084861       0.112579

2458147.211649           15.083580       0.112195

2458147.240662           15.082297       0.111812

2458147.269676           15.081010       0.111428

2458147.298689           15.079721       0.111045

2458147.327703           15.078428       0.110662

2458147.356716           15.077132       0.110279

2458147.385730           15.075834       0.109897

2458147.414743           15.074532       0.109514

2458147.443757           15.073227       0.109132

2458147.472770           15.071919       0.108750

2458147.501784           15.070609       0.108369

2458147.530797           15.069295       0.107987

2458147.559811           15.067978       0.107606

2458147.588824           15.066658       0.107225

2458147.617838           15.065336       0.106844

2458147.646851           15.064010       0.106463

2458147.675865           15.062681       0.106083

2458147.704878           15.061350       0.105703

2458147.733892           15.060015       0.105323

2458147.762905           15.058677       0.104943

2458147.791919           15.057337       0.104564

2458147.820932           15.055993       0.104185

2458147.849946           15.054647       0.103806

2458147.878959           15.053297       0.103427

2458147.907973           15.051945       0.103049

2458147.936986           15.050589       0.102670

2458147.966000           15.049231       0.102293

2458147.995014           15.047870       0.101915

2458148.024027           15.046506       0.101538

2458148.053041           15.045139       0.101160

2458148.082054           15.043769       0.100784

2458148.111068           15.042396       0.100407

2458148.140081           15.041020       0.100031

2458148.169095           15.039641       0.099655

2458148.198108           15.038260       0.099279

2458148.227122           15.036875       0.098904

2458148.256135           15.035488       0.098529

2458148.285149           15.034098       0.098154

2458148.314162           15.032705       0.097780

2458148.343176           15.031309       0.097405

2458148.372189           15.029910       0.097031

2458148.401203           15.028508       0.096658

2458148.430216           15.027104       0.096285

2458148.459230           15.025696       0.095912

2458148.488243           15.024286       0.095539

2458148.517257           15.022873       0.095167

2458148.546270           15.021457       0.094795

2458148.575284           15.020039       0.094423

2458148.604297           15.018617       0.094052

2458148.633311           15.017193       0.093681

2458148.662324           15.015766       0.093310

2458148.691338           15.014336       0.092940

2458148.720351           15.012903       0.092570

2458148.749365           15.011468       0.092200

2458148.778378           15.010030       0.091831

2458148.807392           15.008589       0.091462

2458148.836405           15.007145       0.091094

2458148.865419           15.005698       0.090725

2458148.894432           15.004249       0.090358

2458148.923446           15.002797       0.089990

2458148.952459           15.001343       0.089623

2458148.981473           14.999885       0.089256

2458149.010486           14.998425       0.088890

2458149.039500           14.996962       0.088524

2458149.068514           14.995497       0.088159

2458149.097527           14.994029       0.087793

2458149.126541           14.992558       0.087429

2458149.155554           14.991084       0.087064

2458149.184568           14.989608       0.086700

2458149.213581           14.988129       0.086337

2458149.242595           14.986647       0.085974

2458149.271608           14.985163       0.085611

2458149.300622           14.983676       0.085249

2458149.329635           14.982187       0.084887

2458149.358649           14.980695       0.084525

2458149.387662           14.979200       0.084164

2458149.416676           14.977703       0.083803

2458149.445689           14.976203       0.083443

2458149.474703           14.974701       0.083083

2458149.503716           14.973195       0.082724

2458149.532730           14.971688       0.082365

2458149.561743           14.970178       0.082007

2458149.590757           14.968665       0.081649

2458149.619770           14.967150       0.081291

2458149.648784           14.965632       0.080934

2458149.677797           14.964111       0.080578

2458149.706811           14.962589       0.080222

2458149.735824           14.961063       0.079866

2458149.764838           14.959535       0.079511

2458149.793851           14.958005       0.079156

2458149.822865           14.956472       0.078802

2458149.851878           14.954937       0.078448

2458149.880892           14.953399       0.078095

2458149.909905           14.951859       0.077742

2458149.938919           14.950316       0.077390

2458149.967932           14.948771       0.077038

2458149.996946           14.947224       0.076687

2458150.025959           14.945674       0.076336

2458150.054973           14.944121       0.075986

2458150.083986           14.942567       0.075636

2458150.113000           14.941009       0.075287

2458150.142014           14.939450       0.074938

2458150.171027           14.937888       0.074590

2458150.200041           14.936324       0.074243

2458150.229054           14.934758       0.073896

2458150.258068           14.933189       0.073549

2458150.287081           14.931618       0.073203

2458150.316095           14.930044       0.072858

2458150.345108           14.928468       0.072513

2458150.374122           14.926890       0.072169

2458150.403135           14.925310       0.071825

2458150.432149           14.923727       0.071482

2458150.461162           14.922143       0.071139

2458150.490176           14.920555       0.070797

2458150.519189           14.918966       0.070456

2458150.548203           14.917375       0.070115

2458150.577216           14.915781       0.069775

2458150.606230           14.914185       0.069436

2458150.635243           14.912587       0.069097

2458150.664257           14.910987       0.068758

2458150.693270           14.909384       0.068420

2458150.722284           14.907780       0.068083

2458150.751297           14.906173       0.067747

2458150.780311           14.904564       0.067411

2458150.809324           14.902953       0.067076

2458150.838338           14.901340       0.066741

2458150.867351           14.899725       0.066407

2458150.896365           14.898108       0.066074

2458150.925378           14.896489       0.065741

2458150.954392           14.894867       0.065409

2458150.983405           14.893244       0.065078

2458151.012419           14.891619       0.064747

2458151.041432           14.889991       0.064417

2458151.070446           14.888362       0.064087

2458151.099459           14.886731       0.063759

2458151.128473           14.885097       0.063431

2458151.157486           14.883462       0.063103

2458151.186500           14.881825       0.062777

2458151.215514           14.880186       0.062451

2458151.244527           14.878545       0.062126

2458151.273541           14.876902       0.061801

2458151.302554           14.875257       0.061478

2458151.331568           14.873611       0.061155

2458151.360581           14.871962       0.060832

2458151.389595           14.870312       0.060511

2458151.418608           14.868660       0.060190

2458151.447622           14.867006       0.059870

2458151.476635           14.865350       0.059551

2458151.505649           14.863692       0.059232

2458151.534662           14.862033       0.058914

2458151.563676           14.860372       0.058597

2458151.592689           14.858709       0.058281

2458151.621703           14.857045       0.057965

2458151.650716           14.855378       0.057651

2458151.679730           14.853710       0.057337

2458151.708743           14.852041       0.057024

2458151.737757           14.850370       0.056711

2458151.766770           14.848697       0.056400

2458151.795784           14.847022       0.056089

2458151.824797           14.845346       0.055779

2458151.853811           14.843668       0.055470

2458151.882824           14.841989       0.055162

2458151.911838           14.840308       0.054855

2458151.940851           14.838625       0.054549

2458151.969865           14.836942       0.054243

2458151.998878           14.835256       0.053938

2458152.027892           14.833569       0.053634

2458152.056905           14.831881       0.053331

2458152.085919           14.830191       0.053029

2458152.114932           14.828499       0.052728

2458152.143946           14.826806       0.052427

2458152.172959           14.825112       0.052128

2458152.201973           14.823417       0.051829

2458152.230986           14.821720       0.051532

2458152.260000           14.820021       0.051235

2458152.289014           14.818322       0.050939

2458152.318027           14.816621       0.050645

2458152.347041           14.814918       0.050351

2458152.376054           14.813215       0.050058

2458152.405068           14.811510       0.049766

2458152.434081           14.809804       0.049475

2458152.463095           14.808096       0.049185

2458152.492108           14.806388       0.048896

2458152.521122           14.804678       0.048607

2458152.550135           14.802967       0.048320

2458152.579149           14.801255       0.048034

2458152.608162           14.799541       0.047749

2458152.637176           14.797827       0.047465

2458152.666189           14.796112       0.047182

2458152.695203           14.794395       0.046900

2458152.724216           14.792677       0.046619

2458152.753230           14.790959       0.046339

2458152.782243           14.789239       0.046060

2458152.811257           14.787518       0.045783

2458152.840270           14.785797       0.045506

2458152.869284           14.784074       0.045230

2458152.898297           14.782351       0.044956

2458152.927311           14.780626       0.044682

2458152.956324           14.778901       0.044410

2458152.985338           14.777174       0.044139

2458153.014351           14.775447       0.043869

2458153.043365           14.773719       0.043600

2458153.072378           14.771990       0.043332

2458153.101392           14.770261       0.043066

2458153.130405           14.768530       0.042800

2458153.159419           14.766799       0.042536

2458153.188432           14.765068       0.042273

2458153.217446           14.763335       0.042011

2458153.246459           14.761602       0.041750

2458153.275473           14.759868       0.041491

2458153.304486           14.758133       0.041232

2458153.333500           14.756398       0.040975

2458153.362514           14.754662       0.040719

2458153.391527           14.752926       0.040465

2458153.420541           14.751189       0.040212

2458153.449554           14.749452       0.039960

2458153.478568           14.747714       0.039709

2458153.507581           14.745975       0.039459

2458153.536595           14.744236       0.039211

2458153.565608           14.742497       0.038964

2458153.594622           14.740757       0.038719

2458153.623635           14.739017       0.038475

2458153.652649           14.737277       0.038232

2458153.681662           14.735536       0.037990

2458153.710676           14.733794       0.037750

2458153.739689           14.732053       0.037511

2458153.768703           14.730311       0.037274

2458153.797716           14.728569       0.037038

2458153.826730           14.726827       0.036803

2458153.855743           14.725085       0.036570

2458153.884757           14.723342       0.036338

2458153.913770           14.721599       0.036108

2458153.942784           14.719857       0.035879

2458153.971797           14.718114       0.035652

2458154.000811           14.716371       0.035426

2458154.029824           14.714628       0.035202

2458154.058838           14.712884       0.034979

2458154.087851           14.711141       0.034757

2458154.116865           14.709398       0.034537

2458154.145878           14.707655       0.034319

2458154.174892           14.705912       0.034102

2458154.203905           14.704170       0.033887

2458154.232919           14.702427       0.033673

2458154.261932           14.700685       0.033461

2458154.290946           14.698942       0.033251

2458154.319959           14.697200       0.033042

2458154.348973           14.695458       0.032835

2458154.377986           14.693717       0.032629

2458154.407000           14.691976       0.032425

2458154.436014           14.690235       0.032223

2458154.465027           14.688494       0.032022

2458154.494041           14.686754       0.031823

2458154.523054           14.685014       0.031626

2458154.552068           14.683275       0.031430

2458154.581081           14.681536       0.031236

2458154.610095           14.679798       0.031044

2458154.639108           14.678060       0.030854

2458154.668122           14.676323       0.030665

2458154.697135           14.674586       0.030478

2458154.726149           14.672850       0.030293

2458154.755162           14.671115       0.030110

2458154.784176           14.669380       0.029929

2458154.813189           14.667646       0.029749

2458154.842203           14.665913       0.029571

2458154.871216           14.664181       0.029395

2458154.900230           14.662449       0.029221

2458154.929243           14.660718       0.029049

2458154.958257           14.658988       0.028879

2458154.987270           14.657259       0.028710

2458155.016284           14.655531       0.028544

2458155.045297           14.653804       0.028379

2458155.074311           14.652077       0.028216

2458155.103324           14.650352       0.028055

2458155.132338           14.648628       0.027897

2458155.161351           14.646905       0.027740

2458155.190365           14.645183       0.027585

2458155.219378           14.643462       0.027432

2458155.248392           14.641742       0.027281

2458155.277405           14.640024       0.027132

2458155.306419           14.638307       0.026985

2458155.335432           14.636591       0.026840

2458155.364446           14.634876       0.026697

2458155.393459           14.633163       0.026557

2458155.422473           14.631451       0.026418

2458155.451486           14.629741       0.026281

2458155.480500           14.628032       0.026147

2458155.509514           14.626324       0.026014

2458155.538527           14.624618       0.025883

2458155.567541           14.622913       0.025755

2458155.596554           14.621211       0.025629

2458155.625568           14.619509       0.025505

2458155.654581           14.617810       0.025383

2458155.683595           14.616112       0.025263

2458155.712608           14.614415       0.025145

2458155.741622           14.612721       0.025029

2458155.770635           14.611028       0.024916

2458155.799649           14.609337       0.024804

2458155.828662           14.607648       0.024695

2458155.857676           14.605961       0.024588

2458155.886689           14.604275       0.024483

2458155.915703           14.602592       0.024380

2458155.944716           14.600911       0.024280

2458155.973730           14.599232       0.024181

2458156.002743           14.597554       0.024085

2458156.031757           14.595879       0.023991

2458156.060770           14.594206       0.023899

2458156.089784           14.592535       0.023809

2458156.118797           14.590867       0.023721

2458156.147811           14.589200       0.023636

2458156.176824           14.587536       0.023552

2458156.205838           14.585875       0.023471

2458156.234851           14.584215       0.023392

2458156.263865           14.582558       0.023315

2458156.292878           14.580903       0.023240

2458156.321892           14.579251       0.023168

2458156.350905           14.577602       0.023097

2458156.379919           14.575955       0.023029

2458156.408932           14.574310       0.022963

2458156.437946           14.572668       0.022899

2458156.466959           14.571029       0.022837

2458156.495973           14.569392       0.022777

2458156.524986           14.567758       0.022719

2458156.554000           14.566127       0.022663

2458156.583014           14.564499       0.022609

2458156.612027           14.562873       0.022558

2458156.641041           14.561250       0.022508

2458156.670054           14.559630       0.022461

2458156.699068           14.558014       0.022415

2458156.728081           14.556400       0.022372

2458156.757095           14.554789       0.022330

2458156.786108           14.553181       0.022291

2458156.815122           14.551576       0.022253

2458156.844135           14.549974       0.022217

2458156.873149           14.548376       0.022184

2458156.902162           14.546781       0.022152

2458156.931176           14.545189       0.022122

2458156.960189           14.543600       0.022094

2458156.989203           14.542014       0.022068

2458157.018216           14.540432       0.022044

2458157.047230           14.538853       0.022021

2458157.076243           14.537278       0.022001

2458157.105257           14.535706       0.021982

2458157.134270           14.534137       0.021965

2458157.163284           14.532573       0.021949

2458157.192297           14.531011       0.021936

2458157.221311           14.529453       0.021924

2458157.250324           14.527899       0.021914

2458157.279338           14.526349       0.021905

2458157.308351           14.524802       0.021898

2458157.337365           14.523259       0.021893

2458157.366378           14.521720       0.021889

2458157.395392           14.520184       0.021887

2458157.424405           14.518653       0.021886

2458157.453419           14.517125       0.021887

2458157.482432           14.515601       0.021890

2458157.511446           14.514081       0.021894

2458157.540459           14.512566       0.021899

2458157.569473           14.511054       0.021906

2458157.598486           14.509546       0.021914

2458157.627500           14.508042       0.021924

2458157.656514           14.506543       0.021935

2458157.685527           14.505048       0.021947

2458157.714541           14.503557       0.021961

2458157.743554           14.502070       0.021976

2458157.772568           14.500587       0.021992

2458157.801581           14.499109       0.022009

2458157.830595           14.497635       0.022028

2458157.859608           14.496166       0.022047

2458157.888622           14.494701       0.022068

2458157.917635           14.493240       0.022090

2458157.946649           14.491784       0.022114

2458157.975662           14.490332       0.022138

2458158.004676           14.488885       0.022163

2458158.033689           14.487443       0.022189

2458158.062703           14.486005       0.022217

2458158.091716           14.484572       0.022245

2458158.120730           14.483144       0.022275

2458158.149743           14.481720       0.022305

2458158.178757           14.480302       0.022336

2458158.207770           14.478888       0.022368

2458158.236784           14.477478       0.022401

2458158.265797           14.476074       0.022435

2458158.294811           14.474675       0.022469

2458158.323824           14.473280       0.022505

2458158.352838           14.471891       0.022541

2458158.381851           14.470507       0.022578

2458158.410865           14.469127       0.022616

2458158.439878           14.467753       0.022654

2458158.468892           14.466384       0.022693

2458158.497905           14.465020       0.022733

2458158.526919           14.463661       0.022773

2458158.555932           14.462307       0.022814

2458158.584946           14.460959       0.022856

2458158.613959           14.459616       0.022898

2458158.642973           14.458278       0.022941

2458158.671986           14.456946       0.022984

2458158.701000           14.455619       0.023028

2458158.730014           14.454298       0.023072

2458158.759027           14.452982       0.023117

2458158.788041           14.451671       0.023162

2458158.817054           14.450366       0.023208

2458158.846068           14.449066       0.023254

2458158.875081           14.447772       0.023300

2458158.904095           14.446484       0.023347

2458158.933108           14.445201       0.023395

2458158.962122           14.443924       0.023442

2458158.991135           14.442653       0.023490

2458159.020149           14.441387       0.023538

2458159.049162           14.440128       0.023587

2458159.078176           14.438874       0.023636

2458159.107189           14.437626       0.023685

2458159.136203           14.436383       0.023734

2458159.165216           14.435147       0.023784

2458159.194230           14.433916       0.023834

2458159.223243           14.432692       0.023884

2458159.252257           14.431473       0.023934

2458159.281270           14.430261       0.023984

2458159.310284           14.429054       0.024035

2458159.339297           14.427854       0.024085

2458159.368311           14.426660       0.024136

2458159.397324           14.425471       0.024187

2458159.426338           14.424289       0.024238

2458159.455351           14.423114       0.024289

2458159.484365           14.421944       0.024340

2458159.513378           14.420781       0.024392

2458159.542392           14.419624       0.024443

2458159.571405           14.418473       0.024494

2458159.600419           14.417328       0.024546

2458159.629432           14.416190       0.024597

2458159.658446           14.415059       0.024648

2458159.687459           14.413933       0.024700

2458159.716473           14.412815       0.024751

2458159.745486           14.411702       0.024802

2458159.774500           14.410596       0.024853

2458159.803514           14.409497       0.024904

2458159.832527           14.408404       0.024955

2458159.861541           14.407318       0.025006

2458159.890554           14.406238       0.025057

2458159.919568           14.405165       0.025108

2458159.948581           14.404099       0.025159

2458159.977595           14.403039       0.025209

2458160.006608           14.401986       0.025260

2458160.035622           14.400940       0.025310

2458160.064635           14.399901       0.025360

2458160.093649           14.398868       0.025410

2458160.122662           14.397842       0.025460

2458160.151676           14.396823       0.025509

2458160.180689           14.395811       0.025559

2458160.209703           14.394805       0.025608

2458160.238716           14.393807       0.025657

2458160.267730           14.392815       0.025706

2458160.296743           14.391830       0.025754

2458160.325757           14.390853       0.025803

2458160.354770           14.389882       0.025851

2458160.383784           14.388918       0.025899

2458160.412797           14.387962       0.025946

2458160.441811           14.387012       0.025994

2458160.470824           14.386070       0.026041

2458160.499838           14.385134       0.026087

2458160.528851           14.384206       0.026134

2458160.557865           14.383285       0.026180

2458160.586878           14.382371       0.026226

2458160.615892           14.381464       0.026272

2458160.644905           14.380564       0.026317

2458160.673919           14.379672       0.026362

2458160.702932           14.378787       0.026407

2458160.731946           14.377909       0.026451

2458160.760959           14.377038       0.026495

2458160.789973           14.376175       0.026539

2458160.818986           14.375319       0.026582

2458160.848000           14.374470       0.026625

2458160.877014           14.373628       0.026668

2458160.906027           14.372794       0.026710

2458160.935041           14.371968       0.026752

2458160.964054           14.371149       0.026794

2458160.993068           14.370337       0.026835

2458161.022081           14.369533       0.026876

2458161.051095           14.368736       0.026916

2458161.080108           14.367946       0.026956

2458161.109122           14.367165       0.026996

2458161.138135           14.366390       0.027035

2458161.167149           14.365623       0.027074

2458161.196162           14.364864       0.027112

2458161.225176           14.364112       0.027150

2458161.254189           14.363368       0.027188

2458161.283203           14.362632       0.027225

2458161.312216           14.361903       0.027262

2458161.341230           14.361182       0.027298

2458161.370243           14.360468       0.027334

2458161.399257           14.359762       0.027370

2458161.428270           14.359064       0.027405

