This file contains the LC params of PTF10icb in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2455359.713726 +/- 0.817212
Magnitude at maximum in B band is: 14.524256 +/- 0.032463
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2455374.713726
Magnitude after 15-days from B band maximum is: 15.305544 +/- 0.027074
Estimated value of dm15 is: 0.781288 +/- 0.042271
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2455350.978100           14.620651       0.160209

2455351.007813           14.620170       0.159627

2455351.037526           14.619690       0.159046

2455351.067239           14.619209       0.158465

2455351.096952           14.618729       0.157884

2455351.126665           14.618249       0.157304

2455351.156378           14.617769       0.156724

2455351.186091           14.617290       0.156145

2455351.215804           14.616810       0.155566

2455351.245517           14.616331       0.154988

2455351.275230           14.615852       0.154410

2455351.304943           14.615374       0.153833

2455351.334656           14.614896       0.153256

2455351.364369           14.614418       0.152680

2455351.394082           14.613940       0.152104

2455351.423795           14.613463       0.151529

2455351.453508           14.612986       0.150954

2455351.483221           14.612509       0.150379

2455351.512934           14.612032       0.149806

2455351.542647           14.611556       0.149233

2455351.572360           14.611080       0.148660

2455351.602073           14.610605       0.148088

2455351.631786           14.610129       0.147516

2455351.661499           14.609654       0.146945

2455351.691212           14.609180       0.146375

2455351.720925           14.608706       0.145805

2455351.750638           14.608232       0.145235

2455351.780351           14.607758       0.144666

2455351.810064           14.607285       0.144098

2455351.839777           14.606812       0.143530

2455351.869490           14.606340       0.142963

2455351.899203           14.605868       0.142397

2455351.928916           14.605396       0.141831

2455351.958629           14.604925       0.141266

2455351.988342           14.604454       0.140701

2455352.018055           14.603984       0.140137

2455352.047768           14.603514       0.139573

2455352.077481           14.603045       0.139011

2455352.107194           14.602576       0.138448

2455352.136908           14.602107       0.137887

2455352.166621           14.601639       0.137326

2455352.196334           14.601171       0.136765

2455352.226047           14.600704       0.136206

2455352.255760           14.600237       0.135647

2455352.285473           14.599771       0.135088

2455352.315186           14.599305       0.134531

2455352.344899           14.598839       0.133974

2455352.374612           14.598375       0.133417

2455352.404325           14.597910       0.132861

2455352.434038           14.597447       0.132306

2455352.463751           14.596983       0.131752

2455352.493464           14.596520       0.131198

2455352.523177           14.596058       0.130646

2455352.552890           14.595597       0.130093

2455352.582603           14.595135       0.129542

2455352.612316           14.594675       0.128991

2455352.642029           14.594215       0.128441

2455352.671742           14.593755       0.127891

2455352.701455           14.593297       0.127343

2455352.731168           14.592838       0.126795

2455352.760881           14.592381       0.126248

2455352.790594           14.591924       0.125701

2455352.820307           14.591467       0.125156

2455352.850020           14.591011       0.124611

2455352.879733           14.590556       0.124066

2455352.909446           14.590102       0.123523

2455352.939159           14.589648       0.122980

2455352.968872           14.589195       0.122439

2455352.998585           14.588742       0.121898

2455353.028298           14.588290       0.121357

2455353.058011           14.587839       0.120818

2455353.087724           14.587388       0.120279

2455353.117437           14.586938       0.119741

2455353.147150           14.586489       0.119204

2455353.176863           14.586041       0.118668

2455353.206576           14.585593       0.118133

2455353.236289           14.585146       0.117598

2455353.266002           14.584700       0.117064

2455353.295715           14.584254       0.116531

2455353.325428           14.583809       0.115999

2455353.355141           14.583365       0.115468

