This file contains the LC params of SN2005cf in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2453534.739008 +/- 0.597930
Magnitude at maximum in B band is: 13.562768 +/- 0.050192
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2453549.739008
Magnitude after 15-days from B band maximum is: 14.799478 +/- 0.032598
Estimated value of dm15 is: 1.236711 +/- 0.059849
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2453517.551000           15.162041       0.202239

2453517.608678           15.156555       0.200578

2453517.666356           15.151044       0.198920

2453517.724034           15.145510       0.197264

2453517.781712           15.139951       0.195612

2453517.839389           15.134369       0.193963

2453517.897067           15.128763       0.192317

2453517.954745           15.123133       0.190674

2453518.012423           15.117480       0.189035

2453518.070101           15.111803       0.187399

2453518.127779           15.106103       0.185767

2453518.185457           15.100380       0.184138

2453518.243135           15.094633       0.182512

2453518.300812           15.088863       0.180890

2453518.358490           15.083069       0.179272

2453518.416168           15.077253       0.177658

2453518.473846           15.071414       0.176047

2453518.531524           15.065552       0.174440

2453518.589202           15.059667       0.172838

2453518.646880           15.053760       0.171239

2453518.704558           15.047830       0.169644

2453518.762235           15.041877       0.168053

2453518.819913           15.035903       0.166466

2453518.877591           15.029905       0.164884

2453518.935269           15.023886       0.163305

2453518.992947           15.017845       0.161731

2453519.050625           15.011782       0.160162

2453519.108303           15.005697       0.158597

2453519.165981           14.999590       0.157036

2453519.223658           14.993461       0.155480

2453519.281336           14.987311       0.153928

2453519.339014           14.981140       0.152382

2453519.396692           14.974948       0.150840

2453519.454370           14.968734       0.149302

2453519.512048           14.962500       0.147770

2453519.569726           14.956244       0.146243

2453519.627404           14.949968       0.144720

2453519.685081           14.943671       0.143203

2453519.742759           14.937354       0.141691

2453519.800437           14.931016       0.140184

2453519.858115           14.924659       0.138682

2453519.915793           14.918281       0.137185

2453519.973471           14.911883       0.135694

2453520.031149           14.905466       0.134209

2453520.088827           14.899029       0.132729

2453520.146505           14.892573       0.131255

2453520.204182           14.886097       0.129786

2453520.261860           14.879602       0.128323

2453520.319538           14.873088       0.126866

2453520.377216           14.866556       0.125414

2453520.434894           14.860005       0.123969

2453520.492572           14.853435       0.122530

2453520.550250           14.846847       0.121096

2453520.607928           14.840241       0.119669

2453520.665605           14.833617       0.118248

2453520.723283           14.826976       0.116834

2453520.780961           14.820316       0.115426

2453520.838639           14.813640       0.114024

2453520.896317           14.806946       0.112629

2453520.953995           14.800235       0.111240

2453521.011673           14.793508       0.109858

2453521.069351           14.786763       0.108483

2453521.127028           14.780003       0.107115

2453521.184706           14.773226       0.105753

2453521.242384           14.766433       0.104399

2453521.300062           14.759625       0.103051

2453521.357740           14.752800       0.101711

2453521.415418           14.745961       0.100378

2453521.473096           14.739106       0.099052

2453521.530774           14.732237       0.097734

2453521.588451           14.725353       0.096423

2453521.646129           14.718454       0.095120

2453521.703807           14.711541       0.093824

2453521.761485           14.704614       0.092536

2453521.819163           14.697673       0.091256

2453521.876841           14.690719       0.089984

2453521.934519           14.683752       0.088720

2453521.992197           14.676771       0.087463

2453522.049874           14.669778       0.086215

2453522.107552           14.662773       0.084975

2453522.165230           14.655755       0.083744

2453522.222908           14.648725       0.082521

2453522.280586           14.641683       0.081306

2453522.338264           14.634630       0.080100

2453522.395942           14.627565       0.078903

2453522.453620           14.620490       0.077714

2453522.511297           14.613404       0.076535

2453522.568975           14.606308       0.075364

2453522.626653           14.599202       0.074203

2453522.684331           14.592086       0.073050

2453522.742009           14.584960       0.071907

2453522.799687           14.577826       0.070774

2453522.857365           14.570682       0.069650

2453522.915043           14.563530       0.068535

2453522.972721           14.556370       0.067430

2453523.030398           14.549202       0.066335

2453523.088076           14.542026       0.065250

2453523.145754           14.534842       0.064175

2453523.203432           14.527652       0.063111

2453523.261110           14.520456       0.062056

2453523.318788           14.513252       0.061012

2453523.376466           14.506043       0.059978

2453523.434144           14.498829       0.058955

2453523.491821           14.491609       0.057943

2453523.549499           14.484384       0.056942

2453523.607177           14.477154       0.055952

2453523.664855           14.469921       0.054973

2453523.722533           14.462683       0.054005

2453523.780211           14.455442       0.053049

2453523.837889           14.448198       0.052104

2453523.895567           14.440951       0.051171

2453523.953244           14.433702       0.050250

2453524.010922           14.426451       0.049341

2453524.068600           14.419198       0.048444

2453524.126278           14.411944       0.047559

2453524.183956           14.404689       0.046687

2453524.241634           14.397434       0.045827

2453524.299312           14.390179       0.044980

2453524.356990           14.382924       0.044146

2453524.414667           14.375670       0.043325

2453524.472345           14.368418       0.042517

2453524.530023           14.361167       0.041723

2453524.587701           14.353919       0.040943

