This file contains the LC params of SN2008Q in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2454506.723590 +/- 0.328850
Magnitude at maximum in B band is: 13.780806 +/- 0.022978
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2454521.723590
Magnitude after 15-days from B band maximum is: 15.247205 +/- 0.043010
Estimated value of dm15 is: 1.466399 +/- 0.048763
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2454488.628700           16.194804       0.166058

2454488.661600           16.190634       0.165391

2454488.694500           16.186451       0.164725

2454488.727399           16.182256       0.164060

2454488.760299           16.178048       0.163395

2454488.793199           16.173828       0.162731

2454488.826099           16.169595       0.162068

2454488.858999           16.165350       0.161405

2454488.891898           16.161093       0.160743

2454488.924798           16.156823       0.160081

2454488.957698           16.152541       0.159420

2454488.990598           16.148246       0.158760

2454489.023498           16.143939       0.158100

2454489.056397           16.139620       0.157441

2454489.089297           16.135288       0.156783

2454489.122197           16.130944       0.156125

2454489.155097           16.126588       0.155468

2454489.187997           16.122219       0.154812

2454489.220896           16.117838       0.154156

2454489.253796           16.113445       0.153501

2454489.286696           16.109040       0.152847

2454489.319596           16.104622       0.152193

2454489.352496           16.100192       0.151540

2454489.385395           16.095750       0.150888

2454489.418295           16.091296       0.150237

2454489.451195           16.086829       0.149586

2454489.484095           16.082351       0.148936

2454489.516995           16.077860       0.148287

2454489.549894           16.073358       0.147639

2454489.582794           16.068843       0.146991

2454489.615694           16.064316       0.146344

2454489.648594           16.059777       0.145698

2454489.681494           16.055226       0.145053

2454489.714393           16.050663       0.144408

2454489.747293           16.046088       0.143764

2454489.780193           16.041501       0.143121

2454489.813093           16.036902       0.142479

2454489.845993           16.032291       0.141838

2454489.878892           16.027668       0.141198

2454489.911792           16.023034       0.140558

2454489.944692           16.018387       0.139919

2454489.977592           16.013729       0.139281

2454490.010492           16.009059       0.138644

2454490.043391           16.004377       0.138008

2454490.076291           15.999684       0.137373

2454490.109191           15.994978       0.136738

2454490.142091           15.990261       0.136105

2454490.174991           15.985532       0.135472

2454490.207890           15.980792       0.134840

2454490.240790           15.976040       0.134209

2454490.273690           15.971276       0.133579

2454490.306590           15.966501       0.132950

2454490.339490           15.961714       0.132322

2454490.372389           15.956916       0.131695

2454490.405289           15.952106       0.131069

2454490.438189           15.947284       0.130444

2454490.471089           15.942452       0.129819

2454490.503989           15.937607       0.129196

2454490.536888           15.932752       0.128574

2454490.569788           15.927885       0.127952

2454490.602688           15.923006       0.127332

2454490.635588           15.918117       0.126713

2454490.668488           15.913216       0.126094

2454490.701387           15.908303       0.125477

2454490.734287           15.903380       0.124861

2454490.767187           15.898445       0.124245

2454490.800087           15.893500       0.123631

2454490.832987           15.888543       0.123018

2454490.865886           15.883575       0.122406

2454490.898786           15.878596       0.121795

2454490.931686           15.873606       0.121185

2454490.964586           15.868604       0.120576

2454490.997486           15.863592       0.119968

2454491.030385           15.858569       0.119361

2454491.063285           15.853535       0.118756

2454491.096185           15.848491       0.118151

2454491.129085           15.843435       0.117548

2454491.161985           15.838369       0.116946

2454491.194884           15.833292       0.116345

2454491.227784           15.828204       0.115745

2454491.260684           15.823105       0.115146

2454491.293584           15.817996       0.114548

2454491.326484           15.812876       0.113952

2454491.359383           15.807746       0.113356

2454491.392283           15.802605       0.112762

2454491.425183           15.797454       0.112169

2454491.458083           15.792292       0.111578

2454491.490983           15.787119       0.110987

2454491.523882           15.781937       0.110398

2454491.556782           15.776744       0.109810

2454491.589682           15.771540       0.109223

2454491.622582           15.766327       0.108638

2454491.655482           15.761103       0.108053

2454491.688381           15.755869       0.107470

2454491.721281           15.750625       0.106888

2454491.754181           15.745371       0.106308

2454491.787081           15.740107       0.105729

2454491.819981           15.734832       0.105151

2454491.852880           15.729548       0.104574

2454491.885780           15.724254       0.103999

2454491.918680           15.718950       0.103425

2454491.951580           15.713636       0.102852

2454491.984480           15.708312       0.102281

2454492.017379           15.702979       0.101711

2454492.050279           15.697636       0.101143

2454492.083179           15.692283       0.100575

2454492.116079           15.686921       0.100010

2454492.148979           15.681549       0.099445

2454492.181878           15.676168       0.098882

2454492.214778           15.670777       0.098320

2454492.247678           15.665376       0.097760

2454492.280578           15.659967       0.097201

2454492.313478           15.654548       0.096644

2454492.346377           15.649120       0.096088

2454492.379277           15.643682       0.095533

2454492.412177           15.638236       0.094980

2454492.445077           15.632780       0.094429

2454492.477977           15.627315       0.093879

2454492.510876           15.621842       0.093330

2454492.543776           15.616359       0.092783

2454492.576676           15.610867       0.092237

2454492.609576           15.605367       0.091693

2454492.642476           15.599858       0.091151

