This file contains the LC params of SN2008hv in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2454817.229644 +/- 0.230642
Magnitude at maximum in B band is: 14.788433 +/- 0.023686
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2454832.229644
Magnitude after 15-days from B band maximum is: 16.106780 +/- 0.044031
Estimated value of dm15 is: 1.318347 +/- 0.049998
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2454797.186900           18.861245       0.262807

2454797.252614           18.848523       0.260794

2454797.318328           18.835720       0.258784

2454797.384042           18.822835       0.256777

2454797.449756           18.809870       0.254774

2454797.515470           18.796823       0.252773

2454797.581183           18.783695       0.250776

2454797.646897           18.770487       0.248783

2454797.712611           18.757198       0.246793

2454797.778325           18.743828       0.244807

2454797.844039           18.730378       0.242824

2454797.909753           18.716848       0.240845

2454797.975467           18.703238       0.238870

2454798.041181           18.689549       0.236899

2454798.106895           18.675779       0.234932

2454798.172609           18.661930       0.232969

2454798.238323           18.648003       0.231010

2454798.304037           18.633996       0.229055

2454798.369750           18.619910       0.227105

2454798.435464           18.605746       0.225159

2454798.501178           18.591503       0.223218

2454798.566892           18.577183       0.221281

2454798.632606           18.562784       0.219349

2454798.698320           18.548308       0.217422

2454798.764034           18.533755       0.215499

2454798.829748           18.519124       0.213581

2454798.895462           18.504417       0.211669

2454798.961176           18.489633       0.209761

2454799.026890           18.474774       0.207859

2454799.092604           18.459838       0.205962

2454799.158317           18.444827       0.204070

2454799.224031           18.429740       0.202183

2454799.289745           18.414579       0.200302

2454799.355459           18.399342       0.198427

2454799.421173           18.384032       0.196557

2454799.486887           18.368648       0.194693

2454799.552601           18.353190       0.192835

2454799.618315           18.337659       0.190983

2454799.684029           18.322055       0.189137

2454799.749743           18.306379       0.187297

2454799.815457           18.290631       0.185464

2454799.881170           18.274811       0.183636

2454799.946884           18.258920       0.181815

2454800.012598           18.242958       0.180001

2454800.078312           18.226926       0.178193

2454800.144026           18.210824       0.176392

2454800.209740           18.194653       0.174597

2454800.275454           18.178412       0.172810

2454800.341168           18.162103       0.171029

2454800.406882           18.145726       0.169255

2454800.472596           18.129282       0.167489

2454800.538310           18.112770       0.165729

2454800.604024           18.096192       0.163977

2454800.669737           18.079548       0.162233

2454800.735451           18.062839       0.160496

2454800.801165           18.046064       0.158767

2454800.866879           18.029226       0.157045

2454800.932593           18.012323       0.155331

2454800.998307           17.995358       0.153625

2454801.064021           17.978329       0.151927

2454801.129735           17.961239       0.150237

2454801.195449           17.944087       0.148556

2454801.261163           17.926875       0.146882

2454801.326877           17.909602       0.145217

2454801.392590           17.892270       0.143561

2454801.458304           17.874879       0.141913

2454801.524018           17.857430       0.140274

2454801.589732           17.839923       0.138643

2454801.655446           17.822360       0.137022

2454801.721160           17.804740       0.135409

2454801.786874           17.787065       0.133806

2454801.852588           17.769336       0.132212

2454801.918302           17.751553       0.130627

2454801.984016           17.733716       0.129051

2454802.049730           17.715827       0.127485

2454802.115444           17.697887       0.125928

2454802.181157           17.679896       0.124382

2454802.246871           17.661855       0.122845

2454802.312585           17.643764       0.121318

2454802.378299           17.625626       0.119800

2454802.444013           17.607440       0.118294

2454802.509727           17.589207       0.116797

2454802.575441           17.570929       0.115310

2454802.641155           17.552606       0.113834

2454802.706869           17.534239       0.112369

2454802.772583           17.515828       0.110914

2454802.838297           17.497376       0.109470

2454802.904011           17.478883       0.108036

2454802.969724           17.460350       0.106614

2454803.035438           17.441778       0.105202

2454803.101152           17.423167       0.103802

2454803.166866           17.404519       0.102413

2454803.232580           17.385835       0.101035

2454803.298294           17.367117       0.099669

2454803.364008           17.348364       0.098314

2454803.429722           17.329578       0.096971

2454803.495436           17.310760       0.095640

2454803.561150           17.291912       0.094321

2454803.626864           17.273034       0.093013

2454803.692577           17.254127       0.091718

2454803.758291           17.235193       0.090434

2454803.824005           17.216233       0.089163

2454803.889719           17.197249       0.087904

2454803.955433           17.178240       0.086658

2454804.021147           17.159209       0.085424

2454804.086861           17.140156       0.084203

2454804.152575           17.121084       0.082995

2454804.218289           17.101993       0.081799

2454804.284003           17.082884       0.080617

2454804.349717           17.063759       0.079447

2454804.415431           17.044620       0.078290

2454804.481144           17.025467       0.077147

2454804.546858           17.006302       0.076017

2454804.612572           16.987126       0.074900

2454804.678286           16.967941       0.073797

2454804.744000           16.948748       0.072707

2454804.809714           16.929549       0.071631

2454804.875428           16.910345       0.070569

2454804.941142           16.891137       0.069520

2454805.006856           16.871927       0.068486

2454805.072570           16.852717       0.067465

2454805.138284           16.833508       0.066458

2454805.203997           16.814302       0.065465

2454805.269711           16.795100       0.064487

2454805.335425           16.775904       0.063522

2454805.401139           16.756716       0.062572

2454805.466853           16.737537       0.061636

2454805.532567           16.718368       0.060715

2454805.598281           16.699212       0.059807

2454805.663995           16.680070       0.058915

2454805.729709           16.660944       0.058037

2454805.795423           16.641836       0.057173

2454805.861137           16.622747       0.056324

2454805.926851           16.603680       0.055489

2454805.992564           16.584635       0.054669

2454806.058278           16.565615       0.053864

2454806.123992           16.546622       0.053073

2454806.189706           16.527656       0.052297

2454806.255420           16.508721       0.051536

2454806.321134           16.489818       0.050789

2454806.386848           16.470949       0.050057

2454806.452562           16.452115       0.049340

2454806.518276           16.433319       0.048637

2454806.583990           16.414562       0.047949

2454806.649704           16.395846       0.047276

2454806.715418           16.377173       0.046617

2454806.781131           16.358545       0.045972

2454806.846845           16.339963       0.045343

2454806.912559           16.321430       0.044727

2454806.978273           16.302948       0.044126

2454807.043987           16.284517       0.043539

2454807.109701           16.266141       0.042967

2454807.175415           16.247821       0.042408

2454807.241129           16.229559       0.041864

2454807.306843           16.211356       0.041334

2454807.372557           16.193215       0.040817

2454807.438271           16.175137       0.040315

2454807.503984           16.157124       0.039825

2454807.569698           16.139178       0.039350

2454807.635412           16.121301       0.038887

2454807.701126           16.103495       0.038438

2454807.766840           16.085761       0.038002

2454807.832554           16.068102       0.037579

2454807.898268           16.050518       0.037168

2454807.963982           16.033012       0.036770

2454808.029696           16.015585       0.036385

2454808.095410           15.998240       0.036011

2454808.161124           15.980978       0.035649

2454808.226838           15.963800       0.035299

2454808.292551           15.946709       0.034960

2454808.358265           15.929705       0.034633

2454808.423979           15.912791       0.034316

2454808.489693           15.895969       0.034010

2454808.555407           15.879240       0.033714

2454808.621121           15.862605       0.033429

2454808.686835           15.846066       0.033153

2454808.752549           15.829625       0.032888

2454808.818263           15.813283       0.032631

2454808.883977           15.797042       0.032383

2454808.949691           15.780903       0.032145

2454809.015405           15.764867       0.031914

2454809.081118           15.748937       0.031692

2454809.146832           15.733114       0.031478

2454809.212546           15.717398       0.031271

2454809.278260           15.701792       0.031071

2454809.343974           15.686297       0.030879

2454809.409688           15.670914       0.030693

2454809.475402           15.655644       0.030514

2454809.541116           15.640489       0.030341

2454809.606830           15.625449       0.030173

2454809.672544           15.610527       0.030012

2454809.738258           15.595724       0.029855

2454809.803971           15.581039       0.029704

2454809.869685           15.566476       0.029557

2454809.935399           15.552034       0.029415

2454810.001113           15.537715       0.029278

2454810.066827           15.523519       0.029144

2454810.132541           15.509449       0.029014

2454810.198255           15.495505       0.028887

2454810.263969           15.481687       0.028764

2454810.329683           15.467997       0.028644

2454810.395397           15.454436       0.028527

2454810.461111           15.441004       0.028412

2454810.526825           15.427703       0.028300

2454810.592538           15.414533       0.028191

2454810.658252           15.401495       0.028083

2454810.723966           15.388589       0.027978

2454810.789680           15.375817       0.027874

2454810.855394           15.363179       0.027772

2454810.921108           15.350676       0.027672

2454810.986822           15.338309       0.027573

2454811.052536           15.326078       0.027475

2454811.118250           15.313983       0.027378

2454811.183964           15.302026       0.027283

2454811.249678           15.290207       0.027188

2454811.315391           15.278526       0.027095

2454811.381105           15.266984       0.027002

2454811.446819           15.255581       0.026911

2454811.512533           15.244318       0.026819

2454811.578247           15.233195       0.026729

2454811.643961           15.222212       0.026640

2454811.709675           15.211371       0.026551

2454811.775389           15.200671       0.026462

2454811.841103           15.190112       0.026375

2454811.906817           15.179695       0.026287

2454811.972531           15.169421       0.026201

2454812.038245           15.159288       0.026115

2454812.103958           15.149298       0.026030

2454812.169672           15.139451       0.025946

2454812.235386           15.129747       0.025862

2454812.301100           15.120186       0.025779

2454812.366814           15.110768       0.025697

2454812.432528           15.101493       0.025616

2454812.498242           15.092361       0.025535

2454812.563956           15.083373       0.025456

2454812.629670           15.074527       0.025378

2454812.695384           15.065826       0.025300

2454812.761098           15.057267       0.025224

2454812.826812           15.048851       0.025149

2454812.892525           15.040579       0.025075

