This file contains the LC params of SN2009ig in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2455078.862862 +/- 0.774446
Magnitude at maximum in B band is: 13.528963 +/- 0.021524
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2455093.862862
Magnitude after 15-days from B band maximum is: 14.260264 +/- 0.043932
Estimated value of dm15 is: 0.731300 +/- 0.048921
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2455057.338300           19.702257       0.232589

2455057.397925           19.683683       0.230806

2455057.457550           19.665005       0.229026

2455057.517174           19.646223       0.227249

2455057.576799           19.627337       0.225475

2455057.636424           19.608347       0.223704

2455057.696049           19.589254       0.221937

2455057.755674           19.570058       0.220173

2455057.815299           19.550759       0.218412

2455057.874923           19.531357       0.216655

2455057.934548           19.511852       0.214901

2455057.994173           19.492245       0.213151

2455058.053798           19.472536       0.211404

2455058.113423           19.452725       0.209661

2455058.173048           19.432813       0.207922

2455058.232672           19.412800       0.206186

2455058.292297           19.392686       0.204455

2455058.351922           19.372471       0.202727

2455058.411547           19.352156       0.201004

2455058.471172           19.331740       0.199284

2455058.530796           19.311225       0.197569

2455058.590421           19.290611       0.195857

2455058.650046           19.269898       0.194150

2455058.709671           19.249086       0.192447

2455058.769296           19.228176       0.190749

2455058.828921           19.207168       0.189055

2455058.888545           19.186062       0.187366

2455058.948170           19.164859       0.185681

2455059.007795           19.143560       0.184000

2455059.067420           19.122164       0.182325

2455059.127045           19.100672       0.180654

2455059.186670           19.079084       0.178988

2455059.246294           19.057402       0.177327

2455059.305919           19.035624       0.175671

2455059.365544           19.013753       0.174020

2455059.425169           18.991787       0.172374

2455059.484794           18.969729       0.170733

2455059.544419           18.947577       0.169097

2455059.604043           18.925334       0.167467

2455059.663668           18.902998       0.165842

2455059.723293           18.880571       0.164222

2455059.782918           18.858053       0.162608

2455059.842543           18.835445       0.161000

2455059.902167           18.812747       0.159397

2455059.961792           18.789961       0.157800

2455060.021417           18.767085       0.156209

2455060.081042           18.744121       0.154624

2455060.140667           18.721070       0.153044

2455060.200292           18.697932       0.151471

2455060.259916           18.674708       0.149903

2455060.319541           18.651398       0.148342

2455060.379166           18.628003       0.146787

2455060.438791           18.604524       0.145238

2455060.498416           18.580961       0.143696

2455060.558041           18.557314       0.142160

2455060.617665           18.533586       0.140631

2455060.677290           18.509775       0.139108

2455060.736915           18.485884       0.137592

2455060.796540           18.461913       0.136083

2455060.856165           18.437861       0.134580

2455060.915789           18.413731       0.133084

2455060.975414           18.389523       0.131596

2455061.035039           18.365238       0.130114

2455061.094664           18.340875       0.128640

2455061.154289           18.316437       0.127172

2455061.213914           18.291925       0.125712

2455061.273538           18.267337       0.124260

2455061.333163           18.242677       0.122814

2455061.392788           18.217944       0.121377

2455061.452413           18.193139       0.119947

2455061.512038           18.168264       0.118524

2455061.571663           18.143319       0.117109

2455061.631287           18.118304       0.115703

2455061.690912           18.093222       0.114304

2455061.750537           18.068072       0.112913

2455061.810162           18.042856       0.111530

2455061.869787           18.017574       0.110155

2455061.929412           17.992229       0.108789

2455061.989036           17.966820       0.107430

2455062.048661           17.941348       0.106081

2455062.108286           17.915815       0.104739

2455062.167911           17.890222       0.103407

2455062.227536           17.864569       0.102083

2455062.287160           17.838858       0.100767

2455062.346785           17.813090       0.099461

2455062.406410           17.787266       0.098163

2455062.466035           17.761386       0.096875

2455062.525660           17.735453       0.095595

2455062.585285           17.709467       0.094325

2455062.644909           17.683429       0.093064

2455062.704534           17.657341       0.091812

2455062.764159           17.631203       0.090569

2455062.823784           17.605018       0.089337

2455062.883409           17.578785       0.088113

2455062.943034           17.552507       0.086900

2455063.002658           17.526184       0.085696

2455063.062283           17.499818       0.084502

2455063.121908           17.473410       0.083318

2455063.181533           17.446962       0.082144

2455063.241158           17.420474       0.080980

2455063.300782           17.393949       0.079826

2455063.360407           17.367386       0.078683

2455063.420032           17.340789       0.077550

2455063.479657           17.314157       0.076428

2455063.539282           17.287493       0.075316

2455063.598907           17.260799       0.074214

2455063.658531           17.234074       0.073124

2455063.718156           17.207321       0.072044

2455063.777781           17.180542       0.070976

2455063.837406           17.153738       0.069918

2455063.897031           17.126910       0.068871

2455063.956656           17.100059       0.067836

2455064.016280           17.073189       0.066812

2455064.075905           17.046299       0.065799

2455064.135530           17.019392       0.064798

2455064.195155           16.992469       0.063809

2455064.254780           16.965532       0.062831

2455064.314405           16.938582       0.061865

2455064.374029           16.911622       0.060910

2455064.433654           16.884652       0.059968

2455064.493279           16.857675       0.059038

2455064.552904           16.830693       0.058119

2455064.612529           16.803706       0.057213

2455064.672153           16.776717       0.056320

2455064.731778           16.749729       0.055438

2455064.791403           16.722741       0.054569

2455064.851028           16.695757       0.053713

2455064.910653           16.668778       0.052869

2455064.970278           16.641807       0.052038

2455065.029902           16.614844       0.051220

2455065.089527           16.587892       0.050414

2455065.149152           16.560953       0.049622

2455065.208777           16.534030       0.048842

2455065.268402           16.507123       0.048075

2455065.328027           16.480235       0.047322

2455065.387651           16.453367       0.046582

2455065.447276           16.426523       0.045855

2455065.506901           16.399705       0.045141

2455065.566526           16.372913       0.044440

2455065.626151           16.346151       0.043753

2455065.685775           16.319421       0.043080

2455065.745400           16.292724       0.042420

2455065.805025           16.266063       0.041773

