This file contains the LC params of SN2011by in filter-B

#-----------------------------#

#-----------------------------#
Jd at maximum in B band is: 2455691.072419 +/- 0.192302
Magnitude at maximum in B band is: 12.915614 +/- 0.011317
#-----------------------------#
#-----------------------------#
JD after 15-days from B band maximum is: 2455706.072419
Magnitude after 15-days from B band maximum is: 13.996401 +/- 0.017020
Estimated value of dm15 is: 1.080787 +/- 0.020440
Secondary maximum is not applicable for this band
The magnitudes are not k-corrected
Interpolated Light Curve through GP

#-----------------------------#

  JD                 MAG           MERR

2455671.466200           15.962474       0.195484

2455671.522378           15.953770       0.193919

2455671.578557           15.945022       0.192356

2455671.634735           15.936228       0.190797

2455671.690913           15.927390       0.189241

2455671.747091           15.918508       0.187689

2455671.803270           15.909581       0.186139

2455671.859448           15.900609       0.184593

2455671.915626           15.891593       0.183051

2455671.971805           15.882533       0.181511

2455672.027983           15.873429       0.179976

2455672.084161           15.864280       0.178444

2455672.140339           15.855088       0.176915

2455672.196518           15.845852       0.175390

2455672.252696           15.836572       0.173869

2455672.308874           15.827248       0.172352

2455672.365052           15.817880       0.170839

2455672.421231           15.808470       0.169329

2455672.477409           15.799015       0.167823

2455672.533587           15.789518       0.166321

2455672.589766           15.779978       0.164824

2455672.645944           15.770394       0.163330

2455672.702122           15.760768       0.161841

2455672.758300           15.751099       0.160355

2455672.814479           15.741387       0.158874

2455672.870657           15.731633       0.157397

2455672.926835           15.721837       0.155925

2455672.983014           15.711999       0.154457

2455673.039192           15.702118       0.152993

2455673.095370           15.692196       0.151534

2455673.151548           15.682232       0.150080

2455673.207727           15.672226       0.148630

2455673.263905           15.662180       0.147184

2455673.320083           15.652091       0.145744

2455673.376261           15.641962       0.144308

2455673.432440           15.631792       0.142877

2455673.488618           15.621582       0.141451

2455673.544796           15.611330       0.140030

2455673.600975           15.601039       0.138614

2455673.657153           15.590707       0.137203

2455673.713331           15.580336       0.135797

2455673.769509           15.569924       0.134397

2455673.825688           15.559473       0.133001

2455673.881866           15.548983       0.131611

2455673.938044           15.538453       0.130226

2455673.994223           15.527885       0.128847

2455674.050401           15.517278       0.127473

2455674.106579           15.506632       0.126104

2455674.162757           15.495948       0.124741

2455674.218936           15.485227       0.123384

2455674.275114           15.474467       0.122032

2455674.331292           15.463669       0.120687

2455674.387470           15.452835       0.119347

2455674.443649           15.441963       0.118013

2455674.499827           15.431054       0.116684

2455674.556005           15.420109       0.115362

2455674.612184           15.409127       0.114046

2455674.668362           15.398109       0.112736

2455674.724540           15.387055       0.111432

2455674.780718           15.375966       0.110135

2455674.836897           15.364842       0.108843

2455674.893075           15.353682       0.107559

2455674.949253           15.342488       0.106280

2455675.005432           15.331259       0.105008

2455675.061610           15.319996       0.103743

2455675.117788           15.308700       0.102484

2455675.173966           15.297369       0.101232

2455675.230145           15.286006       0.099986

2455675.286323           15.274609       0.098747

2455675.342501           15.263180       0.097516

2455675.398679           15.251719       0.096291

2455675.454858           15.240225       0.095073

2455675.511036           15.228700       0.093862

2455675.567214           15.217144       0.092658

2455675.623393           15.205556       0.091462

2455675.679571           15.193938       0.090273

2455675.735749           15.182290       0.089091

2455675.791927           15.170611       0.087916

2455675.848106           15.158904       0.086749

2455675.904284           15.147166       0.085589

2455675.960462           15.135400       0.084437

